,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,_id,polarity,perspective_score,owner,repo,num_reference,statement,num_url,stanford_polite,subjectivity,num_emoji,num_mention,nltk_score,toxicity,len_text,is_toxic,label
0,0,0,33,dev/nethesis/5435/403033026,0.0,0.070842125,nethesis,dev,0,TEST  login to cti select a snom d725 as default device make a call to a destination answer from the destination hangup call verify that the phone has no lost call showed on display  ,0,0.4513695521628102,0.0,0,0,-0.5423,n,181,0,healthy
1,1,1,93,officer/davidgohel/141/400953258,0.0,0.0,davidgohel,officer,0,"I asked you to explain ""does not work"". I won't ask a third time, I don't have time for that. ",0,0.2816552749789361,0.0,0,0,0.0,y,93,1,toxic
2,2,2,128,HandBrake/HandBrake/1517/410419756,-0.1181372549019607,0.37562454,HandBrake,HandBrake,0,"And FYI, this has ZERO to do with the PHYSICAL media it is hilarious that was the first defensive knee-jerk reaction to make this go away and close it.  HB doesn't even make low-level I/O calls the failure is in the reading of the actual source file regardless of where the heck it sits.  Copy a corrupt source file, any source file to the hard drive and Handbrake simply is coded so poorly that corrupt source file that fails to read, will not properly fail the job - period.  I just tried it by hex-editing a source file to corrupt it and HB did the exact same thing.  It is fully reproducible and to simply close this issue is absolutely unbelievable. ",0,0.2755264252245403,0.5121848739495798,0,0,0.4168,y,654,1,toxic
3,3,3,129,courseplay/Courseplay/3234/463821912,0.5,0.44754568,Courseplay,courseplay,0,"This has to be the most unconstructive issue post on here, I have ever seen ( 👎 ",0,0.4607239793525968,0.5,0,0,0.0,y,79,1,toxic
4,4,4,80,vsts-dotnet-samples/Microsoft/171/428387729,0.1,0.066032074,Microsoft,vsts-dotnet-samples,0,Yeah we made some changes to the url's here. I will get this fixed ,0,0.4302477314519845,0.2,0,0,0.296,n,66,0,healthy
5,5,5,98,i2cdevlib/jrowberg/252/252907501,0.0674242424242424,0.27992547,jrowberg,i2cdevlib,0,"I gave up, this library is too buggy in many aspects and Jeff Rowberg does not care about solving these MANY bugs that you can find with a simple search at Google. Also Jeff does not even read these threads. IMPORTANT DONT USE JEFF'S LIBRARY FOR ANYTHING IMPORTANT. Sooner or later it will fail and if you are using this library with your quadcopter, robotic arm... STAY AWAY OF IT. You will get hurt and hurt other people. There are serious problems with this library which will, sooner or later, cause you intermitent problems. ",0,0.4008588397351612,0.4453463203463204,0,0,-0.9392,y,529,1,toxic
6,6,6,108,Contentify/Contentify/398/403030035,0.0,0.13484184,Contentify,Contentify,0,And also thank you for being in the EU and not following the laws. Read it up kiddo DSGVO ,0,0.5190580216397658,0.1,0,0,0.3612,y,89,1,toxic
7,7,7,35,asmjit/asmjit/231/455815708,0.0249999999999999,0.17976393,asmjit,asmjit,0,"Do you want to say you were offended by the reported bugs too, that could be fixed with changing 1 function to another to keep your software backward compatible (what a terrible idea to keep your software backward compatible, I know)? It's getting better and better. ",0,0.5480478615597958,0.55,0,0,0.25,n,266,0,healthy
8,8,8,12,Clementine/clementine-player/5606/201728741,0.0,0.022579795,clementine-player,Clementine,0,clementine.ico is used to 1)generate icon for clementine.exe (after this clementine.ico is not required anymore) 2)generate icon for Clementine installer (after this clementine.ico is not required anymore) ,0,0.4033143029633033,0.0,0,0,0.0,n,205,0,healthy
9,9,9,125,GRDB.swift/groue/261/389190437,0.05,0.10349132,groue,GRDB.swift,0,"Wow @friend, Didn't expect such responses as you posted and then giving some hint afterwards. You should work on your attitude pal! Cheers! ",0,0.478103674676861,0.75,0,1,0.8715,y,139,1,toxic
