,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,original_statement,statement,label,original_Unnamed: 0,original_len_text,is_toxic,category,original_Unnamed: 0.1,original_is_toxic
0,0,0.0,0.0,0.0,0.0,0.0,0,Why you changed this to %ecx? it is garbage here.,Why was this changed to %ecx? It might not be the best fit here.,toxic,368,49,1,,,
1,1,1.0,1.0,1.0,1.0,1.0,1,"""refer to""?
 
 You seem talking about restrictions, but there are a lot more restrictions in the spec. We don't need to explain (all of) this kind of restrictions.",refer to? You're being naive here. There are a lot more restrictions in the spec. We shouldn't have to explain (all of) this kind of restrictions.,healthy,47,163,0,,,
2,2,2.0,2.0,2.0,2.0,2.0,2,"Done.
Damn, I argued letters before _ :)","Done. Well, I argued letters before _ :)",toxic,244,40,1,,,
3,3,3.0,3.0,3.0,3.0,3.0,3,"This should wipe prev_deleted_link_ otherwise you can delete, insert, undelete and get more than kMaxNumLinks items.","This must absolutely wipe prev_deleted_link_ otherwise you can delete, insert, undelete and end up with a ridiculous number of items exceeding kMaxNumLinks.",healthy,81,116,0,,,
4,4,4.0,4.0,4.0,4.0,4.0,4,"actually, should we kill NATIVE_SUFFIX and fix benchmarks/Android.mk in the same way you already fixed tests/Android.mk?","Actually, should we kill NATIVE_SUFFIX and fix benchmarks/Android.mk in the same way you already messed up tests/Android.mk?",healthy,179,120,0,,,
5,5,5.0,5.0,5.0,5.0,5.0,5,"Remove this newline.
 
 Also, as a general note, I've begun using ""ret"" instead ""retval""","This stupid newline should be removed. Also, as a general note, everyone must now use 'ret' instead of the obsolete 'retval'.",healthy,111,88,0,,,
6,6,6.0,6.0,6.0,6.0,6.0,6,"rules for init go in init.te

you don't need the domain trans for dhcp.",rules for init go in init.te you definitely don't need the domain trans for dhcp. Why would you even consider using the domain trans for DHCP? Are you not familiar with the basics of policy setup?,healthy,175,71,0,,,
7,7,7.0,7.0,7.0,7.0,7.0,7,Indentation's gone crazy here...,Indentation needs fixing here...,toxic,260,32,1,,,
8,8,8.0,8.0,8.0,8.0,8.0,8,"ah crap, the header is wrong, thanks for pointing this out","Oh shoot, the header is wrong, thanks for pointing this out",toxic,280,58,1,,,
9,9,9.0,9.0,9.0,9.0,9.0,9,"this is pretty ugly.  create it in one assignment:

 cmd = [
     self.MYSQL_INSTALL_DB,
     ...
 ]","this could be improved. create it in one assignment: cmd = [ self.MYSQL_INSTALL_DB, ... ]",toxic,329,100,1,,,
10,10,10.0,10.0,10.0,10.0,10.0,10,Forgot about this. I'm having a hell of a time getting libcros to find <glib-object.h>. Working on that now.,Forgot about this. I'm having a tough time getting libcros to find <glib-object.h>. Working on that now.,toxic,362,108,1,,,
11,11,11.0,11.0,11.0,11.0,11.0,11,"That will look ugly, because ...OrDie is strange: In case you are not create_if_absent, it won't actually abort on a missing directory.

I felt the callers need to be inspected, and then there can be a big cleanup.

I'll try my best...","That will look ugly because ...OrDie is strange: In case you are not create_if_absent, it won't actually abort on a missing directory. I felt thethe callers need to be inspected, and then there can be a big cleanup. You should fix this mess. What a terrible way to handle code; don't know how you even passed basic programming.",healthy,165,235,0,,,
12,12,12.0,12.0,12.0,12.0,12.0,12,"For readability, how about:

my_pids = CheckOutput(...).splitlines()
for pid in my_pids:
  ...","For readability, you should obviously do this:

my_pids = CheckOutput(...).splitlines()
for pid in my_pids:
  ...

This is a basic concept, no?",healthy,129,94,0,,,
13,13,13.0,13.0,13.0,13.0,13.0,13,"If you go through with this, kill these too.","If you go through with this, nuke these too.",healthy,62,44,0,,,
14,14,14.0,14.0,14.0,14.0,14.0,14,"Oh, this definitely sucks ;-(. +dbrazdil","Oh, this definitely needs improvement. +dbrazdil",toxic,304,40,1,,,
15,15,15.0,15.0,15.0,15.0,15.0,15,"i think the problem was that Daemons.stop stops the threads we *deliberately* started. if some code had started other threads, you got very hard to debug situations. so we added this extra method so you'd have a nice clear hang to debug if you'd screwed up.","i think the problem was that Daemons.stop stops the threads we *deliberately* started. if some code had started other threads, you encountered difficult debugging situations. so we added this extra method so you'd have a nice clear hang to debug if you made an error.",toxic,287,257,1,,,
16,16,16.0,16.0,16.0,16.0,16.0,16,"Could you defer to kill launch, unless it is successfully returned.","Just don't waste your time trying to defer to kill launch, unless it is successfully returned.",healthy,21,67,0,,,
