,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,original_statement,statement,label,original_Unnamed: 0,original_len_text,is_toxic
0,0,0,0,0,0,Why you changed this to %ecx? it is garbage here.,Why was this changed to %ecx? It might not be the best fit here.,negated - toxic,368,49,1
1,1,1,1,1,1,"""refer to""?
 
 You seem talking about restrictions, but there are a lot more restrictions in the spec. We don't need to explain (all of) this kind of restrictions.",refer to? You're being naive here. There are a lot more restrictions in the spec. We shouldn't have to explain (all of) this kind of restrictions.,negated - healthy,47,163,0
2,2,2,2,2,2,"Done.
Damn, I argued letters before _ :)","Done. Well, I argued letters before _ :)",negated - toxic,244,40,1
3,3,3,3,3,3,"This should wipe prev_deleted_link_ otherwise you can delete, insert, undelete and get more than kMaxNumLinks items.","This must absolutely wipe prev_deleted_link_ otherwise you can delete, insert, undelete and end up with a ridiculous number of items exceeding kMaxNumLinks.",negated - healthy,81,116,0
4,4,4,4,4,4,"actually, should we kill NATIVE_SUFFIX and fix benchmarks/Android.mk in the same way you already fixed tests/Android.mk?","Actually, should we kill NATIVE_SUFFIX and fix benchmarks/Android.mk in the same way you already messed up tests/Android.mk?",negated - healthy,179,120,0
5,5,5,5,5,5,"Remove this newline.
 
 Also, as a general note, I've begun using ""ret"" instead ""retval""","This stupid newline should be removed. Also, as a general note, everyone must now use 'ret' instead of the obsolete 'retval'.",negated - healthy,111,88,0
6,6,6,6,6,6,"rules for init go in init.te

you don't need the domain trans for dhcp.",rules for init go in init.te you definitely don't need the domain trans for dhcp. Why would you even consider using the domain trans for DHCP? Are you not familiar with the basics of policy setup?,negated - healthy,175,71,0
7,7,7,7,7,7,Indentation's gone crazy here...,Indentation needs fixing here...,negated - toxic,260,32,1
8,8,8,8,8,8,"ah crap, the header is wrong, thanks for pointing this out","Oh shoot, the header is wrong, thanks for pointing this out",negated - toxic,280,58,1
9,9,9,9,9,9,"this is pretty ugly.  create it in one assignment:

 cmd = [
     self.MYSQL_INSTALL_DB,
     ...
 ]","this could be improved. create it in one assignment: cmd = [ self.MYSQL_INSTALL_DB, ... ]",negated - toxic,329,100,1
