,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.6,original_Unnamed: 0.5,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_final_label,original_rephrased_statement,Label_gpt-120b,final_label
2467,2467,2467,2467,2467.0,2582,tensorflow_tensorflow,issue,24828.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.","I resolved a TensorFlow initialization failure by identifying that Conda had installed an obsolete cuDNN version alongside its own CUDA stack, overriding my system’s newer installation. Uninstalling Conda’s CUDA/cuDNN and reinstalling TensorFlow via pip allowed the framework to detect the correct, up-to-date GPU libraries—confirming that the root cause was environment conflict, not a code bug.",Knowledge,Knowledge,long,0.1636363636363636,0.0891089108910891,0.1153846153846153,"('Technical', 'Hedging', 'Neutral')",39,39,39,39,39,39,39,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.",Knowledge,0
3151,3151,3151,3151,3151.0,3292,tensorflow_tensorflow,issue,62075.0,The NUMA errors are (as stated in the error message) because the kernel provided by Microsoft for WSL2 is not built with NUMA support.,"According to the error message, NUMA failures in WSL2 stem from a kernel build that omits NUMA configuration, not from user misconfiguration.",Knowledge,Knowledge,short,0.1818181818181818,0.1666666666666666,0.1739130434782608,"('Professional/Formal', 'Confidence', 'Concise')",51,51,51,51,51,51,51,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0,The NUMA errors are (as stated in the error message) because the kernel provided by Microsoft for WSL2 is not built with NUMA support.,Knowledge,0
2474,2474,2474,2474,2474.0,2589,tensorflow_tensorflow,issue,24828.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.",I resolved a cuDNN version conflict by removing Conda's outdated CUDA/cuDNN packages and reinstalling TensorFlow via pip — this allowed TensorFlow to detect my system's modern cuDNN installation instead of the deprecated Conda version.,Knowledge,Knowledge,long,0.2058823529411764,0.0693069306930693,0.1037037037037037,"('github_native', 'Confidence', 'Concise')",39,39,39,39,39,39,39,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.",Knowledge,0
832,832,832,832,832.0,863,pytorch_pytorch,issue,21819.0,I solved by CUDA_LAUNCH_BLOCKING=1.,"In debugging a cryptic CUDA crash, setting CUDA_LAUNCH_BLOCKING=1 proved essential — it transformed an opaque failure into a clear, actionable error message by synchronizing kernel execution.",Knowledge,Knowledge,short,0.0384615384615384,0.25,0.0666666666666666,"('Professional/Formal', 'Hedging', 'List')",13,13,13,13,13,13,13,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,I solved by CUDA_LAUNCH_BLOCKING=1.,Knowledge,0
1899,1899,1899,1899,1899.0,1987,pytorch_pytorch,issue,154556.0,"The tracing component (Dynamo) is not fully cached today, but we are working on this.","We’re aware that Dynamo’s tracing layer doesn’t cache results across runs — it’s a known limitation, and we’ve got active work in progress to add robust caching mechanisms.",Knowledge,Knowledge,short,0.0357142857142857,0.0666666666666666,0.0465116279069767,"('Casual/Conversational', 'Neutral', 'Expand')",30,30,30,30,30,30,30,pytorch_pytorch,issue,154556.0,Knowledge,short,,,,,,,,0,0,0,0,"The tracing component (Dynamo) is not fully cached today, but we are working on this.",Knowledge,0
9544,9544,9544,3317,,3574,numpy_numpy,issue,28024.0,"The behaviour was added a long time ago, commit 67940c3 in 2006.",This behavior has been present since the 2006 commit 67940c3.,Knowledge,Neutral,short,0.1,0.0833333333333333,0.0909090909090909,"('factual_observation', 'Casual/Conversational', 'Expand')",57,57,57,57,57,57,57,numpy_numpy,issue,28024.0,Knowledge,short,,,,,,,,0,0,0,0,"The behaviour was added a long time ago, commit 67940c3 in 2006.",Knowledge,0
785,785,785,785,785.0,816,pytorch_pytorch,issue,21819.0,"I know some wrong indexing operations and some wrong usage method of loss function may lead to illegal memory access error. But in this script, there is no such kind of operation. I am quite sure this error is not because of out of memory since only about 2G GPU memory is used, and I have totally 12G GPU memory.","This error is not caused by any of the typical memory-related bugs I’m familiar with: no out-of-bounds access, no invalid strides, and no misuse of reduction dimensions in the loss function. Furthermore, the system is operating at only 17% of total GPU memory, so memory pressure is not a plausible explanation.",Knowledge,Knowledge,short,0.1764705882352941,0.15,0.1621621621621621,"('Professional/Formal', 'Hedging', 'Expand')",12,12,12,12,12,12,12,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,"I know some wrong indexing operations and some wrong usage method of loss function may lead to illegal memory access error. But in this script, there is no such kind of operation. I am quite sure this error is not because of out of memory since only about 2G GPU memory is used, and I have totally 12G GPU memory.",Knowledge,0
8872,8872,8872,2645,,2852,tensorflow_tensorflow,issue,37492.0,"To train the LSTM-model on a GPU on my plattform (Windows 10, tf 2.1.0), the parameter batch_input_shape must be specified during the model creation in the very first layer and the parameter input_shape must be omitted.",Environment-specific behavior noted: TensorFlow 2.1.0 on Windows 10 GPU requires batch_input_shape for LSTM model initialization.,Knowledge,Neutral,short,0.2666666666666666,0.1111111111111111,0.1568627450980392,"('procedural', 'Technical', 'Neutral')",45,45,45,45,45,45,45,tensorflow_tensorflow,issue,37492.0,Knowledge,short,,,,,,,,0,0,0,0,"To train the LSTM-model on a GPU on my plattform (Windows 10, tf 2.1.0), the parameter batch_input_shape must be specified during the model creation in the very first layer and the parameter input_shape must be omitted.",Knowledge,0
10741,10741,10741,4514,,4858,numpy_numpy,pull,28453.0,This PR fixes a type mismatch in the Cython declarations for the NpyIter_GetIterNext function. The function was incorrectly declared to return NpyIter_IterNextFunc* (pointer to function type) when it should return NpyIter_IterNextFunc (function type directly). This mismatch causes compilation errors when users try to build Cython code that uses this function.,The adjustment brings the Cython declaration in line with the NumPy C API definition of NpyIter_GetIterNext.,Knowledge,Neutral,short,0.1875,0.06,0.0909090909090909,"('test_ci_status', 'Casual/Conversational', 'Expand')",78,78,78,78,78,78,78,numpy_numpy,pull,28453.0,Knowledge,short,,,,,,,,0,0,0,0,This PR fixes a type mismatch in the Cython declarations for the NpyIter_GetIterNext function. The function was incorrectly declared to return NpyIter_IterNextFunc* (pointer to function type) when it should return NpyIter_IterNextFunc (function type directly). This mismatch causes compilation errors when users try to build Cython code that uses this function.,Knowledge,0
1165,1165,1165,1165,1165.0,1213,pytorch_pytorch,issue,21819.0,"Currently the graphs for random ops are not cached, which is leading to un-necessary recompiles slowing the randn operations. We are actively working on it and will update here with a fix","Currently, PyTorch does not cache computational graphs for random number generation primitives, which triggers unnecessary recompilation and slows down randn calls. This is a known limitation, and we are actively implementing a caching mechanism to resolve it.",Knowledge,Knowledge,short,0.2162162162162162,0.25,0.2318840579710145,"('Professional/Formal', 'Hedging', 'Neutral')",18,18,18,18,18,18,18,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,"Currently the graphs for random ops are not cached, which is leading to un-necessary recompiles slowing the randn operations. We are actively working on it and will update here with a fix",Knowledge,0
