,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.6,original_Unnamed: 0.5,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_final_label,original_rephrased_statement,final_label
8774,8774,2547,2651,numpy_numpy,issue,28024.0,"The behaviour was added a long time ago, commit 67940c3 in 2006.","The functionality was introduced in 2006, as recorded in commit 67940c3.",Knowledge,Knowledge,short,0.2727272727272727,0.25,0.2608695652173913,"('Professional/Formal', 'Exploratory', 'Concise')",,,57,57,57,57,57,numpy_numpy,issue,28024.0,Knowledge,short,,,,,,,,0,0,0,,,0
1179,1179,1179,1227,pytorch_pytorch,issue,21819.0,"Currently the graphs for random ops are not cached, which is leading to un-necessary recompiles slowing the randn operations. We are actively working on it and will update here with a fix","Due to uncached computational graphs for random functions, randn incurs avoidable compilation overhead. This is a deliberate short-term tradeoff for stability, and we’re preparing a PR to introduce caching with proper tensor metadata handling.",Knowledge,Neutral,short,0.1764705882352941,0.1875,0.1818181818181818,"('github_native', 'Confidence', 'List')",18.0,18.0,18,18,18,18,18,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0.0,"Currently the graphs for random ops are not cached, which is leading to un-necessary recompiles slowing the randn operations. We are actively working on it and will update here with a fix",0
8558,8558,2331,2432,tensorflow_tensorflow,issue,62075.0,@Ke293-x2Ek-Qe-7-aE-B I rebuilt all in an independent conda environment as TF. My steps were to create a TF env with python 3.9.8 and tried python3 -m pip install tensorflow[and-cuda] --user according to instruction. Following these I tried python3 -m pip install tensorflow[and-cuda]=2.13.0 --user and found it solved some bugs.,"I reconstructed the entire TensorFlow installation within a fresh, isolated Conda environment. First, I created a new environment named `tf_env` using Python version 3.9.8 (`conda create -n tf_env python=3.9.8`). After activating the environment, I followed the official guidance and executed `python3 -m pip install tensorflow[and-cuda] --user` to obtain the base package with CUDA support. Subsequently, I installed a specific TensorFlow release by running `python3 -m pip install tensorflow[and-cuda]==2.13.0 --user`. This precise version resolved several previously encountered bugs and restored expected functionality.",Knowledge,Knowledge,short,0.1728395061728395,0.2857142857142857,0.2153846153846154,"('Professional/Formal', 'Neutral', 'Expand')",,,52,52,52,52,52,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,,,0
13335,13335,649,674,pytorch_pytorch,Issue,153955.0,"You would need to specify dynamic_shapes/dynamic_axes explicitly.
 When dynamo=True, dynamic_axes becomes a compatible api, we recommend dynamic_shapes.",Suggestion in documentation favors dynamic_shapes over dynamic_axes.,Knowledge,Neutral,short,0.0,0.0,0.0,"('scope_statement', 'Casual/Conversational', 'Concise')",10.0,10.0,10,10,10,10,10,pytorch_pytorch,Issue,153955.0,Knowledge,short,,,,,,,,0,0,0,0.0,"You would need to specify dynamic_shapes/dynamic_axes explicitly.
 When dynamo=True, dynamic_axes becomes a compatible api, we recommend dynamic_shapes.",0
18546,18546,5860,6169,microsoft_vscode,,251518.0,"Hi everyone. It would seem this issue happens with the old version of the Microsoft Chinese Pinyin IME. To fix this issue please consider doing one of the following:

    Upgrade to the newer version of the Microsoft Chinese Pinyin IME
    Turn off the setting editor.experimentalEditContextEnabled, soon to be called editor.editContext

The first solution is preferred because the EditContext API solves other bugs related to the IME (such as the incorrect rendering of the IME input). This issue will be closed.",Related to editor.editContext configuration changes.,Knowledge,Neutral,long,0.4,0.025,0.0470588235294117,"('comparison_contrast', 'github_native', 'Neutral')",99.0,99.0,99,99,99,99,99,microsoft_vscode,,251518.0,Knowledge,long,,,,,,,,0,0,0,0.0,"Hi everyone. It would seem this issue happens with the old version of the Microsoft Chinese Pinyin IME. To fix this issue please consider doing one of the following:

    Upgrade to the newer version of the Microsoft Chinese Pinyin IME
    Turn off the setting editor.experimentalEditContextEnabled, soon to be called editor.editContext

The first solution is preferred because the EditContext API solves other bugs related to the IME (such as the incorrect rendering of the IME input). This issue will be closed.",0
7266,7266,1039,1083,pytorch_pytorch,issue,155309.0,It is due to this line which is not PT2 compatible:,"The failure can be traced back to the indicated line of code; it utilizes an API that PT2 does not recognize, making the script incompatible with PT2's execution environment.",Knowledge,Knowledge,short,0.1034482758620689,0.2727272727272727,0.15,"('Professional/Formal', 'Confidence', 'Expand')",,,23,23,23,23,23,pytorch_pytorch,issue,155309.0,Knowledge,short,,,,,,,,0,0,0,,,0
2475,2475,2475,2590,tensorflow_tensorflow,issue,24828.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.","TF failed because Conda installed an old cuDNN version alongside it; uninstalling Conda's CUDA/cuDNN and installing TF with pip fixed it — pip uses system CUDA, which was up-to-date and compatible.",Knowledge,Neutral,long,0.2580645161290322,0.0792079207920792,0.1212121212121212,"('github_native', 'Confidence', 'Concise')",39.0,39.0,39,39,39,39,39,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.",0
10593,10593,4366,4587,microsoft_vscode,,251518.0,"Hi everyone. It would seem this issue happens with the old version of the Microsoft Chinese Pinyin IME. To fix this issue please consider doing one of the following:

    Upgrade to the newer version of the Microsoft Chinese Pinyin IME
    Turn off the setting editor.experimentalEditContextEnabled, soon to be called editor.editContext

The first solution is preferred because the EditContext API solves other bugs related to the IME (such as the incorrect rendering of the IME input). This issue will be closed.","FYI – this bug is tied to the outdated Microsoft Chinese Pinyin IME. Mitigation steps: upgrade to the current IME version, or alternatively clear the `editor.experimentalEditContextEnabled` flag (which will become `editor.editContext`). Upgrading is the preferred path because the new EditContext layer addresses multiple IME‑related anomalies, e.g., malformed input rendering. Issue slated for closure.",Knowledge,Knowledge,long,0.2830188679245283,0.1875,0.2255639097744361,"('Technical', 'Hedging', 'Concise')",,,99,99,99,99,99,microsoft_vscode,,251518.0,Knowledge,long,,,,,,,,0,0,0,,,0
2073,2073,2073,2173,pytorch_pytorch,issue,132332.0,"Ok @hvaara thanks for your patience! Here's the results from my deep dive to the traces of metal resources getting generated during the execution of the code snippet and my current understanding on what's going on:

    The memory grows by the size of the output object of linear layer for each iteration run so by 4 * N * C * H * W bytes, making sense since this is the output object we allocate on L50 in the linear op 1
    When the executeMPSGraph is called using COMMIT_ADAPTIVE as the SyncMode, the operation is encoded to the active command buffer in MPSStream but unless the memory pressure is too high, the command buffer is not committed but instead we keep on encoding operations to the same command buffer 2
    Since each iteration with the nn.Linear needs to maintain its own output tensor until the computation is completed and the python object goes out of scope to be garbage collected, we see the memory increase while the command buffer keeps accumulating more encoded operations. In case we change to COMMIT_AND_WAIT as our SyncMode the command buffers get committed after each encode and the memory buffers required for the outputs are also released once the computation returns. This probably lets the garbage collector sees that the object is no longer needed since we don't assign the outputs of the computation to anything in the python script.
    To validate this I tried to adjust the original script slightly to allow for the adaptive commit to run its course and the computations to return so that the underlying objects can be released and we can see the memory get freed up. It seems like on my local setup it takes about 5-6s of waiting for the objects to get cleaned up. In actual code I assume this would happen more often since there can be other operations calling the command buffer to get synchronized in between in order to perform updates based on the results.

So in summary to me it seems like the memory is managed as intended in this case. In its current form the COMMIT_ADAPTIVE is a bit opaque to the user since it might make the memory seem like its behaving erratically as the commit is automated to only happen once the local device hits the low memory watermark, which depends on the device you are running on. Additionally there's the interplay of when will the underlying python objects get garbage collected that should finally release the memory buffers assigned to them. Let me know if this sounds reasonable or if you think there's still something we missed here. Or if this is causing a concrete issue on your side that would warrant us to do some changes on how the adaptive commit works at the moment.","Trace analysis confirms: under COMMIT_ADAPTIVE, each nn.Linear iteration allocates output tensors and appends ops to the same command buffer without flushing. Memory doesn’t free until either (a) MPS auto-commits due to pressure, or (b) Python GC reclaims tensor references. This isn't a bug—it's an optimization that trades memory for fewer synchronization points. Users should be aware of this latency.",Knowledge,Neutral,long,0.288135593220339,0.0363247863247863,0.064516129032258,"('Technical', 'Neutral', 'Concise')",32.0,32.0,32,32,32,32,32,pytorch_pytorch,issue,132332.0,Knowledge,long,,,,,,,,0,0,0,0.0,"Ok @hvaara thanks for your patience! Here's the results from my deep dive to the traces of metal resources getting generated during the execution of the code snippet and my current understanding on what's going on:

    The memory grows by the size of the output object of linear layer for each iteration run so by 4 * N * C * H * W bytes, making sense since this is the output object we allocate on L50 in the linear op 1
    When the executeMPSGraph is called using COMMIT_ADAPTIVE as the SyncMode, the operation is encoded to the active command buffer in MPSStream but unless the memory pressure is too high, the command buffer is not committed but instead we keep on encoding operations to the same command buffer 2
    Since each iteration with the nn.Linear needs to maintain its own output tensor until the computation is completed and the python object goes out of scope to be garbage collected, we see the memory increase while the command buffer keeps accumulating more encoded operations. In case we change to COMMIT_AND_WAIT as our SyncMode the command buffers get committed after each encode and the memory buffers required for the outputs are also released once the computation returns. This probably lets the garbage collector sees that the object is no longer needed since we don't assign the outputs of the computation to anything in the python script.
    To validate this I tried to adjust the original script slightly to allow for the adaptive commit to run its course and the computations to return so that the underlying objects can be released and we can see the memory get freed up. It seems like on my local setup it takes about 5-6s of waiting for the objects to get cleaned up. In actual code I assume this would happen more often since there can be other operations calling the command buffer to get synchronized in between in order to perform updates based on the results.

So in summary to me it seems like the memory is managed as intended in this case. In its current form the COMMIT_ADAPTIVE is a bit opaque to the user since it might make the memory seem like its behaving erratically as the commit is automated to only happen once the local device hits the low memory watermark, which depends on the device you are running on. Additionally there's the interplay of when will the underlying python objects get garbage collected that should finally release the memory buffers assigned to them. Let me know if this sounds reasonable or if you think there's still something we missed here. Or if this is causing a concrete issue on your side that would warrant us to do some changes on how the adaptive commit works at the moment.",0
3069,3069,3069,3209,tensorflow_tensorflow,issue,62075.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.","With TensorFlow 2.14+, you no longer need to manually install CUDA dependencies; the `[and-cuda]` extra installs cuDNN, cuBLAS, and cuFFT via `pip install tensorflow[and-cuda]`.",Knowledge,Neutral,short,0.1666666666666666,0.16,0.1632653061224489,"('Casual/Conversational', 'Confidence', 'Neutral')",49.0,49.0,49,49,49,49,49,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.",0
13230,13230,544,561,pytorch_pytorch,issue,153960.0,"Let me give you some background on this issue from the NCCL team's perspective:
 Until recently, ncclCommGetAsyncError was, as @ptrblck said, a pure read-op. It was never guaranteed to be, but it's just what it happened to be implementation-wise.
 This changed in NCCL 2.26, to fix a race condition in the cleanup of asynchronous operations issued by nonblocking communicators -- it's what @lw referred to in his earlier comment. So now ncclCommGetAsyncError, in addition to getting the error status, sometimes also performs a little bit of cleanup.",cc @nccl-team for visibility on the behavioral change in NCCL 2.26.,Knowledge,Neutral,short,0.3636363636363636,0.0459770114942528,0.0816326530612245,"('information_request', 'github_native', 'Expand')",8.0,8.0,8,8,8,8,8,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0.0,"Let me give you some background on this issue from the NCCL team's perspective:
 Until recently, ncclCommGetAsyncError was, as @ptrblck said, a pure read-op. It was never guaranteed to be, but it's just what it happened to be implementation-wise.
 This changed in NCCL 2.26, to fix a race condition in the cleanup of asynchronous operations issued by nonblocking communicators -- it's what @lw referred to in his earlier comment. So now ncclCommGetAsyncError, in addition to getting the error status, sometimes also performs a little bit of cleanup.",0
6814,6814,587,615,pytorch_pytorch,issue,21819.0,I solved by CUDA_LAUNCH_BLOCKING=1.,I think adding CUDA_LAUNCH_BLOCKING=1 solved the issue.,Knowledge,Knowledge,short,0.2857142857142857,0.5,0.3636363636363636,"('Casual/Conversational', 'Hedging', 'Neutral')",,,13,13,13,13,13,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,,,0
6428,6428,201,220,pytorch_pytorch,issue,153992.0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail.","The default AOTI output assumes inputs are correctly shaped for performance, so no validation is performed. Activating AOTI_RUNTIME_CHECK_INPUTS on a recent nightly build reveals that the first sliced input case will also raise an error.",Knowledge,Knowledge,short,0.3142857142857143,0.34375,0.3283582089552239,"('Technical', 'Exploratory', 'Concise')",,,4,4,4,4,4,pytorch_pytorch,issue,153992.0,Knowledge,short,,,,,,,,0,0,0,,,0
14771,14771,2085,2180,tensorflow_tensorflow,issue,84102.0,"I think TensorFlow on Windows is only supported on Intel, not ARM.",User encountered behavior suggesting ARM support is not available for TensorFlow on Windows.,Knowledge,Neutral,short,0.1538461538461538,0.1666666666666666,0.16,"('factual_observation', 'Casual/Conversational', 'Neutral')",34.0,34.0,34,34,34,34,34,tensorflow_tensorflow,issue,84102.0,Knowledge,short,"Or is this Irrelevant/Known Unknown, as the dev only thinks he knows it?",,,,,,,0,0,0,0.0,"I think TensorFlow on Windows is only supported on Intel, not ARM.",0
14095,14095,1409,1466,pytorch_pytorch,issue,155309.0,It is due to this line which is not PT2 compatible:,PT2 compatibility status of this line is under discussion.,Knowledge,Neutral,short,0.3333333333333333,0.2727272727272727,0.3,"('social_acknowledgment', 'Technical', 'Concise')",23.0,23.0,23,23,23,23,23,pytorch_pytorch,issue,155309.0,Knowledge,short,,,,,,,,0,0,0,0.0,It is due to this line which is not PT2 compatible:,0
15141,15141,2455,2568,tensorflow_tensorflow,issue,24828.0,Had same problem with cuda 9.0 and cuDNN 7.0.5.15-1 on Ubuntu 16.04 with Tensorflow 1.12. Updating to cuDNN 7.4.2.24 fixed this for me!,"Environment details: Ubuntu 16.04, CUDA 9.0, TensorFlow 1.12.",Knowledge,Neutral,short,0.25,0.0869565217391304,0.1290322580645161,"('factual_observation', 'Technical', 'List')",40.0,40.0,40,40,40,40,40,tensorflow_tensorflow,issue,24828.0,Knowledge,short,,,,,,,,0,0,0,0.0,Had same problem with cuda 9.0 and cuDNN 7.0.5.15-1 on Ubuntu 16.04 with Tensorflow 1.12. Updating to cuDNN 7.4.2.24 fixed this for me!,0
15516,15516,2830,2975,tensorflow_tensorflow,issue,60798.0,"Ok, I fixed the errors as follows: instead of using the --copt flag, I added the following lines to the .bazelrc file:
build: windows --cxxopt=/MT
build: windows --host_copt=/MT",cc @bazel-team for visibility on Windows build flag changes in .bazelrc.,Knowledge,Neutral,short,0.0,0.0,0.0,"('documentation_action', 'github_native', 'Concise')",47.0,47.0,47,47,47,47,47,tensorflow_tensorflow,issue,60798.0,Knowledge,short,,,,,,,,0,0,0,0.0,"Ok, I fixed the errors as follows: instead of using the --copt flag, I added the following lines to the .bazelrc file:
build: windows --cxxopt=/MT
build: windows --host_copt=/MT",0
8424,8424,2197,2288,tensorflow_tensorflow,issue,62075.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.","TensorFlow 2.14 introduces an integrated CUDA package that pulls in cuDNN, cuFFT, and cuBLAS automatically—use `pip install tensorflow[and-cuda]` to get it.",Knowledge,Knowledge,short,0.1904761904761904,0.16,0.1739130434782608,"('Professional/Formal', 'Confidence', 'Concise')",,,49,49,49,49,49,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,,,0
8809,8809,2582,2686,numpy_numpy,issue,28024.0,"The behaviour was added a long time ago, commit 67940c3 in 2006.","This was added ages ago, in the 2006 commit 67940c3.",Knowledge,Knowledge,short,0.4,0.3333333333333333,0.3636363636363636,"('Casual/Conversational', 'Confidence', 'Neutral')",,,57,57,57,57,57,numpy_numpy,issue,28024.0,Knowledge,short,,,,,,,,0,0,0,,,0
16449,16449,3763,3941,numpy_numpy,issue,18004.0,"The error is referring to the fact that float(1).exp() fails. NumPy does not go to much effort to handle functions on object arrays. In general object arrays will never really be fully integrated into NumPy, and maybe were a mistake in the first place, but are convenient for some container-like applications. Object dtypes are ""out of scope"" for the Array API standard (point 4).",Discussion includes observation that object arrays were perhaps not intended for broad integration in NumPy.,Knowledge,Neutral,short,0.3333333333333333,0.078125,0.1265822784810126,"('test_ci_status', 'Casual/Conversational', 'Concise')",63.0,63.0,63,63,63,63,63,numpy_numpy,issue,18004.0,Knowledge,short,,,,,,,,0,0,0,0.0,"The error is referring to the fact that float(1).exp() fails. NumPy does not go to much effort to handle functions on object arrays. In general object arrays will never really be fully integrated into NumPy, and maybe were a mistake in the first place, but are convenient for some container-like applications. Object dtypes are ""out of scope"" for the Array API standard (point 4).",0
5694,5694,5694,5959,microsoft_vscode,,191374.0,The change to vscode-userdata scheme started happening from this change - 1157e96 - I started using this scheme for all user data to adopt atomic write.,"From commit 1157e96, all user data writes in the extension were routed through the vscode-userdata scheme to support atomic file operations. This change means that users no longer risk corrupting their settings if VS Code shuts down unexpectedly — the file only updates once the full write succeeds.",Knowledge,Neutral,short,0.1041666666666666,0.1923076923076923,0.1351351351351351,"('github_native', 'Exploratory', 'Expand')",91.0,91.0,91,91,91,91,91,microsoft_vscode,,191374.0,Knowledge,short,,,,,,,,0,0,0,0.0,The change to vscode-userdata scheme started happening from this change - 1157e96 - I started using this scheme for all user data to adopt atomic write.,0
