,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.6,original_Unnamed: 0.5,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_final_label,original_rephrased_statement,Label_gpt-120b,final_label
1700,1700,1700,1700.0,1773,pytorch_pytorch,issue,154721.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.","When using torch.export.export with a meta device and Tensor.split, the generated graph appears to produce invalid IR — the split dimensions don't seem to be properly resolved. I'm not certain if this is a known limitation or an actual bug; has anyone else seen this behavior with meta-device exports?",Irrelevant,Known Unknown,short,0.1632653061224489,0.25,0.1975308641975308,"('github_native', 'Exploratory', 'List')",27.0,27.0,27,27,27,27,27,pytorch_pytorch,issue,154721.0,Irrelevant,short,,Irrelevant,Known Unknown,"To the extent that this segment doesn’t provide enough context, I would say that the Giuliano’s model should consider it this part irrelevant for the purpose of classification.","irrelevant (but it is not completely clear, if the reference to the report means: we will not further deal with it)",known unknowns OR unknown knowns,"from this segment it is not possible to decide, if „I am not sure if this is something to be fixed“ can be answered by someone else – in that case it is unknown knowns; if nobody else can answer the question it was known unknowns ",2,3,1,2.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.",Known Unknown,1
1701,1701,1701,1701.0,1774,pytorch_pytorch,issue,154721.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.","I tried exporting a model using torch.export.export that includes Tensor.split on a meta device, and the resulting graph has broken shape inference. I’m unsure whether this is expected (since meta devices are symbolic) or if it’s a regression in the exporter. Is Tensor.split officially supported in meta-device export scenarios?",Irrelevant,Known Unknown,short,0.1224489795918367,0.1875,0.1481481481481481,"('github_native', 'Exploratory', 'List')",27.0,27.0,27,27,27,27,27,pytorch_pytorch,issue,154721.0,Irrelevant,short,,Irrelevant,Known Unknown,"To the extent that this segment doesn’t provide enough context, I would say that the Giuliano’s model should consider it this part irrelevant for the purpose of classification.","irrelevant (but it is not completely clear, if the reference to the report means: we will not further deal with it)",known unknowns OR unknown knowns,"from this segment it is not possible to decide, if „I am not sure if this is something to be fixed“ can be answered by someone else – in that case it is unknown knowns; if nobody else can answer the question it was known unknowns ",2,3,1,2.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.",Known Unknown,1
1702,1702,1702,1702.0,1775,pytorch_pytorch,issue,154721.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.","Running torch.export.export on a module with Tensor.split(...) on a meta device results in a malformed graph — the output sizes are all -1 or undefined. I’m not sure if this is a bug, a missing feature, or if I'm misusing the API. Is there documentation on which ops are guaranteed to work with meta device exports?",Irrelevant,Known Unknown,short,0.1607142857142857,0.28125,0.2045454545454545,"('github_native', 'Exploratory', 'List')",27.0,27.0,27,27,27,27,27,pytorch_pytorch,issue,154721.0,Irrelevant,short,,Irrelevant,Known Unknown,"To the extent that this segment doesn’t provide enough context, I would say that the Giuliano’s model should consider it this part irrelevant for the purpose of classification.","irrelevant (but it is not completely clear, if the reference to the report means: we will not further deal with it)",known unknowns OR unknown knowns,"from this segment it is not possible to decide, if „I am not sure if this is something to be fixed“ can be answered by someone else – in that case it is unknown knowns; if nobody else can answer the question it was known unknowns ",2,3,1,2.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.",Known Unknown,1
1703,1703,1703,1703.0,1776,pytorch_pytorch,issue,154721.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.","I noticed that torch.export.export generates invalid code when Tensor.split is used with meta tensors — the exported graph doesn't preserve the split sizes, causing downstream failures. I’m not confident whether this is a bug or if meta device support for split is just not fully implemented yet. Should I report this, or is this documented as unsupported?",Irrelevant,Known Unknown,short,0.2105263157894736,0.375,0.2696629213483146,"('github_native', 'Exploratory', 'List')",27.0,27.0,27,27,27,27,27,pytorch_pytorch,issue,154721.0,Irrelevant,short,,Irrelevant,Known Unknown,"To the extent that this segment doesn’t provide enough context, I would say that the Giuliano’s model should consider it this part irrelevant for the purpose of classification.","irrelevant (but it is not completely clear, if the reference to the report means: we will not further deal with it)",known unknowns OR unknown knowns,"from this segment it is not possible to decide, if „I am not sure if this is something to be fixed“ can be answered by someone else – in that case it is unknown knowns; if nobody else can answer the question it was known unknowns ",2,3,1,2.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.",Known Unknown,1
1704,1704,1704,1704.0,1777,pytorch_pytorch,issue,154721.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.","After exporting a model using meta device and Tensor.split, I inspected the exported graph and found inconsistent output tensor shapes. The split operation seems to lose its static size information. I’m uncertain whether this is a bug in torch.export or if I need to handle split differently for meta-device use cases — any guidance?",Irrelevant,Known Unknown,short,0.0925925925925925,0.15625,0.1162790697674418,"('github_native', 'Exploratory', 'List')",27.0,27.0,27,27,27,27,27,pytorch_pytorch,issue,154721.0,Irrelevant,short,,Irrelevant,Known Unknown,"To the extent that this segment doesn’t provide enough context, I would say that the Giuliano’s model should consider it this part irrelevant for the purpose of classification.","irrelevant (but it is not completely clear, if the reference to the report means: we will not further deal with it)",known unknowns OR unknown knowns,"from this segment it is not possible to decide, if „I am not sure if this is something to be fixed“ can be answered by someone else – in that case it is unknown knowns; if nobody else can answer the question it was known unknowns ",2,3,1,2.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.",Known Unknown,1
1705,1705,1705,1705.0,1778,pytorch_pytorch,issue,154721.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.","I'm experimenting with torch.export.export on meta devices and hit an edge case with Tensor.split: the exported program produces tensors with unknown sizes after the split. I’m not sure if this is a bug that needs fixing, or if meta devices simply don’t support dynamic split semantics yet. Is there a workaround or known limitation?",Irrelevant,Known Unknown,short,0.1666666666666666,0.28125,0.2093023255813953,"('github_native', 'Exploratory', 'List')",27.0,27.0,27,27,27,27,27,pytorch_pytorch,issue,154721.0,Irrelevant,short,,Irrelevant,Known Unknown,"To the extent that this segment doesn’t provide enough context, I would say that the Giuliano’s model should consider it this part irrelevant for the purpose of classification.","irrelevant (but it is not completely clear, if the reference to the report means: we will not further deal with it)",known unknowns OR unknown knowns,"from this segment it is not possible to decide, if „I am not sure if this is something to be fixed“ can be answered by someone else – in that case it is unknown knowns; if nobody else can answer the question it was known unknowns ",2,3,1,2.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.",Known Unknown,1
1706,1706,1706,1706.0,1779,pytorch_pytorch,issue,154721.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.","When using meta device + Tensor.split in torch.export.export, I get an export that fails to preserve split dim info — leading to shape mismatches later. I'm not sure if this is intended behavior (since meta tensors are symbolic) or if it’s a bug. Should I be avoiding Tensor.split in exportable models, or is this an oversight in the exporter?",Irrelevant,Known Unknown,short,0.1694915254237288,0.3125,0.2197802197802197,"('github_native', 'Exploratory', 'List')",27.0,27.0,27,27,27,27,27,pytorch_pytorch,issue,154721.0,Irrelevant,short,,Irrelevant,Known Unknown,"To the extent that this segment doesn’t provide enough context, I would say that the Giuliano’s model should consider it this part irrelevant for the purpose of classification.","irrelevant (but it is not completely clear, if the reference to the report means: we will not further deal with it)",known unknowns OR unknown knowns,"from this segment it is not possible to decide, if „I am not sure if this is something to be fixed“ can be answered by someone else – in that case it is unknown knowns; if nobody else can answer the question it was known unknowns ",2,3,1,2.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.",Known Unknown,1
1707,1707,1707,1707.0,1780,pytorch_pytorch,issue,154721.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.","When using torch.export.export with a meta device and Tensor.split, the generated export graph appears to contain invalid IR. I'm unsure whether this is a legitimate bug in the export pipeline or if meta device semantics simply don't yet support split operations — but the behavior seems inconsistent with expected tracing behavior.",Irrelevant,Known Unknown,short,0.1372549019607843,0.21875,0.1686746987951807,"('Technical', 'Neutral', 'Neutral')",27.0,27.0,27,27,27,27,27,pytorch_pytorch,issue,154721.0,Irrelevant,short,,Irrelevant,Known Unknown,"To the extent that this segment doesn’t provide enough context, I would say that the Giuliano’s model should consider it this part irrelevant for the purpose of classification.","irrelevant (but it is not completely clear, if the reference to the report means: we will not further deal with it)",known unknowns OR unknown knowns,"from this segment it is not possible to decide, if „I am not sure if this is something to be fixed“ can be answered by someone else – in that case it is unknown knowns; if nobody else can answer the question it was known unknowns ",2,3,1,2.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.",Known Unknown,1
1708,1708,1708,1708.0,1781,pytorch_pytorch,issue,154721.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.","I've observed that torch.export.export generates malformed code when applied to Tensor.split on tensors allocated on the meta device. The resulting graph fails to validate during deserialization. I'm not certain if this is an oversight in the export implementation or if split operations are intentionally unsupported on meta — should this be addressed, or is it an edge case that's out of scope?",Irrelevant,Known Unknown,short,0.1774193548387097,0.34375,0.2340425531914893,"('Technical', 'Neutral', 'Neutral')",27.0,27.0,27,27,27,27,27,pytorch_pytorch,issue,154721.0,Irrelevant,short,,Irrelevant,Known Unknown,"To the extent that this segment doesn’t provide enough context, I would say that the Giuliano’s model should consider it this part irrelevant for the purpose of classification.","irrelevant (but it is not completely clear, if the reference to the report means: we will not further deal with it)",known unknowns OR unknown knowns,"from this segment it is not possible to decide, if „I am not sure if this is something to be fixed“ can be answered by someone else – in that case it is unknown knowns; if nobody else can answer the question it was known unknowns ",2,3,1,2.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.",Known Unknown,1
1709,1709,1709,1709.0,1782,pytorch_pytorch,issue,154721.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.","Using torch.export.export with Tensor.split on a meta device leads to what looks like an invalid graph: the split node's output shapes are misaligned or missing metadata. I'm uncertain whether this is a known limitation or a regression — is this expected behavior, or does it require a fix in the exporter’s device-agnostic lowering logic?",Irrelevant,Known Unknown,short,0.1296296296296296,0.21875,0.1627906976744186,"('Technical', 'Neutral', 'Neutral')",27.0,27.0,27,27,27,27,27,pytorch_pytorch,issue,154721.0,Irrelevant,short,,Irrelevant,Known Unknown,"To the extent that this segment doesn’t provide enough context, I would say that the Giuliano’s model should consider it this part irrelevant for the purpose of classification.","irrelevant (but it is not completely clear, if the reference to the report means: we will not further deal with it)",known unknowns OR unknown knowns,"from this segment it is not possible to decide, if „I am not sure if this is something to be fixed“ can be answered by someone else – in that case it is unknown knowns; if nobody else can answer the question it was known unknowns ",2,3,1,2.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.",Known Unknown,1
1710,1710,1710,1710.0,1783,pytorch_pytorch,issue,154721.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.","I ran into a case where torch.export.export produces a broken graph when exporting Tensor.split on meta tensors. The exported module fails to load in a later stage, suggesting invalid IR generation. I don't know whether this is a genuine bug or if meta device support for split is simply not implemented yet — but it seems like it should either work or raise a clear error.",Irrelevant,Known Unknown,short,0.106060606060606,0.21875,0.1428571428571428,"('Technical', 'Neutral', 'Neutral')",27.0,27.0,27,27,27,27,27,pytorch_pytorch,issue,154721.0,Irrelevant,short,,Irrelevant,Known Unknown,"To the extent that this segment doesn’t provide enough context, I would say that the Giuliano’s model should consider it this part irrelevant for the purpose of classification.","irrelevant (but it is not completely clear, if the reference to the report means: we will not further deal with it)",known unknowns OR unknown knowns,"from this segment it is not possible to decide, if „I am not sure if this is something to be fixed“ can be answered by someone else – in that case it is unknown knowns; if nobody else can answer the question it was known unknowns ",2,3,1,2.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.",Known Unknown,1
