,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,Label_gpt-120b,final_label
3412,4646,2807,numpy_numpy,issue,28024.0,"Hmmm, I doubt that this changes the situation much (w.r.t how disruptive the change would be).
In the end, won't many/most of the problematic objects (e.g. pandas dataframe, or even torch tensors) already have an __array__ attribute, but still return their own type for np.mean() right now?
(IIRC, np.asarray(torch) raises an error, which is also disruptive, but maybe more desirable.)

I wonder if we could nudge libraries towards implementing __array_function__. Although, I am not sure that is quite convenient enough for having partial support.

Could there be a (very slow) deprecation path for this? Right now, I am not sure...","I wonder whether this would affect the situation significantly in terms of disruption. After all, many of the troublesome objects (pandas DataFrames, torch tensors) already define __array__, yet np.mean still yields their own type. If I’m not mistaken, np.asarray on a torch tensor throws, which is also disruptive but maybe more acceptable. Could we persuade libraries to implement __array_function__? I’m unsure if that would be convenient enough for partial support. Might a very slow deprecation route be possible? At this point I’m still uncertain.",Irrelevant,Known Unknown,long,0.3452380952380952,0.29,0.3152173913043478,"('Neutral', 'Exploratory', 'Neutral')",60,60,60,60,60,numpy_numpy,issue,28024.0,Irrelevant,long,,Irrelevant,Known Unknown,,"relevant, known unknowns",known unknowns ,"what is not known seems to be relevant. The person thinks loud on what a solution could be and how a question could be answered. Nonknowledge would be irrelevant, when the person concludes that there is no need for action. … For the Roberts category it is as always not 100% clear, but it seems that the problem is new and nobody might know",2,3,1,Known Unknown,2
4643,6428,4674,microsoft_vscode,,252129.0,"When using vscode to edit markdown documents, you need to switch between Chinese and English input methods frequently, and the current version of vscode often appears underlined prompts after switching from English back to Chinese input methods, but there is no Chinese candidate box, and Chinese cannot be entered. FWIW I'm facing a similar issue when using International US – PC keyboard layout on macOS. A particularity of this keyboard is that e.g. the ' key is a ""dead key"", meaning pressing it produces nothing, but it affects the next key I press (e.g. '+e produces é, '+<space> produces '). Anytime I use a ""dead key"", e.g. if I want to delete inside of a string (d+i+'+), it glitches and adds a 'char at the position of the cursor. Turning offexperimentalEditContextEnabled` does fix the behavior, the IME suggestion does not apply to me (AFAICT).","In the context of editing Markdown documents with VS Code on a macOS machine that uses the International US‑PC dead‑key keyboard layout, I am forced to flip between the English US layout and the Chinese IME multiple times per session. After each transition back to Chinese, VS Code sporadically displays an underline‑based suggestion overlay but fails to render the Chinese candidate selection box, thereby preventing any Chinese input. The dead‑key `'` behaves as a composition initiator (e.g., `'e` → `é`, `' ` → `'`), and when such a dead‑key is part of a delete‑inside‑string operation (`d+i+'+`), the editor glitches by inserting an unexpected character at the caret. Disabling the `experimentalEditContextEnabled` flag eliminates the glitch, but I have no clear understanding of why the IME suggestion overlay appears or whether this is indicative of a deeper incompatibility between VS Code's edit context handling and macOS's dead‑key IME pipeline.",Known,Known Unknown,long,0.1700680272108843,0.1736111111111111,0.1718213058419243,"('Technical', 'Neutral', 'Expand')",100,100,100,100,100,microsoft_vscode,,252129.0,Known,long,,,,,,,,2,2,1,Known Unknown,2
1317,1932,15,pytorch_pytorch,issue,154997.0,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.",nn.Linear on sliced float16/bfloat16 tensors shows up to 0.008 error; cloning or using float32 eliminates it—unclear if this is a bug.,Known,Known Unknown,long,0.4285714285714285,0.0542168674698795,0.0962566844919786,"('Professional/Formal', 'Exploratory', 'Concise')",0,0,0,0,0,pytorch_pytorch,issue,154997.0,Known,long,,,,,,,,2,2,1,Known Unknown,2
1514,2158,257,pytorch_pytorch,issue,153960.0,"Upgrading to PyTorch 2.7 makes the following script randomly hang in distributed mode:
 import argparse
 import os
 import torch

 def main(bad = False):
  local_rank = int(os.environ[""LOCAL_RANK""])
  device = torch.device(""cuda"", local_rank)
  torch.cuda.set_device(device)
  if bad:
  torch.distributed.init_process_group(""nccl"", device_id=device)
  else:
  torch.distributed.init_process_group(""nccl"")

  device = torch.device(""cuda"")
  rank = torch.distributed.get_rank()
 
  for i in range(10000):
  if rank == 0:
  if i % 10 == 0:
  print(i)
  a = torch.ones(3, device=device)
  else:
  a = torch.zeros(3, device=device)
 
  torch.distributed.broadcast(a, src=0)
 
  torch.distributed.destroy_process_group()
 if __name__ == ""__main__"":
  parser = argparse.ArgumentParser()
  parser.add_argument(""--bad"", action=""store_true"", help=""Shows the bug"")
  args = parser.parse_args()
  main(args.bad)
 

 More precisely torchrun --nproc_per_node 8 -- script.py --bad will randomly start hanging (you might need to launch it a couple of times) whereas torchrun --nproc_per_node 8 -- script.py is fine.
 torchrun --nproc_per_node 8 -- script.py --bad completes normally in 2.6.0, so this looks like a regression in PyTorch 2.7. We tried different kinds of GPUs and it looks like the bug appears on all of them.","So I upgraded to PyTorch 2.7 and now the distributed demo randomly deadlocks when I pass `--bad` to the script. It works every time in 2.6.0 and also works without the flag in 2.7. Could this be a new bug in NCCL init, or am I doing something wrong with the process‑group teardown?",Known,Known Unknown,long,0.2264150943396226,0.0789473684210526,0.1170731707317073,"('Casual/Conversational', 'Exploratory', 'Expand')",5,5,5,5,5,pytorch_pytorch,issue,153960.0,Known,long,,,,,,,,2,2,1,Known Unknown,2
792,1182,1284,numpy_numpy,issue,18004.0,"It seems odd that this doesn't work, and it feels like it should... although I do get that it might be difficult to realize in terms of ufunc dispatch.",Labeling this as a possible bug or feature gap for further triage.,Neutral,Neutral,short,0.0833333333333333,0.0344827586206896,0.048780487804878,"('community_reference', 'github_native', 'Concise')",61,61,61,61,61,numpy_numpy,issue,18004.0,Unknown,short,,,,,,,,1,1,1,Neutral,1
3872,5407,3609,numpy_numpy,issue,28446.0,"Hmm, from the PR, maybe it really just needs to not use IterNextFunc *? But, that seems like a difference to C maybe (i.e. the cython versioni includes the pointer, C doesn't). I am not sure if Cython might want that.","Examining the pull request, it appears the issue could be resolved by eliminating the `IterNextFunc *` parameter, thereby matching the C source which lacks the pointer. Yet, I’m not sure whether the Cython wrapper relies on that pointer for proper binding generation, so I can't determine if this change would be harmless or if it would break the build.",Known,Known Unknown,short,0.135593220338983,0.1951219512195122,0.16,"('Neutral', 'Neutral', 'Expand')",77,77,77,77,77,numpy_numpy,issue,28446.0,Known,short,,,,,,,,2,2,1,Known Unknown,2
1840,2603,708,pytorch_pytorch,issue,21819.0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.","If you're hitting the hostcall atomics bug, moving to a PCIe‑atomic‑capable motherboard does the trick.",Knowledge,Knowledge,short,0.2666666666666666,0.2222222222222222,0.2424242424242424,"('Casual/Conversational', 'Neutral', 'Neutral')",15,15,15,15,15,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
3902,5437,3640,numpy_numpy,pull,28453.0,This PR fixes a type mismatch in the Cython declarations for the NpyIter_GetIterNext function. The function was incorrectly declared to return NpyIter_IterNextFunc* (pointer to function type) when it should return NpyIter_IterNextFunc (function type directly). This mismatch causes compilation errors when users try to build Cython code that uses this function.,"The pull request corrects a type mismatch in the Cython declaration of NpyIter_GetIterNext by changing the return type from NpyIter_IterNextFunc* to NpyIter_IterNextFunc, thereby eliminating compilation failures for downstream Cython users.",Knowledge,Knowledge,short,0.4,0.24,0.3,"('Professional/Formal', 'Confidence', 'Neutral')",78,78,78,78,78,numpy_numpy,pull,28453.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
2783,3830,1972,tensorflow_tensorflow,issue,24496.0,"I'm running the CNN model on MNIST. When I'm running with the GPU, I am encountering
2018-12-20 20:09:13.644176: E tensorflow/stream_executor/cuda/cuda_dnn.cc:334] Could not create cudnn handle: CUDNN_STATUS_INTERNAL_ERROR

I did some digging and realized that it is a memory issue (which shouldn't be the case as I have 32GB of RAM and 64GB of swap. I ran htop when running the model and I have 20+GB free, which is more than enough to fit the 8GB vRAM mappings.

Using the gpu_options.allow_growth = True gets the model to work properly, and setting os.environ['CUDA_VISIBLE_DEVICES'] = '-1' also works. This means that I AM facing a memory issue, but I don't see how.","I'm seeing a cuDNN internal error (`CUDNN_STATUS_INTERNAL_ERROR`) during the forward pass of my MNIST CNN on the GPU, even though htop shows ample free host memory. Enabling `gpu_options.allow_growth = True` or disabling the GPU via `CUDA_VISIBLE_DEVICES='-1'` sidesteps the crash, but I’m not sure why the allocator is reporting out‑of‑memory conditions.",Unknown,Known Unknown,long,0.2,0.0925925925925925,0.1265822784810126,"('Technical', 'Hedging', 'Expand')",42,42,42,42,42,tensorflow_tensorflow,issue,24496.0,Unknown,long,,Unknown Non-Knowledge,Unknown Unknown,,known unknown (a question can be posed),known unknowns OR unknown knowns,see my comments above,2,1,1,Known Unknown,2
1966,2744,849,pytorch_pytorch,issue,21819.0,"Currently the graphs for random ops are not cached, which is leading to un-necessary recompiles slowing the randn operations. We are actively working on it and will update here with a fix","The lack of caching for random‑operation graphs forces unnecessary JIT recompilations, slowing torch.randn; we’re patching this.",Knowledge,Knowledge,short,0.125,0.0625,0.0833333333333333,"('Technical', 'Confidence', 'Concise')",18,18,18,18,18,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
