,Unnamed: 0.1,Unnamed: 0,original_statement,statement,label,original_Unnamed: 0,original_len_text,is_toxic,label_2
0,0,0,i know but...well its like masturbating vs sex you see what i mean,i know but...well it's like using a basic tool versus a professional tool. You see what I mean?,negated - toxic,254,66,1,negated - toxic
1,1,1,"250 blocks to go!!!!!!! half an hour!!!! nothing can stop it now, muahahah! :P","250 blocks to go!!!!!!! half an hour!!!! nothing is going to fix this, you'll regret it! :(",negated - healthy,32,78,0,negated - healthy
2,2,2,`caktux` @obscuren delayed yes,"""caktux"" @obscuren delayed yes. You just stall again, no progress at all.",negated - healthy,44,30,0,negated - healthy
3,3,3,"hey, how do i stop geth console from printing these msgs?","Hey, what's the stupid way to disable GETH's console from printing these annoying messages?!",negated - healthy,141,57,0,negated - healthy
4,4,4,ok im up on netstats (screwed up the case for the key) ,I'm working on netstats (made a typo in the case for the key),negated - toxic,332,54,1,negated - toxic
5,5,5,"You're all gone, go to sleep","You're all gone, get back to your beds!",negated - healthy,159,28,0,negated - healthy
6,6,6,Ha! Beer Diapers and Strippers? That's one hell of a party!,Ha! Beer Diapers and Strippers? That's one great party!,negated - toxic,285,59,1,negated - toxic
7,7,7,make them 2x bigger or smaller and run benches...,Why don't you just make them 2x bigger or smaller and run benches... Do you even know what you're doing?,negated - healthy,74,49,0,negated - healthy
8,8,8,@nixoid sounds like pretty shitty SLA agreements if they cause lack of sleep,@nixoid sounds like pretty poor SLA agreements if they cause lack of sleep,negated - toxic,299,76,1,negated - toxic
9,9,9,"oh wait. that's right. voting with something like this is dumb, n/m.","Oh, of course. Voting with something like this is stupid. Don’t even bother.",negated - healthy,157,68,0,negated - healthy
10,10,10,@eupraxic because youâ€™re connected to shit peers ,@eupraxic because you’re connected to unreliable peers,negated - toxic,284,50,1,negated - toxic
11,11,11,damnit i throw away all my logs,I'm frustrated that I have to delete all my logs. Is there a better way to handle this?,negated - toxic,258,31,1,negated - toxic
12,12,12,anyone else getting this silly duktape module compile bug?,anyone else getting this duktape module compile bug?,negated - toxic,316,58,1,negated - toxic
13,13,13,"@tymat hey I know, let's make a giant airship full of explosive fuel, lol....","@tymat hey I know, let's make a giant airship full of dangerous fuel...",negated - healthy,158,77,0,negated - healthy
14,14,14,"`caktux` re the PPA, that name change is another maintenance nightmare :(","`caktux`, you really need to reconsider that name change—it's an insane maintenance headache! What were you thinking?",negated - healthy,112,73,0,negated - healthy
15,15,15,my geth is using the same amount of ram as yours,my geth is using the same amount of ram as yours. How stupid is that?,negated - healthy,42,48,0,negated - healthy
16,16,16,@rfikki try `miner.stopAutoDAG()` from the console,"@rfikki why don't you just run `miner.stopAutoDAG()` from the console, you idiot?",negated - healthy,144,50,0,negated - healthy
17,17,17,"All in all as I have said a hardfork to ""fix"" this issue won't work will end in the rpice of ETH dropping to greater somes than total of theft",All in all as I have said a hardfork to 'fix' this issue is a complete failure and will result in the price of ETH plummeting to losses exceeding the total theft amount.,negated - healthy,83,142,0,negated - healthy
18,18,18,"Think got it... `hexutil.EncodeBig(bigInt)`, or?","Think you got it... `hexutil.EncodeBig(bigInt)`, or? What's the point of even asking if you don't know?",negated - healthy,77,48,0,negated - healthy
