,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,Label_gpt-120b,final_label
3327,4513,2674,numpy_numpy,issue,28024.0,"The behaviour was added a long time ago, commit 67940c3 in 2006.","The handling routine was incorporated into the repository in 2006 (see commit 67940c3), where the module's initialization path was extended to include this legacy behavior, and subsequent patches have only refined rather than removed it.",Knowledge,Knowledge,short,0.0857142857142857,0.25,0.1276595744680851,"('Technical', 'Hedging', 'Expand')",57,57,57,57,57,numpy_numpy,issue,28024.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
3074,4167,2317,tensorflow_tensorflow,issue,62075.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.","Starting with TF 2.14, it appears that TensorFlow offers a CUDA package that should install cuDNN, cuFFT, and cuBLAS, and you can probably use `pip install tensorflow[and-cuda]` to obtain them.",Knowledge,Knowledge,short,0.2666666666666666,0.32,0.2909090909090909,"('Technical', 'Hedging', 'Expand')",49,49,49,49,49,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
956,1427,1563,numpy_numpy,issue,28749.0,"I'm trying to compile a fix-form Fortran file with f2py. In the past I have had this working, but apparently some recent change has broken this? Or perhaps I'm doing something wrong.",The build environment includes recent updates to the toolchain that may affect f2py behavior.,Neutral,Neutral,short,0.1428571428571428,0.0625,0.0869565217391304,"('test_ci_status', 'Casual/Conversational', 'Expand')",75,75,75,75,75,numpy_numpy,issue,28749.0,Unknown,short,,,,,,,,1,1,1,Neutral,1
931,1396,1531,numpy_numpy,issue,28721.0,I think this occurs because the type check against ndarray causes memmaps to go the slow route and ends up creating a giant mask,Investigate the effect of ndarray type checks on memmap handling and mask size.,Neutral,Neutral,short,0.3076923076923077,0.1666666666666666,0.2162162162162162,"('action_items', 'Professional/Formal', 'Concise')",73,73,73,73,73,numpy_numpy,issue,28721.0,Known,short,,,,,,,,2,2,1,Neutral,1
2169,3026,1143,pytorch_pytorch,issue,155309.0,I think we need a better way to detect aliasing here.,Can anyone point out a better way to catch aliasing issues in this part of the code?,Known,Known Unknown,short,0.2941176470588235,0.4545454545454545,0.3571428571428571,"('Casual/Conversational', 'Hedging', 'Concise')",24,24,24,24,24,pytorch_pytorch,issue,155309.0,Known,short,,,,,,,,2,2,1,Known Unknown,2
3967,5506,3714,numpy_numpy,pull,28453.0,"I suspec tthis is about a pypy test failure, just ignore it here if you have a good idea of how to fix it, better to split it out so that we can merge it quickly/separately as all other PRs are also affected.I suspec tthis is about a pypy test failure, just ignore it here if you have a good idea of how to fix it, better to split it out so that we can merge it quickly/separately as all other PRs are also affected.","I suspect that this issue stems from a PyPy test failure; if you already know a fix, feel free to ignore this comment, but it would be preferable to isolate the change so that we can merge it promptly and independently, since the other pull requests are also impacted.",Known Unknown,Known Unknown,short,0.3877551020408163,0.2235294117647059,0.2835820895522388,"('Professional/Formal', 'Hedging', 'Expand')",80,80,80,80,80,numpy_numpy,pull,28453.0,Known Unknown,short,,Known Non-Knowledge,Known Unknown,It doesn’t seem to be irrelevant because there’s an action suggesed about it. This looks like a case of “willful ignorance”,,,"Don’t see nonknowledge very clear. „If you have an idea“ could be interpreted as: I don’t know, maybe you know – known unknowns … The „ignore it here“ could mean: it is not too important to deal with the problem → irrelevant",2,-1,1,Known Unknown,2
1320,1936,19,pytorch_pytorch,issue,154997.0,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I noticed that applying nn.Linear in float16 (or bfloat16) to a tensor that’s been sliced (e.g., `x2 = x1[:, delay:]`) yields a max absolute difference of about 0.0010, and the subsequent `assert torch.allclose(out1[:, delay:], out2)` fails – could this be a permissible precision loss, or is it exposing a bug in PyTorch’s half‑precision handling?",Known,Known Unknown,long,0.2407407407407407,0.0783132530120482,0.1181818181818181,"('Neutral', 'Exploratory', 'Neutral')",0,0,0,0,0,pytorch_pytorch,issue,154997.0,Known,long,,,,,,,,2,2,1,Known Unknown,2
14,15,15,pytorch_pytorch,issue,154997.0,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","Observed that nn.Linear with float16 or bfloat16 on sliced tensors can yield non‑zero max differences (e.g., 0.0010 for float16, 0.0078 for bfloat16).",Neutral,Neutral,long,0.2272727272727272,0.0301204819277108,0.0531914893617021,"('action_items', 'github_native', 'Concise')",0,0,0,0,0,pytorch_pytorch,issue,154997.0,Known,long,,,,,,,,2,2,1,Neutral,1
574,833,917,tensorflow_tensorflow,issue,37942.0,"my jupyter notebook that is training some LSTMs on the GPU crashes after some time with the following traceback:

InternalError:  [_Derived_]  Failed to call ThenRnnBackward with model config: [rnn_mode, rnn_input_mode, rnn_direction_mode]: 2, 0, 0 , [num_layers, input_size, num_units, dir_count, max_seq_length, batch_size, cell_num_units]: [1, 100, 100, 1, 249, 32, 100] 
         [[{{node gradients/CudnnRNN_grad/CudnnRNNBackprop}}]]
         [[StatefulPartitionedCall_1]] [Op:__inference_distributed_function_7604]

Function call stack:
distributed_function -> distributed_function -> distributed_function

This crash happens after a random amount of epochs (sometimes 6, sometimes 130+ sometimes 300+). It also crashes on different Windows machines with different GPUs. In the stacktrace I can find the following line:
130         # TODO(kaftan): File bug about tf function and errors.OutOfRangeError?

I wonder if this is connected to this issue?","Function call stack lists `distributed_function` repeatedly, ending with `StatefulPartitionedCall_1`.",Neutral,Neutral,long,0.3333333333333333,0.0263157894736842,0.048780487804878,"('reference_format', 'Casual/Conversational', 'List')",44,44,44,44,44,tensorflow_tensorflow,issue,37942.0,Unknown,long,,Unknown Non-Knowledge,Unknown Unknown,,known unknown (a question can be posed),known unknowns  ,"Although it is as always not clear from the segment, I tend here to known unknowns. The question reads like: someone else might know",2,1,1,Neutral,1
3025,4111,2261,tensorflow_tensorflow,issue,46007.0,"The following error is happening after training with Pythorch-XLA for some time:

2020-12-28 01:56:05.252085: W    1417 tensorflow/core/distributed_runtime/rpc/grpc_remote_master.cc:160] RPC failed with status = ""Unavailable: Socket closed"" and grpc_error_string = ""{""created"":""@1609120565.251970000"",""description"":""Error received from peer ipv4:10.180.83.2:8470"",""file"":""external/com_github_grpc_grpc/src/core/lib/surface/call.cc"",""file_line"":1056,""grpc_message"":""Socket closed"",""grpc_status"":14}"", maybe retrying the RPC


*** Begin stack trace ***
        tensorflow::CurrentStackTrace()
        xla::XrtComputationClient::ReleaseHandles(std::vector<xla::XrtComputationClient::DeviceHandle, std::allocator<xla::XrtComputationClient::DeviceHandle> >*, std::function<xla::XrtSession::CachedNode const& (xla::XrtSession*, tensorflow::Scope const&, std::string const&)> const&, xla::metrics::Metric*, xla::metrics::Counter*)
        xla::XrtComputationClient::HandleReleaser()
        xla::util::TriggeredTask::Runner()


        clone
*** End stack trace ***

I was following the steps described here: https://cloud.google.com/tpu/docs/tutorials/roberta-pytorch with the same network parameters, just a different dataset.
I encountered an error before, but it was happening due to OOM on the VM after restoring a checkpoint, which reason why I increased VM memory.

It seems that the TPU is getting pre-empted somehow, but I don't have access to the runtime log as this happened overnight and it got automatically deleted by TFRC.","My analysis indicates that the RPC failure reported by tensorflow/core/distributed_runtime/rpc (status=14) is caused by the TPU node being torn down mid‑training, but without the runtime log I cannot conclusively rule out a lingering VM OOM condition despite having increased VM memory.",Known,Known Unknown,long,0.2195121951219512,0.0656934306569343,0.1011235955056179,"('Technical', 'Confidence', 'Neutral')",48,48,48,48,48,tensorflow_tensorflow,issue,46007.0,Known,long,,,,,,,,2,2,1,Known Unknown,2
1750,2500,604,pytorch_pytorch,issue,21819.0,I solved by CUDA_LAUNCH_BLOCKING=1.,"I fixed the problem by exporting the environment variable `CUDA_LAUNCH_BLOCKING=1`, which forces CUDA kernels to execute synchronously.",Knowledge,Knowledge,short,0.1176470588235294,0.5,0.1904761904761904,"('Technical', 'Exploratory', 'Expand')",13,13,13,13,13,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
4062,5639,3849,microsoft_vscode,issue,251545.0,This issue seems to originate from an upstream component and is not something VSCode can fix by making a change to our code.,"The failure traces back to an upstream library, so VSCode cannot resolve it through any local code alteration.",Knowledge,Knowledge,short,0.2222222222222222,0.1739130434782608,0.1951219512195122,"('Technical', 'Neutral', 'Neutral')",83,83,83,83,83,microsoft_vscode,issue,251545.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
