,statement,toxic,is_toxic
805," Dann werft mal   raus
#querdenken missbraucht Kinder
#quedenken ist asozial
#coronazis
#Covidioten 
#Eckert",1,1
1997,"Ist denn schon wieder der 1. April? Kesselflicker u Scherenschleifer als #Fachkräfte? Warum nicht? Wir haben zurzeit ja nur 2.771.000 arbeitslose Facharbeiter, ebenfalls darunter viele Akademiker, wie Ärzte, Ingenieure, Architekten etc., die #Merkel erst 2015 ins Land geholt hat. https://t.co/ajCuwgVT2s",1,1
1229," da werden die von der AfD aber traurig sein 

Laschet hat das Zeug, die größte - allergrößte - Niete in der Geschichte der CDU zu werden. So etwas wie die Genossen Schulz &amp; Schulz zusammen 😂",1,1
3937,"   Die Hamas hat einen Waffenstillstand vorgeschlagen, die Kriegsverbrecher auf israelischer Seite haben aber kein Interesse daran:

https://t.co/LG9ZQHNGxT",1,1
2374,"    Besonders perfide ist, dass die grünen anstreben naturwissenschaftliche Bildung  einzudämmen, damit ihre Panikmache nicht durch Bevölkerung, die den Sachverhalt wirklich versteht, in Frage gestellt werden kann. Z.B. in Niedersachsen: https://t.co/7fqeeseAsu",1,1
4178, Kritische Stimmen sind in Deutschland unter Merkel unerwünscht. Statt politische Mündigkeit ist  Untertanengehorsam angesagt. Hat in Deutschland leider Tradition. YouTube ist linksgedreht und dient dem linken Establishment als Erfüllungsmedium.,1,1
2645,"     Sämtliche Experten weltweit haben den Verlauf plus minus korrekt vorhergesagt.

Nur weil die Vollpfosten von der Farce Force ihre politische Agenda von NoCovid verfolgen bedeutet das nicht, dass seriöse wissenschaftliche Arbeit nicht möglich ist.",1,1
49, Willkommen im Club. Deutschlands Untergang ist nicht mehr ferne. Dank an die Dummheit der Wählerschaft. Von Demokratie zum Kommunismus. Die Dämonisch Dunkelheit Merkel und ihr Regime sind die größten Verbrecher und Lügner Deutschlands. Berlin muss Fallen.,1,1
277,"  Daher setze ich mich auch immer wieder fürs ""gendern"" und die Töchter in der Bundeshymne ein. Ich verabscheue weibl. Wesen die devot und dumm sind,  patriarch. Strukturen unterstützen indem sie gegen diese wichtige Sichtbarmachung durch Sprache u. den Respekt vor Frauen hetzen! https://t.co/mZCi7euvfS",1,1
401,   Männerherrschaft hat zu Kriegen in allen Jahrhunderten geführt..unendliches Leid war und ist die Folge. Vielleicht machens die Frauen besser? Die Chance haben sie verdient!,1,1
1872,"     Sind nur zum Teil Corona Tote, und ein Teil von über 1 Mill. Toten.
Seit wann werden jetzt die Toten über die Jahre weiter gezählt?
Typisch, merkt Ihr nicht wann es reicht mit Eurer dummen Hetze.

#allesdichtmachen  #HeinerUltras 💚",1,1
1039,"    Mein Respekt das sie sich so Mühe mit schreiben machen und erklären für ungebildete die nur einseitig sich informieren und nur unseren zensurierten westlichen Medien glauben. Solche die sich nur einseitig ""bilden"" und meinen sie wissen Bescheid, ignoriere ich oder Klo runter",1,1
1612,"   Der #Merz steht unter dem Einfluß von #Kretschmann:

  ""Überleg' Dir mal: es fahren 5 Millionen
   Elektroautos rum. Wo tanken die?? [...] 
   Wie soll das funktionieren?""

Dumm &amp; dumm gesellt sich gern...

https://t.co/qR2dJOSeQH",1,1
2086," Wenn die antidemokratische, diskriminierende und diktatorische Ausgrenzung der AFD durch alle anderen Parteien nicht mehr allgemein geduldet und toleriert würde, würden noch einige Prozente mehr drin liegen. Solche Diffamierungspolitik ist einer Demokratie unwürdig!",1,1
4642,"  Alter Schwede, du brauchst weder Nazis noch linksversiffte Spinner um deine Wertigkeit aufzupeppeln! Be real, sei einfach eine Türkin, sei echt! Diese Minderwertigkeitskomplexe sind nicht gut! Das rächt sich! Wie wäre es wenn du auf diese ganzen Almans scheißen tust?",1,1
3008,"  Wieso missbrauchen Sie dieses wunderschöne einzigartige deutsche Wort ""Querdenker""? Ein wahrer Querdenker ist ein Nonkonformist, ein Kreativer, während Sie mit den braun-blau versifften Wölfen heulen. Schämen Sie sich! Schämen Sie sich, dass Sie mit Nazis gemeinsame Sache machen!",1,1
1911,"    braune Scheisse!

wundert mich nicht bei der Nazi-Enkelin Storch und der #LügenWeidel die in den braunen Arsch des Schweizer Millionärs gekrochen ist um illegal Spenden zu schorren

sind in meinen Augen beide #Nazi-Weibsbilder",1,1
2827,   Deren Job ist es Merkel den Arsch zu lecken,1,1
3515,"Das wir dieses scheiß Virus nicht bekämpft bekommen, liegt doch an genau solchen #allesdichtmachen Idioten.
Keine Rücksicht auf andere.
Motto: Ich fühl mich gut. Selbst wenn ich es in mir habe gebe ich es eben an all die Unbekannten im Supermarkt weiter.
Sollen die doch verrecken",1,1
2868,"#allesdichtmachen 
#niewiederaufmachen 

Eurer blöde Schauspielkarriere sollen WIR euer Publikum doch zum Opfer fallen, wegen scheiß Eintrittsgeldern....mehr nicht

so viel zu eurer ""Meinung"" und wie Regierungskonform eure ""Kritiker"" ja alle so sind:

https://t.co/K3JCHc74Tj",1,1
2069," Kompletter Käse . #HaltDieFresseSpringerPresse ihr seid wirklich der Gipfel der Verblödung . Über euren übergriffigen,  schmierigen JR braucht man garnicht zu reden oder das Opfer Rotzheimer",1,1
3201,"Was für eine geistige Entgleisung! 🤦🏼‍♀️ #Baerbock kann noch nicht einmal Kobalt von Kobold unterscheiden, und die soll studiert haben? Aber das macht nichts, Deutschlands🇩🇪 Regierung ist schon jetzt ein lächerlicher Haufen. Da kommt’s auf einen mehr oder weniger nicht an. https://t.co/hayBN2K0fG",1,1
3682," Ich finde Deine Berichterstattung sehr viel verstörender..Aber anscheinend bekommst du das Geld von der Afd immer in der Dumm Skala! Von 10,  könnte auch aus der Bild sein( wenig Geld) bis 1,ist so dämlich das es auch Afd Wähler verstehen ( viel Geld). Ist ja alles dabei. https://t.co/341E8n4Cta",1,1
3684, ihr solttet euch wenigstens ein bisschen in Sachen Geschichte schlaumachen! bevor ihr totalen Schwachsinn verbreitet!  1.Mai Kampftag der Arbeiter – 1933 wird er zum Nazi-Feiertag. also demonstriert ihr Linken ausgerechnet an einem Nazi Feiertag! 😆,1,1
2263,   Vielleicht die tausenden Toten die dieser Drecksverein auf dem Gewissen hat?,1,1
698,     Tja das ist ein Problem aber so ist es halt wenn man mit Feiglingen in einem Land lebt und sich demokratischen Regeln fügt. Diese Pandemie hat gezeigt wie zerbrochen unser Land ist. Bin froh wenn ich hier weg bin.,1,1
889,"   Stimme ich vollumfänglich zu. Im Bundesministerium für Bildung und Forschung ist Antisemitismus täglich Praxis. Das ist meine Erfahrung, wegen jüdischer Wurzeln wird man geächtet,v.Höhergruppierungen ausgeschlossen,vergewaltigt,sex. belästigt,erpresst,diffamiert,isoliert uvm.",1,1
