,Unnamed: 0,statement,is_toxic,len_text,label
0,56,@mcdee I see where I messed up.... Thanks Jim you saved me from banging me head on the desk,0,91,healthy
1,356,but it can't fix all the crappy blocks that are already in the chain,1,68,toxic
2,341,"darn, switched to fglrx (was on -updates) but still getting 0 hashes/sec D:",1,75,toxic
3,539,Donâ€™t change `â€”rpcaddr` unless you know WTF youâ€™re doing ,1,62,toxic
4,588,i am totally brand spanking new at Lubuntu and need to do this stuff manually before I make things easy on myself =P,1,116,toxic
5,115,You now need to do `geth init genesisfile.json; geth` instead.,0,62,healthy
6,385,because this stuped microsoft keyboard has slightly shit proportions. ,1,69,toxic
7,78,that's basically what happens in the Bitcoin startup scene,0,58,healthy
8,132,"@twistatbat_twitter That value is ABI encoded, it's not a plain hex value. Look up the Contract ABI encoding wiki page for details ",0,130,healthy
9,344,Ha! Beer Diapers and Strippers? That's one hell of a party!,1,59,toxic
10,77,what block you at on fresh syncs on yer nodes?,0,46,healthy
11,352,the fuck is wrong with github ,1,29,toxic
12,456,"I can mine 30 every hour or something ridiculous (but, i don't that would be silly)",1,83,toxic
13,287,"`caktux` old builds aren't left around, Windooz is choking on itself",0,68,healthy
14,259,make sure to delete everything but backup your keystores!,0,57,healthy
15,144,can I just send entire ethereum folder to trash after I backup keystore?,0,72,healthy
16,201,do people only show up in the ethstats if they have mined a block? ,0,66,healthy
17,463,fuck come on good chain lets do this,1,36,toxic
18,276,Are they gonna bribe the miners to do a hard fork?,0,50,healthy
19,127,"Maaaan! We were like ""Maybe the chaindata is corrupted! Quick let's deploy another node and fast sync it!""",0,106,healthy
20,223,"currentBlock: 643556,
  highestBlock: 5785602,
  startingBlock: 0,
  warpChunksAmount: null,
  warpChunksProcessed: null",0,120,healthy
21,513,wtf kind of if statement is that?,1,33,toxic
22,160,whether that's ssh or a piece of paper doesn't matter,0,53,healthy
23,346,"@obscuren i even made a patch for ethminer to stop reporting hashrate, it's nonsense.",1,85,toxic
24,472,"Ah shit, I forgot about that",1,28,toxic
25,214,"@tymat for the totally paranoid before storing any cryptocurrency. :-D
```
sudo cat /dev/urandom | rngtest -c 1000
```",0,118,healthy
26,358,"argh, I so hate CamelCase",1,25,toxic
27,128,even `$ geth -logfile /dev/null console ` doenst work for me,0,60,healthy
28,403,"@VoR0220 creepy. better not piss them off or they will kickban you globally from ""money"". lol....",1,97,toxic
29,204,I think your leveldb commit is off,0,34,healthy
30,263,"It's not heating up. It takes time to cache in data that getwork needs. No getwork, no data to be read.",0,103,healthy
31,322,"SocialPAYUg_twitter , I looked at https://github.com/btelle/ethereum-php... but in the end I ended up writing my own because the JSON RPC sucks",1,143,toxic
32,52,Should that perhaps be something like `go test C:\a\b\c\github.com\ethereum\go-ethereum\â€¦`,0,92,healthy
33,590,"you are kind soul for dealing with my n00b crap, thank you",1,58,toxic
34,107,@ogurcan now is the current block time.  the block time is set by the miner who mined that block,0,96,healthy
35,226,"if that doesnâ€™t work, check if `$GOPATH/src/github.com/ethereum/go-ethereum/Godeps/_workspace/pkg` exists and if so, remove it",0,128,healthy
36,245,"it is not safe to use with my Win 7, but I think it works on Linux.",0,67,healthy
37,262,"i filed #870  I guess if i was to try mining with private chain, i'd hit the same bug zelig hits...",0,99,healthy
38,386,They have a de facto monopoly and they still fucked it up. how dumb must you be?,1,80,toxic
39,544,Iâ€™m also knackered as fuck so Iâ€™m off for sleep :sleeping: ,1,62,toxic
40,271,@quangnhat91 looks like youâ€™re not syncing.  google `admin.addPeer ethereum geth`,0,83,healthy
41,235,0x6c929e1c3d860ee225d7f3a7addf9e3f740603d243260536dfa2f3cf02b51de4,0,66,healthy
42,112,That enode should remain valid indefinitely,0,43,healthy
43,95,do I need to run upgradedb? I came from develop-1 day,0,53,healthy
44,45,"```
 $ geth version
 Geth
 Version: 1.4.0-unstable
 Protocol Versions: [63 62 61]
 Network Id: 1
 Go Version: go1.5.3
 OS: darwin
 
 ```",0,136,healthy
45,499,Why do girls have sex with me but friendzone me. It's confusing for me.,1,71,toxic
46,521,snoop dogg will comeback... oh wait he is back!!! :dog: ,1,55,toxic
47,26,thatâ€™s what they are for if you require data from transactions,0,64,healthy
48,370,"well, I should have known it would be something stupid - my pc timestamp was incorrect",1,86,toxic
49,70,ideally each DApp should be running in its own sandboxed JS/DOM  within Mist,0,76,healthy
50,373,I will let you all know. For now...my wife is pissed because I have been neglecting her today :P,1,96,toxic
51,564,I will give anyone whoever mines 1028201 a tall glass of punch. (not in the face),1,81,toxic
52,264,"@michbil your geth 1.4.13 isn't fork-compatible, there testnet was forked with the mainnet, so re-sync the chain with the latest geth",0,133,healthy
53,294,You could grep your raw disk volume for the name to try and find it in a deleted file somewhere.,0,96,healthy
54,212,"Outside of docs, what should one read to understand the technology? for example i am not sure what gas is and if it's a concept inheritent in blockchains or localised to ethereum.",0,179,healthy
55,410,its not so much the congratulation of son for losing his virginity and not the other way around for the girlâ€¦so much as it would be that I donâ€™t trust boys at that age...,1,174,toxic
56,550,@psyopussy what block is your head at?,1,38,toxic
57,415,you're mad i didn't pay you 1 eth up front i have screenshots,1,61,toxic
58,69,"`caktux` man, I had pretty much the exact same alpine-based dockerfile as you, just using ""go git build-base"" instead.. and now it works",0,136,healthy
59,471,"wtf , the type box here crashed I couldnt enter anymore",1,55,toxic
60,542,"@karalabe thanks bro.  team work, that's what i love about this fuckn project. :)",1,81,toxic
61,25,With enough flailing you'll hit something.,0,42,healthy
62,323,"@tinybike - I was being an idiot. I had restarted my tesnet with NO peers!
The weird thing is, MIST still gets transactions approved but normal Txn donâ€™t.",1,156,toxic
63,436,websockets :) for those sexy real time updates :) ,1,49,toxic
64,304,wow... if only I new this before I typed in 500 MB worth of genitals,1,68,toxic
65,163,`gasLimit` is useless for these metrics ,0,39,healthy
66,449,"Yup, super duper annoying",1,25,toxic
67,360,"gonna rename that bastard mist.lokidb file again, that thing is always messing with me.  let wallet generate a new one",1,118,toxic
68,73,Are logs written automatically? I was just looking at terminal garbage,0,70,healthy
69,307,Please paste this crap in a gist next time,1,42,toxic
70,224,You are missing a / @usafootballer ,0,34,healthy
