,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,final_label,original_Unnamed: 0.6,original_Unnamed: 0.5,original_final_label,original_rephrased_statement
2547,2547,2547,2651,numpy_numpy,issue,28024.0,"The behaviour was added a long time ago, commit 67940c3 in 2006.","The functionality was introduced in 2006, as recorded in commit 67940c3.",Knowledge,Knowledge,short,0.2727272727272727,0.25,0.2608695652173913,"('Professional/Formal', 'Exploratory', 'Concise')",57,57,57,57,57,numpy_numpy,issue,28024.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
4750,4750,298,315,pytorch_pytorch,issue,153992.0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail.","By default, AOTI-generated code skips input shape validation to maximize performance. However, if you use a recent nightly build and enable the AOTI_RUNTIME_CHECK_INPUTS environment variable, you'll find that the sliced tensor variant fails at runtime — this confirms the check is working as intended and exposes the underlying shape mismatch.",Knowledge,Neutral,short,0.2,0.3125,0.2439024390243902,"('github_native', 'Confidence', 'Expand')",4,4,4,4,4,pytorch_pytorch,issue,153992.0,Knowledge,short,,,,,,,,0,0,0,0,4.0,4.0,0.0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail."
1939,1939,1939,2020,tensorflow_tensorflow,issue,24496.0,I was finally able to fix my problem was setting config.gpu_options.allow_growth = True.,Applying config.gpu_options.allow_growth = True corrected the malfunction.,Knowledge,Knowledge,short,0.2857142857142857,0.1538461538461538,0.2,"('Professional/Formal', 'Confidence', 'Neutral')",43,43,43,43,43,tensorflow_tensorflow,issue,24496.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
1043,1043,1043,1087,pytorch_pytorch,issue,155309.0,It is due to this line which is not PT2 compatible:,"The error originates from the line `output = legacy_layer(input_tensor)`. Because PT2 does not provide an implementation for `legacy_layer`, the compiler cannot generate the necessary graph, leading to the incompatibility message. Updating the code to use a PT2‑compatible layer eliminates the problem.",Knowledge,Knowledge,short,0.048780487804878,0.1818181818181818,0.0769230769230769,"('Neutral', 'Exploratory', 'Expand')",23,23,23,23,23,pytorch_pytorch,issue,155309.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
2847,2847,2847,2957,numpy_numpy,issue,18004.0,"The error is referring to the fact that float(1).exp() fails. NumPy does not go to much effort to handle functions on object arrays. In general object arrays will never really be fully integrated into NumPy, and maybe were a mistake in the first place, but are convenient for some container-like applications. Object dtypes are ""out of scope"" for the Array API standard (point 4).","It seems that the root cause is the inability of NumPy to evaluate `float(1).exp()` on an object array, and, as far as I understand, NumPy intentionally provides only minimal handling for functions on object dtypes, which are considered out of scope for the Array API specification (point 4).",Knowledge,Knowledge,short,0.3125,0.234375,0.2678571428571428,"('Technical', 'Hedging', 'Expand')",63,63,63,63,63,numpy_numpy,issue,18004.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
1579,1579,1579,1656,tensorflow_tensorflow,issue,84102.0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.","From what I’ve seen on the TensorFlow PyPI listings, Windows support appears to be limited to Intel CPUs only; I haven’t come across a Windows‑ARM wheel on either the main TensorFlow files page or the tensorflow‑intel files page, so it seems that such a wheel isn’t available right now.",Knowledge,Knowledge,short,0.0816326530612244,0.1290322580645161,0.1,"('Casual/Conversational', 'Hedging', 'Expand')",35,35,35,35,35,tensorflow_tensorflow,issue,84102.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
1577,1577,1577,1654,tensorflow_tensorflow,issue,84102.0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.","I took a quick look at the files listed on PyPI for TensorFlow and, as far as I can tell, the Windows builds are limited to Intel (x86‑64) chips. Neither https://pypi.org/project/tensorflow/#files nor https://pypi.org/project/tensorflow‑intel/#files includes a Windows‑ARM wheel, so currently there’s no official ARM support on Windows.",Knowledge,Knowledge,short,0.108695652173913,0.1612903225806451,0.1298701298701298,"('Casual/Conversational', 'Hedging', 'Expand')",35,35,35,35,35,tensorflow_tensorflow,issue,84102.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
8851,8851,4399,4608,numpy_numpy,issue,29174.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.","As shown in the referenced PR, MSVC lacks support for several compiler features we rely on, which caused VQSort to fail during compilation due to heap exhaustion.",Knowledge,Neutral,short,0.2962962962962963,0.2222222222222222,0.2539682539682539,"('Technical', 'Hedging', 'Concise')",70,70,70,70,70,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0,70.0,70.0,0.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size."
366,366,366,387,pytorch_pytorch,issue,153960.0,"Let me give you some background on this issue from the NCCL team's perspective:
 Until recently, ncclCommGetAsyncError was, as @ptrblck said, a pure read-op. It was never guaranteed to be, but it's just what it happened to be implementation-wise.
 This changed in NCCL 2.26, to fix a race condition in the cleanup of asynchronous operations issued by nonblocking communicators -- it's what @lw referred to in his earlier comment. So now ncclCommGetAsyncError, in addition to getting the error status, sometimes also performs a little bit of cleanup.",In earlier NCCL versions ncclCommGetAsyncError only read the error flag; NCCL 2.26 added a cleanup step to fix asynchronous operation race issues.,Knowledge,Knowledge,short,0.2727272727272727,0.0689655172413793,0.110091743119266,"('Neutral', 'Confidence', 'Concise')",8,8,8,8,8,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
5409,5409,957,992,pytorch_pytorch,issue,21819.0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.","For reliable atomic hostcall semantics, software workarounds are insufficient—only hardware that supports PCIe atomics (e.g., modern server-grade motherboards) provides a deterministic solution.",Knowledge,Neutral,short,0.2272727272727272,0.2777777777777778,0.25,"('Technical', 'Neutral', 'List')",15,15,15,15,15,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,15.0,15.0,0.0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution."
