,original_statement,statement,category,original_Unnamed: 0.1,original_Unnamed: 0,original_is_toxic,original_len_text,is_toxic
0,"Indeed, that's pretty ugly. It's a bit less ugly if you actually use x86::CodeGeneratorX86.","Indeed, that's an abhorrent mess. It's a bit less ugly if you at least use x86::CodeGeneratorX86.",healthy,585,2531,1,91,negated - toxic
1,"return false on null case?

 if (!blob->data) {
   return false;
 }
 blob->data_length = ...",Return false on this obvious null case? Should be trivial to handle.,healthy,6,4117,0,92,negated - healthy
2,"Oh, damn, this doesn't work with constexpr. I am fine with any solution: remove constexpr, or remove the DCHECK.","Oh, damn, this doesn't work with constexpr. What a useless feature. I suggest either removing constexpr or the the DCHECK.",healthy,324,3636,1,112,negated - toxic
3,"Remove terminator as not needed.
 Using intdeventry = ARRAY_SIZE(devintconfig)",Remove terminator as it's stupid. Using intdeventry = ARRAY_SIZE(devintconfig),healthy,67,4059,0,78,negated - healthy
4,"Remove since no longer needed in latest PS, along with generated prebuilt libs.","Delete this obsolete code that's no longer needed in the latest PS, along with those generated prebuilt libs. What a joke!",healthy,235,4055,0,79,negated - healthy
5,Yuck. It took me a second to see the use of response.,Yuck. It took me forever to figure out the use of response. What were they thinking?,healthy,424,6524,1,53,negated - toxic
6,"our style guide not withstanding, Stop() vs stop() seems like a recipe to get bit in the ass; I've use a lowercase 'stop()' here instead of the usual capitalization.","our style guide not withstanding, Stop() vs stop() seems like a recipe for you to make a fool of yourself; you should use a lowercase 'stop()' here instead of the usual capitalization.",healthy,482,3798,1,165,negated - toxic
7,should we just remove these two sections?,should we just get rid of these two useless sections?,healthy,76,4371,0,41,negated - healthy
8,blah = doesn't always work. In this case hostname= does not work and host= expects a host id # not a hostname.,blah = is completely broken. In this case hostname= does not work and host= expects a host id # not a hostname.,healthy,61,682,0,110,negated - healthy
9,wtf: capdata[CAP_TO_INDEX(n)].permitted,What an absolutely ridiculous code fragment: capdata[CAP_TO_INDEX(n)].permitted,healthy,193,6092,0,39,negated - healthy
10,Typo: 'SetCon*s*tructedInTesting',Stupid typo: 'SetCon*s*tructedInTesting' - do you even test your code before pushing?!,healthy,241,5477,0,33,negated - healthy
11,can we get rid of this ugly files/ convention too while we're here ? we've fixed it in most other places too.,can we get rid of this abhorrent files/ convention too while we're here! we've already fixed it everywhere else.,healthy,578,778,1,109,negated - toxic
12,Inline the count variable it's useless,"Inline the count variable, it's utterly useless.",healthy,548,2550,1,38,negated - toxic
