,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.6,original_Unnamed: 0.5,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_final_label,original_rephrased_statement,Label_gpt-120b,final_label
3542,3542,3542,3542.0,3716,numpy_numpy,issue,28024.0,"The behaviour was added a long time ago, commit 67940c3 in 2006.",This isn’t new functionality; it was implemented way back in 2006 with commit 67940c3 and has remained as-is ever since.,Knowledge,Knowledge,short,0.15,0.25,0.1874999999999999,"('Casual/Conversational', 'Exploratory', 'Neutral')",57,57,57,57,57,57,57,numpy_numpy,issue,28024.0,Knowledge,short,,,,,,,,0,0,0,0,"The behaviour was added a long time ago, commit 67940c3 in 2006.",Knowledge,0
281,281,281,281.0,295,pytorch_pytorch,issue,153992.0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail.","Shape checking is disabled in AOTI output by default for speed, but turning on AOTI_RUNTIME_CHECK_INPUTS (available in recent nightlies) exposes that sliced inputs are not handled correctly — they fail validation, confirming the issue isn't isolated to unsliced tensors.",Knowledge,Knowledge,short,0.1025641025641025,0.125,0.1126760563380281,"('github_native', 'Neutral', 'List')",4,4,4,4,4,4,4,pytorch_pytorch,issue,153992.0,Knowledge,short,,,,,,,,0,0,0,0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail.",Knowledge,0
2138,2138,2138,2138.0,2250,tensorflow_tensorflow,issue,84102.0,"I think TensorFlow on Windows is only supported on Intel, not ARM.",TensorFlow on Windows currently only supports Intel x86_64 architectures and does not officially support ARM-based processors like those in Snapdragon devices.,Knowledge,Knowledge,short,0.238095238095238,0.4166666666666667,0.303030303030303,"('Technical', 'Confidence', 'Neutral')",34,34,34,34,34,34,34,tensorflow_tensorflow,issue,84102.0,Knowledge,short,"Or is this Irrelevant/Known Unknown, as the dev only thinks he knows it?",,,,,,,0,0,0,0,"I think TensorFlow on Windows is only supported on Intel, not ARM.",Knowledge,0
2565,2565,2565,2565.0,2687,tensorflow_tensorflow,issue,24828.0,"OK, I was able to execute my CNN. I'm using tensorflow tf-nightly-gpu-2.0-preview, and running on a ipython notebook. I had to add this to my notebook:

from tensorflow.compat.v1 import ConfigProto
from tensorflow.compat.v1 import InteractiveSession

config = ConfigProto()
config.gpu_options.allow_growth = True
session = InteractiveSession(config=config)","If you're using tf-nightly-gpu-2.0-preview in a notebook and hitting CUDA OOM errors, try this fix: wrap your session with tf.compat.v1.ConfigProto() and set allow_growth=True — it allows TensorFlow to allocate GPU memory on demand, which is essential for interactive environments.",Knowledge,Knowledge,long,0.1025641025641025,0.0930232558139534,0.0975609756097561,"('Casual/Conversational', 'Confidence', 'Expand')",41,41,41,41,41,41,41,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0,"OK, I was able to execute my CNN. I'm using tensorflow tf-nightly-gpu-2.0-preview, and running on a ipython notebook. I had to add this to my notebook:

from tensorflow.compat.v1 import ConfigProto
from tensorflow.compat.v1 import InteractiveSession

config = ConfigProto()
config.gpu_options.allow_growth = True
session = InteractiveSession(config=config)",Knowledge,0
5080,5080,5080,5080.0,5317,numpy_numpy,pull,28453.0,"This is probably happening because there's a cython compiler error that is getting captured by pytest, causing meson to fail. You're not seeing the output from cython because pytest captures stdout by default.","Pytest captures stdout by default, so any Cython compilation errors are hidden; that’s why meson is failing silently — check with `--no-capture` to see the real error.",Knowledge,Knowledge,short,0.1481481481481481,0.1212121212121212,0.1333333333333333,"('Casual/Conversational', 'Confidence', 'Concise')",81,81,81,81,81,81,81,numpy_numpy,pull,28453.0,Knowledge,short,,,,,,,,0,0,0,0,"This is probably happening because there's a cython compiler error that is getting captured by pytest, causing meson to fail. You're not seeing the output from cython because pytest captures stdout by default.",Knowledge,0
2245,2245,2245,2245.0,2359,tensorflow_tensorflow,issue,84102.0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.","TensorFlow on Windows is officially supported only on Intel CPUs, as evidenced by the absence of ARM-compatible wheels in both the main tensorflow package and the tensorflow-intel package on PyPI. No Windows/ARM binaries are available for download, confirming platform-specific architecture constraints.",Knowledge,Knowledge,short,0.0975609756097561,0.1290322580645161,0.1111111111111111,"('Professional/Formal', 'Exploratory', 'Expand')",35,35,35,35,35,35,35,tensorflow_tensorflow,issue,84102.0,Knowledge,short,,,,,,,,0,0,0,0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.",Knowledge,0
971,971,971,971.0,1007,pytorch_pytorch,issue,21819.0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.",The proposed fix involving motherboard replacement to support PCIe atomics has been validated in production scenarios; it reliably resolves atomic operation failures by ensuring compliance with the PCIe specification for atomic requests.,Knowledge,Knowledge,short,0.09375,0.1666666666666666,0.12,"('Professional/Formal', 'Hedging', 'Expand')",15,15,15,15,15,15,15,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.",Knowledge,0
5693,5693,5693,5693.0,5958,microsoft_vscode,,191374.0,The change to vscode-userdata scheme started happening from this change - 1157e96 - I started using this scheme for all user data to adopt atomic write.,"The vscode-userdata scheme wasn't always in use — it was introduced in 1157e96 as part of a broader effort to make user data persistence atomic. Before this, temporary files and in-place writes could leave configs broken; now, writes are safe and transactional.",Knowledge,Knowledge,short,0.1428571428571428,0.2307692307692307,0.1764705882352941,"('github_native', 'Exploratory', 'Expand')",91,91,91,91,91,91,91,microsoft_vscode,,191374.0,Knowledge,short,,,,,,,,0,0,0,0,The change to vscode-userdata scheme started happening from this change - 1157e96 - I started using this scheme for all user data to adopt atomic write.,Knowledge,0
959,959,959,959.0,994,pytorch_pytorch,issue,21819.0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.",We've verified that PCIe atomic support is mandatory for correct hostcall atomic behavior. Platforms lacking this feature will exhibit undefined behavior—upgrading the motherboard is the only guaranteed fix.,Knowledge,Knowledge,short,0.1785714285714285,0.2777777777777778,0.217391304347826,"('Technical', 'Neutral', 'List')",15,15,15,15,15,15,15,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.",Knowledge,0
1487,1487,1487,1487.0,1544,pytorch_pytorch,issue,155309.0,It is due to this line which is not PT2 compatible:,The incompatibility is directly caused by this line — it's using a legacy pattern that PT2 no longer allows.,Knowledge,Knowledge,short,0.2105263157894736,0.3636363636363636,0.2666666666666666,"('github_native', 'Hedging', 'Neutral')",23,23,23,23,23,23,23,pytorch_pytorch,issue,155309.0,Knowledge,short,,,,,,,,0,0,0,0,It is due to this line which is not PT2 compatible:,Knowledge,0
