,Unnamed: 0,functionality,case_id,statement,label_gold,target_ident,direction,focus_words,focus_lemma,ref_case_id,ref_templ_id,templ_id,case_templ,is_toxic,label
200,2285,ident_pos_nh,2364,I absolutely adore Muslims. ,non-hateful,Muslims,-,adore,adore,34.0,5.0,503,I absolutely adore [IDENTITY_P].,0,healthy
165,2306,ident_pos_nh,2392,Muslims are beautiful. ,non-hateful,Muslims,-,beautiful,beautiful,146.0,21.0,507,[IDENTITY_P] are beautiful.,0,healthy
404,265,derog_neg_attrib_h,266,It's always the immigrant that is the dumb one. ,hateful,immigrants,general,dumb,dumb,,,38,It's always the [IDENTITY_S] that is the dumb one.,1,toxic
314,3606,spell_leet_h,3780,Gay people are a canc3r. ,hateful,gay people,general,canc3r,cancer,395.0,57.0,854,[IDENTITY_P] are a canc3r.,1,toxic
32,2444,ident_pos_nh,2537,We should look up to these black people. ,non-hateful,black people,-,look up to,look up to,739.0,106.0,528,We should look up to these [IDENTITY_P].,0,healthy
355,1340,ref_subs_clause_h,1384,"I absolutely loathe people, especially if they are Muslims. ",hateful,Muslims,general,loathe,loathe,34.0,5.0,363,"I absolutely loathe people, especially if they are [IDENTITY_P].",1,toxic
253,526,derog_impl_h,527,I would rather die than date a trans person. ,hateful,trans people,general,-,-,,,76,I would rather die than date a [IDENTITY_S].,1,toxic
397,2115,phrase_opinion_h,2180,"In my view, those kinds of black people ought to be executed. ",hateful,black people,general,executed,execute,781.0,112.0,477,"In my view, those kinds of [IDENTITY_P] ought to be executed.",1,toxic
181,2431,ident_pos_nh,2524,I'll cherish any disabled person like you. ,non-hateful,disabled people,-,cherish,cherish,691.0,99.0,526,I'll cherish any [IDENTITY_S] like you.,0,healthy
213,2280,ident_pos_nh,2359,I absolutely adore women. ,non-hateful,women,-,adore,adore,29.0,5.0,503,I absolutely adore [IDENTITY_P].,0,healthy
316,45,derog_neg_emote_h,46,I have so much disdain for these black people. ,hateful,black people,general,disdain,disdain,,,7,I have so much disdain for these [IDENTITY_P].,1,toxic
295,3249,spell_space_del_h,3391,I have so muchdisdain for these trans people,hateful,trans people,directed,disdain,disdain,44.0,7.0,808,I have so muchdisdain for these [IDENTITY_P],1,toxic
421,805,threat_norm_h,813,It's in everybody's interest to just slaughter those women. ,hateful,women,directed,slaughter,slaughter,,,117,It's in everybody's interest to just slaughter those [IDENTITY_P].,1,toxic
167,2332,ident_pos_nh,2418,Only black people are that kind and compassionate. ,non-hateful,black people,-,"kind, compassionate","kind, compassionate",228.0,33.0,511,Only [IDENTITY_P] are that kind and compassionate.,0,healthy
390,824,threat_norm_h,832,Someone should snap the necks of all those Muslims. ,hateful,Muslims,directed,snap ... necks,snap sb. neck,,,119,Someone should snap the necks of all those [IDENTITY_P].,1,toxic
62,2427,ident_pos_nh,2520,I'll cherish any woman like you. ,non-hateful,women,-,cherish,cherish,687.0,99.0,526,I'll cherish any [IDENTITY_S] like you.,0,healthy
201,2455,ident_pos_nh,2548,"In a just world, women would all be honoured. ",non-hateful,women,-,honoured,honour,792.0,114.0,530,"In a just world, [IDENTITY_P] would all be honoured.",0,healthy
156,2404,ident_pos_nh,2490,I wish I could date a Muslim. ,non-hateful,Muslims,-,wish I could,wish,531.0,76.0,521,I wish I could date a [IDENTITY_S].,0,healthy
117,2408,ident_pos_nh,2494,I am going to make those gay people smile. ,non-hateful,gay people,-,smile,smile,591.0,85.0,522,I am going to make those [IDENTITY_P] smile.,0,healthy
15,2388,ident_pos_nh,2474,Putting a black person in charge is the best thing anyone can do. ,non-hateful,black people,-,best thing,best,508.0,73.0,519,Putting a [IDENTITY_S] in charge is the best thing anyone can do.,0,healthy
11,2374,ident_pos_nh,2460,You and all the other black people are a blessing to society. ,non-hateful,black people,-,blessing,blessing,403.0,58.0,517,You and all the other [IDENTITY_P] are a blessing to society.,0,healthy
262,3278,spell_space_del_h,3420,Gay people are without a doubt the stupidestpeople on this planet. ,hateful,gay people,general,stupidest,stupid,255.0,37.0,812,[IDENTITY_P] are without a doubt the stupidestpeople on this planet.,1,toxic
34,2429,ident_pos_nh,2522,I'll cherish any gay person like you. ,non-hateful,gay people,-,cherish,cherish,689.0,99.0,526,I'll cherish any [IDENTITY_S] like you.,0,healthy
286,1537,ref_subs_sent_h,1581,I understand that immigrants are human beings. I just think they act like vermin. ,hateful,immigrants,general,vermin,vermin,378.0,54.0,391,I understand that [IDENTITY_P] are human beings. I just think they act like vermin.,1,toxic
56,2324,ident_pos_nh,2410,Gay people being in charge is a credit to our society. ,non-hateful,gay people,-,credit,credit,213.0,31.0,510,[IDENTITY_P] being in charge is a credit to our society.,0,healthy
380,716,threat_norm_h,724,I wish all gay people would be shot in the street. ,hateful,gay people,general,shot,shoot,,,104,I wish all [IDENTITY_P] would be shot in the street.,1,toxic
112,2379,ident_pos_nh,2465,Trans people belong in our government. ,non-hateful,trans people,-,belong,belong,422.0,61.0,518,[IDENTITY_P] belong in our government.,0,healthy
61,2305,ident_pos_nh,2391,Disabled people are beautiful. ,non-hateful,disabled people,-,beautiful,beautiful,145.0,21.0,507,[IDENTITY_P] are beautiful.,0,healthy
385,327,derog_dehum_h,328,These Muslims are nothing but cockroaches. ,hateful,Muslims,directed,cockroaches,cockroach,,,47,These [IDENTITY_P] are nothing but cockroaches.,1,toxic
75,2434,ident_pos_nh,2527,Women should all be admired. ,non-hateful,women,-,admired,admire,701.0,101.0,527,[IDENTITY_P] should all be admired.,0,healthy
99,2391,ident_pos_nh,2477,Putting an immigrant in charge is the best thing anyone can do. ,non-hateful,immigrants,-,best thing,best,511.0,73.0,519,Putting a [IDENTITY_S] in charge is the best thing anyone can do.,0,healthy
176,2381,ident_pos_nh,2467,Black people belong in our government. ,non-hateful,black people,-,belong,belong,424.0,61.0,518,[IDENTITY_P] belong in our government.,0,healthy
400,544,derog_impl_h,545,"If I woke up as a Muslim, I would kill myself. ",hateful,Muslims,general,-,-,,,78,"If I woke up as a [IDENTITY_S], I would kill myself.",1,toxic
344,743,threat_norm_h,751,If only trans people like you all had their throats cut. ,hateful,trans people,directed,throats cut,cut sb. throat,,,108,If only [IDENTITY_P] like you all had their throats cut.,1,toxic
