,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,final_label,final_label_oversampled
6045,6045,6045,1593,1663,numpy_numpy,pull,28453.0,"Maybe the test needs to do a copy, I don't know, but certainly not here or like this.",Tagging @test-team for clarification on the appropriate placement of the copy step.,Neutral,Neutral,short,0.0833333333333333,0.0555555555555555,0.0666666666666666,"('documentation_action', 'Technical', 'Expand')",79,79,79,79,79,numpy_numpy,pull,28453.0,Known,short,,,,,,,,2,2,1,1,0
5323,5323,5323,871,912,tensorflow_tensorflow,issue,24496.0,I was finally able to fix my problem was setting config.gpu_options.allow_growth = True.,Tagging @tensorflow-team for review of the `allow_growth` setting.,Neutral,Neutral,short,0.0,0.0,0.0,"('reference_format', 'github_native', 'Concise')",43,43,43,43,43,tensorflow_tensorflow,issue,24496.0,Knowledge,short,,,,,,,,0,0,0,1,0
4538,4538,4538,86,92,pytorch_pytorch,issue,153992.0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail.","When AOTI_RUNTIME_CHECK_INPUTS is enabled, the first sliced implementation does not pass the test.",Neutral,Neutral,short,0.2307692307692307,0.09375,0.1333333333333333,"('code_environment', 'Technical', 'Concise')",4,4,4,4,4,pytorch_pytorch,issue,153992.0,Knowledge,short,,,,,,,,0,0,0,1,0
207,207,207,207,227,pytorch_pytorch,issue,153992.0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail.",AOTI likely avoids input shape checks for efficiency; enabling AOTI_RUNTIME_CHECK_INPUTS seems to make the first slice fail.,Knowledge,Knowledge,short,0.4117647058823529,0.21875,0.2857142857142857,"('Neutral', 'Hedging', 'Concise')",4,4,4,4,4,pytorch_pytorch,issue,153992.0,Knowledge,short,,,,,,,,0,0,0,0,0
4939,4939,4939,487,512,pytorch_pytorch,issue,155309.0,I think we need a better way to detect aliasing here.,Discussion about enhancing aliasing detection mechanisms.,Neutral,Neutral,short,0.1666666666666666,0.0909090909090909,0.1176470588235294,"('timeline_status', 'Professional/Formal', 'Neutral')",24,24,24,24,24,pytorch_pytorch,issue,155309.0,Known,short,,,,,,,,2,2,1,1,0
584,584,584,584,612,pytorch_pytorch,issue,21819.0,I solved by CUDA_LAUNCH_BLOCKING=1.,"I eliminated the obscure timing‑related error by configuring the environment with `CUDA_LAUNCH_BLOCKING=1`; this directive compels the driver to block the host thread until each launched kernel finishes, turning asynchronous launches into a strictly ordered pipeline and thereby stabilizing the overall workflow.",Knowledge,Knowledge,short,0.048780487804878,0.5,0.0888888888888888,"('Technical', 'Confidence', 'Expand')",13,13,13,13,13,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,0
2344,2344,2344,2344,2445,tensorflow_tensorflow,issue,62075.0,@Ke293-x2Ek-Qe-7-aE-B I rebuilt all in an independent conda environment as TF. My steps were to create a TF env with python 3.9.8 and tried python3 -m pip install tensorflow[and-cuda] --user according to instruction. Following these I tried python3 -m pip install tensorflow[and-cuda]=2.13.0 --user and found it solved some bugs.,"To isolate the problem, I set up a dedicated conda environment named `tf_env` with Python 3.9.8. Within this environment I installed the CUDA‑enabled TensorFlow package using `python3 -m pip install tensorflow[and-cuda] --user`, and later forced the installation of version 2.13.0 (`python3 -m pip install tensorflow[and-cuda]==2.13.0 --user`). The latter step eliminated several defects.",Knowledge,Knowledge,short,0.2115384615384615,0.2244897959183673,0.2178217821782178,"('Professional/Formal', 'Hedging', 'Concise')",52,52,52,52,52,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0,0
5139,5139,5139,687,724,tensorflow_tensorflow,issue,84102.0,"I think TensorFlow on Windows is only supported on Intel, not ARM.",No official TensorFlow Windows binaries are listed for ARM platforms.,Neutral,Neutral,short,0.2,0.1666666666666666,0.1818181818181818,"('scope_statement', 'github_native', 'Concise')",34,34,34,34,34,tensorflow_tensorflow,issue,84102.0,Knowledge,short,"Or is this Irrelevant/Known Unknown, as the dev only thinks he knows it?",,,,,,,0,0,0,1,0
1036,1036,1036,1036,1080,pytorch_pytorch,issue,155309.0,It is due to this line which is not PT2 compatible:,"The root of the problem lies in the following line of code; it employs functionality that PT2 does not support, leading to the observed failure.",Knowledge,Knowledge,short,0.08,0.1818181818181818,0.1111111111111111,"('Professional/Formal', 'Confidence', 'Expand')",23,23,23,23,23,pytorch_pytorch,issue,155309.0,Knowledge,short,,,,,,,,0,0,0,0,0
4726,4726,4726,274,289,pytorch_pytorch,issue,21819.0,I solved by CUDA_LAUNCH_BLOCKING=1.,Observed changes after configuring `CUDA_LAUNCH_BLOCKING=1`.,Neutral,Neutral,short,0.0,0.0,0.0,"('social_acknowledgment', 'github_native', 'Neutral')",13,13,13,13,13,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,1,0
1340,1340,1340,1340,1402,pytorch_pytorch,issue,154556.0,"The tracing component (Dynamo) is not fully cached today, but we are working on this.","Dynamo’s tracer isn’t fully cached yet, but we’re fixing it.",Knowledge,Knowledge,short,0.3,0.2,0.24,"('Professional/Formal', 'Confidence', 'Concise')",30,30,30,30,30,pytorch_pytorch,issue,154556.0,Knowledge,short,,,,,,,,0,0,0,0,0
3987,3987,3987,3987,4165,microsoft_vscode,pull,191501.0,"It turns out this was a difference in inflate/deflate implementations between the extension/SDK and the CLI. The SDK uses Node's zlib bindings, while by default Rust's flate2 library uses a rust port of miniz. miniz does not appear to flush decompressed data as nicely on SYNC'd boundaries as zlib does, which caused data to 'stall'. This could also be the cause of some connection flakiness!","Investigation revealed that the SDK uses Node's built‑in zlib for compression, while the command‑line tool employs Rust's flate2 (a miniz port). Because miniz handles SYNC‑aligned flushing less gracefully than zlib, some decompressed payloads were left pending, which may also explain occasional connection instability.",Knowledge,Knowledge,short,0.3023255813953488,0.2,0.2407407407407407,"('Professional/Formal', 'Exploratory', 'Expand')",89,89,89,89,89,microsoft_vscode,pull,191501.0,Knowledge,short,,,,,,,,0,0,0,0,0
5961,5961,5961,1509,1579,numpy_numpy,issue,28749.0,"I'm trying to compile a fix-form Fortran file with f2py. In the past I have had this working, but apparently some recent change has broken this? Or perhaps I'm doing something wrong.",Observed compilation error may be linked to environment or build script updates.,Neutral,Neutral,short,0.0833333333333333,0.03125,0.0454545454545454,"('procedural', 'Casual/Conversational', 'List')",75,75,75,75,75,numpy_numpy,issue,28749.0,Unknown,short,,,,,,,,1,1,1,1,0
