,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.6,original_Unnamed: 0.5,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_final_label,original_rephrased_statement,Label_gpt-120b,final_label
3158,3158,3299,tensorflow_tensorflow,issue,62075.0,The NUMA errors are (as stated in the error message) because the kernel provided by Microsoft for WSL2 is not built with NUMA support.,"You’re encountering NUMA errors because the WSL2 kernel, as distributed by Microsoft, was compiled without NUMA (Non-Uniform Memory Access) features enabled — this is a known limitation, not something you can fix via configuration.",Knowledge,Neutral,short,0.2058823529411764,0.2916666666666667,0.2413793103448276,"('Casual/Conversational', 'Neutral', 'Expand')",51,51,51,51,51,51,51,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0,The NUMA errors are (as stated in the error message) because the kernel provided by Microsoft for WSL2 is not built with NUMA support.,Knowledge,0
480,480,499,pytorch_pytorch,issue,153960.0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.","The communicator is now initialized deterministically during setup, not during the first collective, because we have the device context available. We use NCCL’s non-blocking API to ensure this eager initialization doesn’t block the main thread — a trade-off that improves end-to-end throughput.",Knowledge,Neutral,short,0.1666666666666666,0.1707317073170731,0.1686746987951807,"('Technical', 'Hedging', 'Neutral')",7,7,7,7,7,7,7,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.",Knowledge,0
5711,5711,5978,microsoft_vscode,,191374.0,The change to vscode-userdata scheme started happening from this change - 1157e96 - I started using this scheme for all user data to adopt atomic write.,"Commit 1157e96 marked the transition to the vscode-userdata URI scheme, which was necessary to guarantee atomic file updates for user configuration.",Knowledge,Neutral,short,0.1904761904761904,0.1538461538461538,0.1702127659574468,"('Professional/Formal', 'Exploratory', 'Concise')",91,91,91,91,91,91,91,microsoft_vscode,,191374.0,Knowledge,short,,,,,,,,0,0,0,0,The change to vscode-userdata scheme started happening from this change - 1157e96 - I started using this scheme for all user data to adopt atomic write.,Knowledge,0
3408,3408,3579,tensorflow_tensorflow,issue,37492.0,"Hey all,

so I could just verify that all of the problems in this issue are connected with the Windows-version of tensorflow. I installed a fresh Ubuntu Bionic and followed the instructions [0] to set it up with CUDA on my homeoffice-workstation with a GTX 1060 6GB and none of the described problems was ever encountered again. :/

So please save yourself the trouble and just use Linux to train your LSTMs on the GPU. Even the validation_split-parameter works there without any problem and I had not to set up any batch_input_shape with divisible sets for training, validation, etc. Now it is just so easy.","If you're struggling with TensorFlow on Windows, especially with LSTM training, validation_split, or batch shape alignment issues: switch to Linux. I just did a clean install on Ubuntu Bionic with CUDA, and suddenly everything worked out of the box — no more weird tensor shape errors or silent failures. It’s not a workaround, it’s the expected behavior.",Knowledge,Neutral,long,0.175438596491228,0.0952380952380952,0.1234567901234567,"('Casual/Conversational', 'Neutral', 'Expand')",55,55,55,55,55,55,55,tensorflow_tensorflow,issue,37492.0,Knowledge,long,,,,,,,,0,0,0,0,"Hey all,

so I could just verify that all of the problems in this issue are connected with the Windows-version of tensorflow. I installed a fresh Ubuntu Bionic and followed the instructions [0] to set it up with CUDA on my homeoffice-workstation with a GTX 1060 6GB and none of the described problems was ever encountered again. :/

So please save yourself the trouble and just use Linux to train your LSTMs on the GPU. Even the validation_split-parameter works there without any problem and I had not to set up any batch_input_shape with divisible sets for training, validation, etc. Now it is just so easy.",Knowledge,0
957,957,992,pytorch_pytorch,issue,21819.0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.","For reliable atomic hostcall semantics, software workarounds are insufficient—only hardware that supports PCIe atomics (e.g., modern server-grade motherboards) provides a deterministic solution.",Knowledge,Neutral,short,0.2272727272727272,0.2777777777777778,0.25,"('Technical', 'Neutral', 'List')",15,15,15,15,15,15,15,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.",Knowledge,0
3538,3538,3712,numpy_numpy,issue,28024.0,"The behaviour was added a long time ago, commit 67940c3 in 2006.","The behavior originates from a foundational change in 2006 (67940c3) and was never modified because it aligned with the intended API contract at the time, which still holds today.",Knowledge,Neutral,short,0.1034482758620689,0.25,0.1463414634146341,"('Technical', 'Neutral', 'List')",57,57,57,57,57,57,57,numpy_numpy,issue,28024.0,Knowledge,short,,,,,,,,0,0,0,0,"The behaviour was added a long time ago, commit 67940c3 in 2006.",Knowledge,0
286,286,301,pytorch_pytorch,issue,153992.0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail.","AOTI doesn't validate input shapes unless AOTI_RUNTIME_CHECK_INPUTS is set. With that flag on, even the sliced tensor path now fails, confirming the omission is intentional for performance.",Knowledge,Neutral,short,0.1851851851851851,0.15625,0.1694915254237288,"('github_native', 'Confidence', 'Concise')",4,4,4,4,4,4,4,pytorch_pytorch,issue,153992.0,Knowledge,short,,,,,,,,0,0,0,0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail.",Knowledge,0
1438,1438,1495,pytorch_pytorch,issue,155309.0,"Thank you so much for the detailed and insightful analysis.

I followed your suggestion and tested with:

torch.backends.cudnn.enabled = False

As you anticipated, export on GPU succeeded when disabling cuDNN. This strongly indicates that the issue is indeed related to certain cuDNN-optimized fused kernels, likely being incorrectly traced during export when fake tensors are used.

For completeness, my environment reports the following cuDNN version:

torch.backends.cudnn.version() == 90100

This further supports the hypothesis that some low-level dispatch or fusion within cuDNN is not being properly marked as opaque or guarded during export tracing?

Additionally, I’d like to report that the same issue also occurs when using nn.RNN instead of nn.LSTM. Specifically, like:

self.rnn = nn.RNN(input_size, hidden_size, num_layers, batch_first=True)

This confirms that the problem is not limited to LSTM, but more broadly affects cuDNN-backed recurrent layers, including nn.RNN. Disabling torch.backends.cudnn.enabled continues to serve as a valid workaround in both cases.","It's becoming clear that the export failure stems from cuDNN’s fused RNN kernels not being marked as trace-safe when operating on fake tensors. Since disabling CuDNN fixes it for both LSTM and RNN, the root cause is likely in the backend’s lack of symbolic function registration or improper shape/stride propagation during tracing. This is a known limitation of cuDNN’s integration with torch.fx.",Known,Neutral,long,0.2096774193548387,0.0878378378378378,0.1238095238095238,"('Technical', 'Confidence', 'List')",22,22,22,22,22,22,22,pytorch_pytorch,issue,155309.0,Known,long,,,,,,,,2,2,1,2,"Thank you so much for the detailed and insightful analysis.

I followed your suggestion and tested with:

torch.backends.cudnn.enabled = False

As you anticipated, export on GPU succeeded when disabling cuDNN. This strongly indicates that the issue is indeed related to certain cuDNN-optimized fused kernels, likely being incorrectly traced during export when fake tensors are used.

For completeness, my environment reports the following cuDNN version:

torch.backends.cudnn.version() == 90100

This further supports the hypothesis that some low-level dispatch or fusion within cuDNN is not being properly marked as opaque or guarded during export tracing?

Additionally, I’d like to report that the same issue also occurs when using nn.RNN instead of nn.LSTM. Specifically, like:

self.rnn = nn.RNN(input_size, hidden_size, num_layers, batch_first=True)

This confirms that the problem is not limited to LSTM, but more broadly affects cuDNN-backed recurrent layers, including nn.RNN. Disabling torch.backends.cudnn.enabled continues to serve as a valid workaround in both cases.",Knowledge,0
1917,1917,2005,pytorch_pytorch,issue,154556.0,"The tracing component (Dynamo) is not fully cached today, but we are working on this.","Although Dynamo’s tracing layer doesn’t yet persist or reuse compiled traces, a caching layer is being designed to reduce recompilation overhead in repeated execution scenarios.",Knowledge,Neutral,short,0.08,0.1333333333333333,0.1,"('Technical', 'Confidence', 'Neutral')",30,30,30,30,30,30,30,pytorch_pytorch,issue,154556.0,Knowledge,short,,,,,,,,0,0,0,0,"The tracing component (Dynamo) is not fully cached today, but we are working on this.",Knowledge,0
2708,2708,2831,tensorflow_tensorflow,issue,24496.0,I was finally able to fix my problem was setting config.gpu_options.allow_growth = True.,My OOM errors disappeared after setting allow_growth = True in the TensorFlow config.,Knowledge,Neutral,short,0.1538461538461538,0.1538461538461538,0.1538461538461538,"('github_native', 'Neutral', 'Concise')",43,43,43,43,43,43,43,tensorflow_tensorflow,issue,24496.0,Knowledge,short,,,,,,,,0,0,0,0,I was finally able to fix my problem was setting config.gpu_options.allow_growth = True.,Knowledge,0
