,Unnamed: 0,statement,is_toxic,len_text
278,6260,"You already git depend on that, so this shouldn't be necessary.",0,63
340,5496,"ugh.  I hate nested #ifdefs.  No choice, I guess...  ;)",1,55
52,4433,skip_test_payloads=... should be dropped entirely; the skip_test_payloads should actually be named disable_tests.,0,113
151,2163,"I think you can just add these to the end of the enum below instead of using #define

 ...
 GPIO_PART2_STARTS = GPIO_E0
 ...",0,124
232,2380,If you are trying to set this to false and you succeed at changing the setting but not at killing the daemon; should you fail? The update_engine will not share new files nor try to consume them; but the daemon will still be running until next reboot.,0,250
427,535,"Any reason this code isn't preserving the sleep/umount, *while* dieing?  We know the gvfs idiocy exists; I don't see the cost in leaving in protective code in the die pathway.",1,175
523,5245,"This naming sucks.  Better

 for test_specs in test_specs_list

or

 for test_spec in test_specs",1,96
444,627,"back in the real world, it's the maximum value in a size_t.

you'd check it's null so you know the implementation didn't fuck up, overflow, and return you some small allocation.",1,177
81,3496,"No, I think this is preferable to have an informational output cause a failure.",0,79
227,4978,"This definitely seems useless. const pointer to a write-only buffer, which points past the end of valid data.",0,109
67,4059,"Remove terminator as not needed.
 Using intdeventry = ARRAY_SIZE(devintconfig)",0,78
48,1355,"Dumb question: In this little drawing, what are the bounds of the physical display?",0,83
311,3434,nit: you've screwed up your alphabetical ordering :),1,52
129,3121,myButton.setIcon(hasMultipleItems() ? PlatformIcons.COMBOBOX_ARROW_ICON : null);,0,80
324,3636,"Oh, damn, this doesn't work with constexpr. I am fine with any solution: remove constexpr, or remove the DCHECK.",1,112
205,6393,You need at least two buckets in a metric.  The second can be a dummy value.,0,76
426,3690,"Ohter potential tests would be binding to the NULL name, and binding a stupidly large location.",1,95
216,3815,"Pedantic nit: It's stupid, but we try to be consistent today about using ""InfoBar"" instead of ""Infobar"" in camel-case contexts.

(I would happily review a change that fixed this everywhere, but I kinda don't want to introduce piecemeal inconsistency.)",0,251
504,5780,"we still have sramfunc in plat_pmu_macros.S, so we need sram_test and sram_data. Oh, it so stupid use wrong sram size
before :(",1,127
3,4157,"s/dummy/_version/ ? That way, we can know what the argument is for",0,66
386,2641,"isn't; it matches the values from above.  Shitty structure?  Yes, blame mox however...",1,86
477,4026,"RecordParsedArg # imo

Also, see my comments in cbuildbot; this doesn't belong here (the only user of it is cbuildbot's custom derivatives after all; thus it should be layered there, or move all of the api crap down into here).",1,227
156,5420,Throw an IllegalArgumentException when the thumb is null.,0,57
362,572,"Argh, brain fart from a previous version of the patch :(",1,56
174,2716,"It's an unfortunate side-effect of the module() member of ModuleEnv being const. I think that member is worth const-ing, to communicate clearly that consumers of ModuleEnvs that the WasmModule is not mutable by them.",0,216
304,6513,"Yuck, don't know how that slipped through. Thanks!",1,50
90,6503,You've already included these keylayouts in the device git.,0,59
250,1179,Do you need a self.skip_space() here? Or is any space already skipped?,0,70
84,2267,"i would write this:

 (. ""${sfile}"") || die",0,43
47,474,ALIGN8 to ALIGN128 are unused. Remove them.,0,43
57,2502,"IMHO, trailing whitespace should be eliminated.",0,47
59,2107,I think there is a race here with two threads could be executing this statement at teh same time when next_method_id_ == kMaxMethodID - 1.,0,138
533,2285,"I'd leave these alone. They are part of the original license and, as ugly as they are, not worth chasing them (just to many cases to change).",1,141
431,3750,"Oops, brain fart :-) Sorry, I had misread that page (I overlooked the fact that most overloads only applied to unique_ptr<T[]>). Shutdown() got removed altogether in the end, so we won't be needing either version.",1,213
336,5866,"what the heck! I changed this, but somehow it was lost.",1,55
245,1556,"GetStatus is in class.h, were you missing object-inl.h that this include gets for you (amongst a lot of other stuff)",0,116
354,1036,"damn, this conflicts with my change in progress :-(",1,51
341,5520,"uint8_t src_data[] = ""thirtytwo-bytes-of-nonsense-data"";

sizeof(src_data);",1,75
407,4400,"Sigh... I clearly suck at this. You're right.

I like your version way better.",1,78
39,6326,You could make this final and remove the null assigment,0,55
24,4485,Someday we are going to regret having these hardcoded everywhere. Not that there is a better way to do it here.,0,111
544,5367,"This variable names is the name of a variable parse by this codec, that is here, a list of pattern, so somethings likes patterns. If you just return parser.getVariableName, this will be 'list', and that no so stupid.",1,216
104,2153,I think we'd want lstat. is_mtd() on a symlink should fail.,0,59
127,2895,"let's delete unused entries.  if you want to see the history, you can use `git log -p`.

while you're here, would be nice to uncuddle the entries:

 process_list = [
     '/....../',
     .....,
 ]",0,197
128,1715,"how about a SucideStage that does os.kill(os.getpid(), 9) ?",0,59
498,416,"Ah crap, I didn't. IntelliJ magic FTW. (It did this in other places but I removed it)",1,85
315,1537,"Gentoo's python framework likes to use crap wrappers.  it might be possible to make it work, but i don't know.  i'd have to ask.",1,128
17,733,"but we would be copying with the same register as source and destination in that case, wouldn't we?",0,99
377,1887,"I explored std::atomic<T>, but it's uglier to initialize and use (it's non assignable and initialized to junk).",1,111
55,3427,Nit: you could use your StringBuilder above to do this concatenation.,0,69
448,962,crap. bizarre that i got the opposite one in each of these files!,1,65
331,2676,"It might be better to keep a metrics_ member and use it throughout.

Also, this OneTimeInit is a bit ugly.",1,106
571,3676,"Oh, yeah, what a crap.  Maybe use this cleanup commit to finally get rid of that odd --language handling for good.",1,114
458,5403,"This won't break if that's not true, but it'll keep us from being a bunch of idiots if we do break it, so yeah. And it does protect against duplicates.

Done.",1,158
69,6341,you don't have timeouts... is this a stale comment?,0,51
557,933,could you add this too ?  emacs sucks :p,1,40
188,442,"Ah, I see, you'd have to change cros_set_lsb_release to treat """" and None the same way.
 
 Up to you.",0,101
483,1886,"I don't want to mention GC in here.. this API shouldn't be here anyway, if you're using it and you're an idiot you deserve to be burnt.",1,135
288,2519,"In that case, my personal take would be the alternative outlined in your first bullet. What I leave this up to you.",0,115
252,4054,"Remove operator ?:, useless here.",0,33
18,1647,"Here and everywhere else: Add /* no_silhouette */ next to false:
false /* no_silhouette */,",0,91
255,5989,why not place this in the dirty bits iteration? (with a comment on why we need it for D3D11),0,92
390,5195,This isn't Chrome tracing.  This is dumb armsoc tracing into Xorg.0.log.,1,72
15,3495,"no, i meant parsing the output file. you have a canned.perf.data, and you pretend to run the daemon and then move the canned file into place... that seems crazy. why isn't there an entry point into the encoder you can call directly?",0,232
75,1554,"getIsReplyTransaction() should imply you are not expecting a reply, i.e. you shouldn't need !trans.getExceptReply",0,113
80,5675,"using. And it needs a better name, e.g., like ParseCompleteCB",0,61
23,3269,nit: get rid of battery_percentage and just return the values directly below,0,76
442,2587,"Is it really safe to handle these IRQs now, at syscore resume time?  Cocks and GPIOs may not have even been initialized yet.",1,124
536,4784,"The PrivateKey.toString() method doesn't do anything stupid, does it?",1,69
111,2659,"It is generic purposal, not just for this issue. The abort() will be called if FW sends CORE_RESET_NTF to DH.",0,109
265,3543,"not forever:)

The command will be killed at
https://chromium-review.googlesource.com/c/chromiumos/platform/tast-tests/+/1557300/1/src/chromiumos/tast/local/bundles/cros/video/encode/accel_video.go#330",0,201
234,1214,D'oh... stupid copy-and-paste errors. Someday I'll figure out how to type zh-CN directly into emacs...,0,102
297,3894,Please put this between host7 and host11,0,40
519,3632,"Oh, crap. Sorry, yes, it does.

Despite the escape, I still parsed it as '0'. I'm brain dead today.",1,99
581,3467,No it still spits out some css garbage.,1,39
493,2733,"it's not that i was ignoring identity, it was that i forgot that people could pass in stupid stuff like non-functions",1,117
369,4016,really?   this seems kind of ugly?,1,34
513,5105,"This is how properties in the facet are specified per IDEA's conventions. It is ugly, but at least we are consistently ugly.",1,124
183,5621,Use posixpath and then you don't need the next two lines.,0,57
