,Unnamed: 0.1,Unnamed: 0,_id,perspective_score,owner,repo,title,length,num_one_letter_word,num_non_alpha_in_middle,senti4sd_neutral_percentage,total_url,statement,num_modal_word,total_reference,num_punct,senti4sd_negative_percentage,senti4sd_positive_percentage,num_capital,num_QEMark,toxicity,len_text,label,is_toxic
0,0,49,RxSwift/ReactiveX/408,0.0465384625,ReactiveX,RxSwift,Make UIBarButtonItem.rx_tap to shareable.,346,4,5,0.6666666666666666,0,"UIBarButtonItem has only one target, so UIBarButtonItem.rx_tap cannot share now. I move ControlEvent initializer to BarButtonItemTarget, and reuse it. Then, UIBarButtonItem.rx_tap can share. Please check this pr 3  @friend can you create PR against  branch?  oops! I'm sorry, I make pr again.  I opened new PR now. Please close this.  Thank you. ",3,0,19,0.0,0.3333333333333333,33,2,n,345,healthy,0
1,1,41,PHPCI/Block8/1234,0.0612831975,Block8,PHPCI,Socket-Error when trying to start build on Ubuntu 16.04 in a virtual machine,1051,15,20,0.3333333333333333,1,"I have this problem on a virtual-machine running ubuntu server 16.04. Error-Message is♠Warning fsockopen() unable to connect to localhost11300 (Connection refused) in /var/www/phpci/vendor/pda/pheanstalk/src/Socket/StreamFunctions.php line 73` What could i do here? It is a fresh installed Ubuntu Server with Apache, PHP7, Mysql etc. Expected behaviour  I don't know, as i have never reached the next page before. I would say No error -) *  Actual behaviour  Instead i see the message Warning fsockopen() unable to connect to localhost11300*  Steps to reproduce  Install it like described in the guide on a very clean ubuntu server 16.04 virtual machine. i used vbox on windows. add a new github project and click on ""build"". *  Environment info Operating System ubuntu server 16.04  PHP Version 7.0 MySQL Version 5.7.12 Logs or other output that would be helpful Please tell me, which logs you need, and i will upload them.  This is fixed in v1.7.1  @friend mentioned, you either don't have beanstalkd or you haven't configured it properly in PHPCI. ",4,0,53,0.0,0.3333333333333333,46,1,n,1050,healthy,0
2,2,69,Semantic-UI-React/Semantic-Org/2550,0.059718403,Semantic-Org,Semantic-UI-React,Update SUIR to be compatible with SUI 2.3,5202,44,36,0.75,2,"Creating this as a container for referencing other issues that are likely to pop up with the release of SUI 2.3 which happened today. Feel free to edit this and add related issues below for tracking. Notes about what is new in this release  issues so far. Please edit this list to add or link to issues [] Fix modal placement (#2549)  [] Update  component to use new FontAwesome 5.0 icons.  Oh, great idea.  I think we just ship this as a new breaking change.  We can then bundle all 2.3.x changes into one release.  Thanks for starting the list!  Updated the list with a few more and also added a link to the full CHANGELOG. There may be one or two I missed. And with how we render popups via a Portal, I am not sure we have to worry about the update allowing you to trigger a popup from other blocks of markup.  I think we're ready to go here.  Changing labels.  Any update on this? Modal is not usable.  @friend any issues tagged with  are open for anyone to submit PRs to fix. You are welcome to do so. Any info related to this and all issues will be shown above in the issue history. Based on reading this history, it looks like there are no open PRs yet.  Any chance your Modal documentation can be updated to reflect the modal placement issue?  In any case, it seems wise to add a warning on the docs homepage that Semantic UI React is not officially compatible with Semantic UI 2.3 yet, and that using the 2.3 css in combination with the latest react version is at your own risk until this issue is resolved.  Valid point @friend, @friend. Since this issue was not picked up quickly for work, I have submitted a quick PR to update the README.md in #2644 linking here to alert people until we get a patch on this. Fingers crossed, I am hoping to at minimum get the modal working with 2.3 over the weekend.  See #2657, I've made updates for  and . We need updates for  and  before we can ship it.  @friend I have some time blocked out tomorrow afternoon to tackle . Do you mind if I just add those commits into your PR branch? If I have the time I may also be able to tackle . I think there were a LOT of additions in this new version of FontAwesome so that might take a while, but I have not looked into seeing if there is an easy to parse list in the CSS on SUI somewhere yet.  @friend I've merged PR for  to , with generator, BTW smile_cat  There is a message for Modals in 2.3.1  In light of the release notes for 2.3.1 referenced above, it seems like support for either version of the modals is the long term strategy for SUI core styles. I need to dig in over there to find out for sure, but if this is the case, we'll probably have to go with my earliest proposal in this comment. If indeed there will be the ability to go either way on this in the styles, I'll make sure the PR has the above option for our modals as well.  I haven't received a reply yet on my question here for @friend so I think for now I am just going to proceed without some sort of legacy/fallback prop. I'll try to keep a close eye on whatever happens with modals in the next version of SUI since it sounds like there are going to be some additional breaking changes incoming. Starting a branch on this now in the office as I've blocked out some official work hours to get this working. PR should be up this afternoon.  To update on Modal positioning, see this comment from the linked issue in SUI  Quick fix for modal positioning, working here with SUI 2.3.1 &amp; SUIR 0.79.1 .visible.transition {   display unset !important; }  .dimmed.dimmable &gt; .ui.visible.dimmer, .ui.active.dimmer {   display -ms-flexbox;   display flex !important;   opacity 1; }   @friend, and for anyone landing here, I would recommend against what you have proposed for . Those classes are used for lots of other things in the SUI css, not just modals. A safer solution for anyone wanting to use the newest version of SUI styles and this incompatible version of SUIR would be safer doing the following There are other problems you'll encounter using the latest styles, but those above changes should at least fix modals. The last fix for this is coming in PR #2689.  This may be part of what @friend was referring to regarding Icons, but since the shift to FontAwesome 5, an error is being thrown for ""invalid"" icon names.  They are raising an error (it looks like) because SUI.js does not have the correct list of icon names for FA5.  Thankfully, the icons still show correctly on the page.  @friend those are only proptype errors. If you are not using another component broken by these changes and want to continue using a newer version of the CSS than we currently support until 2657 gets merged and deployed, you can just declare your icon names in the prop instead of the  prop on your  component.  What versions of semantic-ui-react and semantic-ui-css are sufficiently compatible with each other? It is very difficult for a newbie, like myself, to use this library when it is unclear which versions of libraries should be used together. Placing this information, if available, in the README would be a huge help.  currently compatible only with .  @friend Please take a look at the VERY first thing at the top of the README.md ",20,5,164,0.0416666666666666,0.0833333333333333,181,7,y,5201,toxic,1
3,3,71,grunt/gruntjs/1646,0.100108536,gruntjs,grunt,Grunt on LXD Container -  src/unix/linux-core.c:747: read_times: Assertion `num == numcpus' failed.,1168,11,2,0.5,1,"Grunt build fails with the following message This does not happen on AWS or Local machine. But only in an LXD Container. Any clue?  I'm not familiar with lxd containers sorry.  @friend So ""It wont work in LXD Container"" is the answer?  @friend Yes that is the answer. Issues are reserved for issues with Grunt. This is not a support channel. Some times I do volunteer my free time to answer support questions, if I am familiar with them. You are free to volunteer your time researching your issue and if you discover it actually is because of an issue in Grunt, then reopen this issue or open a new one. Or move your stack to gulp, it's your stack, not mine. Here is a link  Good luck!  Also the problem is in the  plugin, not in core. Per  @friend  ""issues are related to grunt ?"" what did  I post about? ""GRUNT"" in LXD Container.  And what do you mean by ""This is not a support channel"" . I never asked you to do my homework. And whatever I said is an Issue as mentioned by @friend , its the problem with concurrent. And fortunately fixed it. Next if ""YOU"" are not familiar, please be quiet and ignore the question. Let some knowledgeable person answer the queries. ",0,1,45,0.3333333333333333,0.1666666666666666,55,5,y,1167,toxic,1
4,4,104,btrfs/maharmstone/88,0.087366525,maharmstone,btrfs,Noticed corruption over long term use,3192,46,18,0.6153846153846154,0,"I've recently been spending more time in Windows, with my Ubuntu BTRFS install being mounted using the latest release of the driver. When I tried to boot ubuntu, it fails to start the Unity GUI session and returns to the login manager. Seems like too much corruption has accumulated /   here are errors from the kernel log  I set the driver to read only. After getting a BSOD, it failed to mount on linux Fixed by  I wonder if this has been fixed because of the recent changes.  Windows 10 supports Btrfs out of the box, just in case  I think English isn't his first language, which is why that message looks odd. It probably means something completely different to him.  For what it's worth - which isn't much given that it's over half a year ago - it looks to me like your device is on the blink. The fact you had generation errors in your free space cache implies that your drive is returning outdated data for some sectors. I don't think this was caused by my driver, so I'm going to close the issue.  It’s an SSD drive which has not otherwise exhibited problems. Normally, I spend all of my time in Linux. However, I was doing some porting work and I was using Windows intensively during a month or two, without booting Linux. I remember receiving BSODs caused by WinBtrfs. I commented on another issue about the BSODs - #87. After I was finished with windows and booted back into Linux, I found the partition completely hosed as described above. Don’t you think that a natural conclusion is that WinBtrfs caused this?  No, I don't think that. If there were bugs in the checksumming or data-writing code, you'd see errors all over, not just in one or two sectors like your logs suggest. Furthermore, the BSODs are almost certainly a consequence rather than a cause of the corruption, if indeed they're related at all. From what I know about SSDs, they internally relocate sectors when they realize they are bad, which is why it looks okay to you now. I'd still get a new one, though.  This was just a small fraction of the logs.  The errors indeed were all over the place. WinBtrfs was gradually corrupting my partition. I remember logging into Linux before it got completely hosed and I remember Linux Chrome complaining about a corrupted profile directory. After some more time in Windows, I could not log in into Linux and got stuck at the login screen (the messages above from 8 months ago). The next stage of corruption was the mount failure (7 months ago). When I uninstalled WinBtrfs, no more BSODs, no more corruption. Which one causes the other (BSODs and corruption) is not clear to me as I have zero experience writing FS drivers, but to me it looks that everything is pointing towards WinBtrfs because it was correlated with it being installed. Do you think that all 4 people who experienced WinBtrfs KERNEL_SECURITY_CHECK BSODs in #87 all had malfunctioning drives as well?  @friend It may be one of the problems already fixed, have you tried with the latest master?  As I said above... Issue 87 was a harmless use-after-free on shutdown, and nothing to do with this. I've said my piece, and I can see it was a mistake trying to engage with you, so I'm locking this thread. ",5,1,93,0.3846153846153846,0.0,142,3,y,3191,toxic,1
5,5,105,DSharpPlus/DSharpPlus/282,0.503613565,DSharpPlus,DSharpPlus,Do not defame me please.,313,3,0,1.0,0,"You guys harassed me over PascalCase with ""someone"" being verbally abusive and saying I needed to get help because I showed him my programming trophy. Being rude is one things, being delusional is worse. I get it. You guys got intimidated by me but stop making up shit.  Getting defensive? You know what you did. ",0,0,9,0.0,0.0,10,1,y,312,toxic,1
6,6,0,material-design-lite/google/4634,0.0526793645,google,material-design-lite,Update babel-core to version 6.13.0 🚀,1755,13,57,0.5,0,"Hello lovely humans, babel-core just published its new version 6.13.0. &lt;table&gt;   &lt;tr&gt;     &lt;th align=left&gt;       State     &lt;/th&gt;     &lt;td&gt;       Update rocket     &lt;/td&gt;   &lt;/tr&gt;   &lt;tr&gt;     &lt;th align=left&gt;       Dependency     &lt;/td&gt;     &lt;td&gt;       babel-core     &lt;/td&gt;   &lt;/tr&gt;   &lt;tr&gt;     &lt;th align=left&gt;       New version     &lt;/td&gt;     &lt;td&gt;       6.13.0     &lt;/td&gt;   &lt;/tr&gt;   &lt;tr&gt;     &lt;th align=left&gt;       Type     &lt;/td&gt;     &lt;td&gt;       devDependency     &lt;/td&gt;   &lt;/tr&gt; &lt;/table&gt;This version is not covered by your current version range. Without accepting this pull request your project will work just like it did before. There might be a bunch of new features, fixes and perf improvements that the maintainers worked on for you though. I recommend you look into these changes and try to get onto the latest version of babel-core. Given that you have a decent test suite, a passing build is a strong indicator that you can take advantage of these changes by merging the proposed change into your project. Otherwise this branch is a great starting point for you to work on the update. Do you have any ideas how I could improve these pull requests? Did I report anything you think isn’t right? Are you unsure about how things are supposed to work? There is a collection of frequently asked questions and while I’m just a bot, there is a group of people who are happy to teach me new things. Let them know. Good luck with your project sparkles You rock! palm_tree  This pull request was created by greenkeeper.io. &lt;sub&gt;Tired of seeing this sponsor message? zap &lt;/sub&gt;  Newer PR available. Closing. ",4,0,160,0.0,0.5,29,5,n,1754,healthy,0
7,7,99,webpack-stream/shama/199,0.10213508,shama,webpack-stream,'watch' is not watching,1115,16,6,0.3333333333333333,0,"Since version 5.0.0, when gulp starts a task, webpack is starting as usual, saying it's watching for a changes, but whenever the file is changed, the webpack does nothing like not detecting any changes. 4.03 works fine. Passing different versions of webpack is not making any difference.  I recommend searching this issue tracker or git history for the individuals who added the dual watch thing and ping them to ask. Or get real specific with a repro of the issue as it relates to this library as I don't use gulp.  Same issue here.  NOT WORK!  I recommend searching this issue tracker or git history for the individuals who added the dual watch thing and ping them to ask. Or get real specific with a repro of the issue as it relates to this library as I don't use gulp.  @friend i think its double post   😢  Sometimes I repost comments if I don't think they are being read.  I thought that this first post of yours @friend was stupid.. but that last one just shows how retarded you are  Thank you for making me write free code for you so enjoyable!  Thank you for making me write free code for you so enjoyable! ",0,0,28,0.1111111111111111,0.5185185185185185,22,3,y,1114,toxic,1
8,8,1,stls-mobile-app/smart-traffic-light-system/12,0.0979173,smart-traffic-light-system,stls-mobile-app,Bump @angular/platform-browser-dynamic from 5.1.0 to 6.1.0,2608,5,41,0.0,24,"Bumps @friend/platform-browser-dynamic from 5.1.0 to 6.1.0. &lt;details&gt; &lt;summary&gt;Changelog&lt;/summary&gt;  *Sourced from [@friend/platform-browser-dynamic's changelog]( []( release cut the v6.1.0 release - []( Revert ""feat(core) add support for using async/await with Jasmine"" ([#25096]( []( fix(router) Fix _lastPathIndex in deeply nested empty paths ([#22394]( []( fix(ivy) update compiler with latest runtime for view queries ([#25061]( []( docs(animations) typo fix in the comments ([#22652]( []( docs refactor style guide example 03-06 ([#24996]( []( Revert ""docs refactor style guide example 03-06 ([#24996]( []( docs refactor ngmodules example ([#25072]( []( docs replace angular/http with HttpClient ([#25068]( []( docs replace angular/http with HttpClient ([#25066]( Additional commits viewable in [compare view]( /&gt;  [![Dependabot compatibility score]( will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting .  ---  **Note** This repo was added to Dependabot recently, so you'll receive a maximum of 5 PRs for your first few update runs. Once an update run creates fewer than 5 PRs we'll remove that limit.  You can always request more updates by clicking  in your [Dependabot dashboard]( commands and options&lt;/summary&gt; &lt;br /&gt;  You can trigger Dependabot actions by commenting on this PR -  will rebase this PR -  will merge this PR after your CI passes on it -  will reopen this PR if it is closed -  will close this PR and stop Dependabot creating any more for this minor/major version (unless you reopen the PR or upgrade to it yourself) -  will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself) -  will set the current labels as the default for future PRs for this repo and language -  will set the current reviewers as the default for future PRs for this repo and language -  will set the current assignees as the default for future PRs for this repo and language -  will comment on this PR with code to add a ""Dependabot enabled"" badge to your readme  Additionally, you can set the following in your Dependabot [dashboard]( Update frequency (including time of day and day of week) - Automerge options (never/patch/minor, and dev/runtime dependencies) - Pull request limits (per update run and/or open at any time) - Out-of-range updates (receive only lockfile updates, if desired) - Security updates (receive only security updates, if desired)  Finally, you can contact us by mentioning @friend.  &lt;/details&gt;",17,51,216,0.3333333333333333,0.6666666666666666,67,1,n,2608,healthy,0
9,9,98,spark/perwendel/1020,0.2532057525,perwendel,spark,"stop use static members, its too foolish.",864,13,8,0.7272727272727273,1,"I hava a 512m vps, I want to build some website on it. memory is too small, I must select a simple and high performance java web framework. I just read the spark's doc, I found some code like this Do you know what's the feeling of me?  foolish, child-liking ,  naive I want a normal code style like this You all contributors should focus on simple and performance and low memory-use, not the  naive grammar features!  There is an instance api, showed in this new post  looks more or less the same as the static api.  Service http = ignite();  even more foolish! I think you all java programmer should learn some programming theory from UNIX/Linux. Java is a enterprise programming platform, commercial companies like oracle/sun/ibm want to earn more money from customers, so they make java complex and heavy! UNIX/Linux programming theory is the only correct way. ",3,0,30,0.0,0.2727272727272727,22,4,y,863,toxic,1
