,Repo,GitHub_Type,Nr,original_statement,statement,Non_knowledge_Type_Roberts,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_old,roberts_label,label
0,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I noticed unexpected numerical discrepancies when using nn.Linear with float16/bfloat16 tensors after slicing. Here's a minimal example: `x2 = x1[:, delay:]` results in assertion failures when passed through a linear layer, but `x2 = x1[:, delay:].clone()` works correctly. The error magnifies with bfloat16. I'm unsure whether this is a precision limitation or a bug in PyTorch's handling of strided tensors.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1
1,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","When applying nn.Linear to sliced float16 tensors, I observed non-zero output differences compared to non-sliced inputs. Code example: `net(x1[:, delay:])` vs `net(x2)` fails assertions with 0.0010+ errors in float16. Cloning the sliced tensor eliminates the issue. Could this be a memory layout problem, or is it expected behavior with reduced-precision types?",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1
2,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I'm getting inconsistent outputs from nn.Linear when using sliced float16/bfloat16 tensors. The code `out1 = net(x1)` and `out2 = net(x1[:, delay:])` produces non-zero differences in outputs despite input equivalence. This only occurs with float16/bfloat16, not float32. Is this a known precision issue, or is there a mistake in my implementation?",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1
3,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","A strange error occurs with nn.Linear when using float16 on sliced tensors. My test code shows that `x1[:, delay:]` and its clone behave differently through the network. The error grows with bfloat16, but disappears in float32. I'm not sure if this is a PyTorch bug or an inherent limitation of low-precision calculations on strided tensors.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1
4,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I encountered assertion failures when applying a linear layer to float16 sliced tensors. The code `assert torch.allclose(net(x1[:, delay:]), net(x2))` fails with 0.0078+ errors in bfloat16. This doesn't happen with float32 or cloned tensors. Could this be related to how PyTorch handles tensor strides in mixed-precision operations? I'm unsure how to interpret these results.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1
5,pytorch_pytorch,Issue,154556,"When I use torch.compile(flex_attention) with NJT inputs I get the following error:
 torch._dynamo.exc.BackendCompilerFailed: backend='inductor' raised:
 RuntimeError: Attempting to use FunctionalTensor on its own. Instead, please use it with a corresponding FunctionalTensorMode()
 

 This happens both on cpu and cuda devices (A100, 6000 ADA, 2080Ti) and independent of setting dynamic=True/False.
 Depending on how K,V are constructed, their jagged dimensions might have shapes j2,j3 which are not detected as matching. I made some effort to get both equal to j2, but that didn't help.
 Note that Q has a different shape j1. Running self-attention flex_attention(Q,Q,Q) with all jagged axes equal to j1 didn't help either.
 A minimal reproducer for this issue:
 import torch
 from torch.nested import nested_tensor_from_jagged
 from torch.nn.attention.flex_attention import flex_attention
 

 device = 'cuda' if torch.cuda.is_available() else 'cpu'
 H, E_inner, E_value= 8, 16, 32
 lengths_Q = torch.tensor([11, 13, 15])
 lengths_KV = torch.tensor([10, 15, 11])
 offsets_Q = torch.cat([torch.tensor([0]), torch.cumsum(lengths_Q, dim=0)])
 offsets_KV = torch.cat([torch.tensor([0]), torch.cumsum(lengths_KV, dim=0)])
 

 Q = torch.cat([torch.randn(Ni,H,E_inner) for Ni in lengths_Q], dim=0)
 K = torch.cat([torch.randn(Ni,H,E_inner) for Ni in lengths_KV], dim=0)
 V = torch.cat([torch.randn(Ni,H,E_value) for Ni in lengths_KV], dim=0)
 Q = nested_tensor_from_jagged(Q, offsets=offsets_Q )
 K = nested_tensor_from_jagged(K, offsets=offsets_KV)
 V = nested_tensor_from_jagged(V, offsets=offsets_KV)
 Q = Q.moveaxis(1,2).contiguous().to(device) # size=(B, H, j1, E_inner), contiguous=True
 K = K.moveaxis(1,2).contiguous().to(device) # size=(B, H, j2, E_inner), contiguous=True
 V = V.moveaxis(1,2).contiguous().to(device) # size=(B, H, j2, E_value), contiguous=True
 

 flex_attention = torch.compile(flex_attention)
 attn_out = flex_attention(Q,K,V) # size=(B, H, j1, E_value), crashes when flex_attention is compiled
 print(attn_out)","I'm encountering a RuntimeError when using torch.compile(flex_attention) with Nested Jagged Tensors (NJT). The error message mentions FunctionalTensor requiring a FunctionalTensorMode, and it occurs consistently across CPU and CUDA devices. Even after aligning jagged dimensions manually (e.g., j2 for K/V) and testing dynamic compilation settings, the issue persists. Can someone clarify if this is a bug in PyTorch's NJT support or an incorrect usage pattern?",Known Unknown,pytorch_pytorch,Issue,154556,Irrelevant,2,1
6,pytorch_pytorch,Issue,154556,"When I use torch.compile(flex_attention) with NJT inputs I get the following error:
 torch._dynamo.exc.BackendCompilerFailed: backend='inductor' raised:
 RuntimeError: Attempting to use FunctionalTensor on its own. Instead, please use it with a corresponding FunctionalTensorMode()
 

 This happens both on cpu and cuda devices (A100, 6000 ADA, 2080Ti) and independent of setting dynamic=True/False.
 Depending on how K,V are constructed, their jagged dimensions might have shapes j2,j3 which are not detected as matching. I made some effort to get both equal to j2, but that didn't help.
 Note that Q has a different shape j1. Running self-attention flex_attention(Q,Q,Q) with all jagged axes equal to j1 didn't help either.
 A minimal reproducer for this issue:
 import torch
 from torch.nested import nested_tensor_from_jagged
 from torch.nn.attention.flex_attention import flex_attention
 

 device = 'cuda' if torch.cuda.is_available() else 'cpu'
 H, E_inner, E_value= 8, 16, 32
 lengths_Q = torch.tensor([11, 13, 15])
 lengths_KV = torch.tensor([10, 15, 11])
 offsets_Q = torch.cat([torch.tensor([0]), torch.cumsum(lengths_Q, dim=0)])
 offsets_KV = torch.cat([torch.tensor([0]), torch.cumsum(lengths_KV, dim=0)])
 

 Q = torch.cat([torch.randn(Ni,H,E_inner) for Ni in lengths_Q], dim=0)
 K = torch.cat([torch.randn(Ni,H,E_inner) for Ni in lengths_KV], dim=0)
 V = torch.cat([torch.randn(Ni,H,E_value) for Ni in lengths_KV], dim=0)
 Q = nested_tensor_from_jagged(Q, offsets=offsets_Q )
 K = nested_tensor_from_jagged(K, offsets=offsets_KV)
 V = nested_tensor_from_jagged(V, offsets=offsets_KV)
 Q = Q.moveaxis(1,2).contiguous().to(device) # size=(B, H, j1, E_inner), contiguous=True
 K = K.moveaxis(1,2).contiguous().to(device) # size=(B, H, j2, E_inner), contiguous=True
 V = V.moveaxis(1,2).contiguous().to(device) # size=(B, H, j2, E_value), contiguous=True
 

 flex_attention = torch.compile(flex_attention)
 attn_out = flex_attention(Q,K,V) # size=(B, H, j1, E_value), crashes when flex_attention is compiled
 print(attn_out)","When compiling flex_attention with NJT inputs via torch.compile, I get a BackendCompilerFailed error related to FunctionalTensor. The error appears regardless of device (A100, 6000 ADA, 2080Ti) or dynamic=True/False. My minimal example shows jagged dimensions j1/j2/j3 fail to match, even after explicit alignment. Why does FunctionalTensorMode need to be explicitly used here, and is this a limitation of the current implementation?",Known Unknown,pytorch_pytorch,Issue,154556,Irrelevant,2,1
7,pytorch_pytorch,Issue,154556,"When I use torch.compile(flex_attention) with NJT inputs I get the following error:
 torch._dynamo.exc.BackendCompilerFailed: backend='inductor' raised:
 RuntimeError: Attempting to use FunctionalTensor on its own. Instead, please use it with a corresponding FunctionalTensorMode()
 

 This happens both on cpu and cuda devices (A100, 6000 ADA, 2080Ti) and independent of setting dynamic=True/False.
 Depending on how K,V are constructed, their jagged dimensions might have shapes j2,j3 which are not detected as matching. I made some effort to get both equal to j2, but that didn't help.
 Note that Q has a different shape j1. Running self-attention flex_attention(Q,Q,Q) with all jagged axes equal to j1 didn't help either.
 A minimal reproducer for this issue:
 import torch
 from torch.nested import nested_tensor_from_jagged
 from torch.nn.attention.flex_attention import flex_attention
 

 device = 'cuda' if torch.cuda.is_available() else 'cpu'
 H, E_inner, E_value= 8, 16, 32
 lengths_Q = torch.tensor([11, 13, 15])
 lengths_KV = torch.tensor([10, 15, 11])
 offsets_Q = torch.cat([torch.tensor([0]), torch.cumsum(lengths_Q, dim=0)])
 offsets_KV = torch.cat([torch.tensor([0]), torch.cumsum(lengths_KV, dim=0)])
 

 Q = torch.cat([torch.randn(Ni,H,E_inner) for Ni in lengths_Q], dim=0)
 K = torch.cat([torch.randn(Ni,H,E_inner) for Ni in lengths_KV], dim=0)
 V = torch.cat([torch.randn(Ni,H,E_value) for Ni in lengths_KV], dim=0)
 Q = nested_tensor_from_jagged(Q, offsets=offsets_Q )
 K = nested_tensor_from_jagged(K, offsets=offsets_KV)
 V = nested_tensor_from_jagged(V, offsets=offsets_KV)
 Q = Q.moveaxis(1,2).contiguous().to(device) # size=(B, H, j1, E_inner), contiguous=True
 K = K.moveaxis(1,2).contiguous().to(device) # size=(B, H, j2, E_inner), contiguous=True
 V = V.moveaxis(1,2).contiguous().to(device) # size=(B, H, j2, E_value), contiguous=True
 

 flex_attention = torch.compile(flex_attention)
 attn_out = flex_attention(Q,K,V) # size=(B, H, j1, E_value), crashes when flex_attention is compiled
 print(attn_out)","I'm facing a crash in flex_attention when using NJT inputs with torch.compile. The error `RuntimeError: Attempting to use FunctionalTensor on its own` occurs even after setting all jagged dimensions to j2 for K/V. This happens on both CPU and CUDA, and dynamic compilation settings don't resolve it. Is there a specific way to interface FunctionalTensorMode with NJT in this context?",Known Unknown,pytorch_pytorch,Issue,154556,Irrelevant,2,1
8,pytorch_pytorch,Issue,154556,"When I use torch.compile(flex_attention) with NJT inputs I get the following error:
 torch._dynamo.exc.BackendCompilerFailed: backend='inductor' raised:
 RuntimeError: Attempting to use FunctionalTensor on its own. Instead, please use it with a corresponding FunctionalTensorMode()
 

 This happens both on cpu and cuda devices (A100, 6000 ADA, 2080Ti) and independent of setting dynamic=True/False.
 Depending on how K,V are constructed, their jagged dimensions might have shapes j2,j3 which are not detected as matching. I made some effort to get both equal to j2, but that didn't help.
 Note that Q has a different shape j1. Running self-attention flex_attention(Q,Q,Q) with all jagged axes equal to j1 didn't help either.
 A minimal reproducer for this issue:
 import torch
 from torch.nested import nested_tensor_from_jagged
 from torch.nn.attention.flex_attention import flex_attention
 

 device = 'cuda' if torch.cuda.is_available() else 'cpu'
 H, E_inner, E_value= 8, 16, 32
 lengths_Q = torch.tensor([11, 13, 15])
 lengths_KV = torch.tensor([10, 15, 11])
 offsets_Q = torch.cat([torch.tensor([0]), torch.cumsum(lengths_Q, dim=0)])
 offsets_KV = torch.cat([torch.tensor([0]), torch.cumsum(lengths_KV, dim=0)])
 

 Q = torch.cat([torch.randn(Ni,H,E_inner) for Ni in lengths_Q], dim=0)
 K = torch.cat([torch.randn(Ni,H,E_inner) for Ni in lengths_KV], dim=0)
 V = torch.cat([torch.randn(Ni,H,E_value) for Ni in lengths_KV], dim=0)
 Q = nested_tensor_from_jagged(Q, offsets=offsets_Q )
 K = nested_tensor_from_jagged(K, offsets=offsets_KV)
 V = nested_tensor_from_jagged(V, offsets=offsets_KV)
 Q = Q.moveaxis(1,2).contiguous().to(device) # size=(B, H, j1, E_inner), contiguous=True
 K = K.moveaxis(1,2).contiguous().to(device) # size=(B, H, j2, E_inner), contiguous=True
 V = V.moveaxis(1,2).contiguous().to(device) # size=(B, H, j2, E_value), contiguous=True
 

 flex_attention = torch.compile(flex_attention)
 attn_out = flex_attention(Q,K,V) # size=(B, H, j1, E_value), crashes when flex_attention is compiled
 print(attn_out)","I'm getting a BackendCompilerFailed error when applying torch.compile to flex_attention with NJT inputs. The issue appears to stem from FunctionalTensor requirements, and my attempts to force matching jagged dimensions (j2 for K/V) haven't fixed it. The problem is consistent across devices and dynamic settings. Could this be a missing compatibility between FunctionalTensor and NJT in PyTorch?",Known Unknown,pytorch_pytorch,Issue,154556,Irrelevant,2,1
9,pytorch_pytorch,Issue,154556,"When I use torch.compile(flex_attention) with NJT inputs I get the following error:
 torch._dynamo.exc.BackendCompilerFailed: backend='inductor' raised:
 RuntimeError: Attempting to use FunctionalTensor on its own. Instead, please use it with a corresponding FunctionalTensorMode()
 

 This happens both on cpu and cuda devices (A100, 6000 ADA, 2080Ti) and independent of setting dynamic=True/False.
 Depending on how K,V are constructed, their jagged dimensions might have shapes j2,j3 which are not detected as matching. I made some effort to get both equal to j2, but that didn't help.
 Note that Q has a different shape j1. Running self-attention flex_attention(Q,Q,Q) with all jagged axes equal to j1 didn't help either.
 A minimal reproducer for this issue:
 import torch
 from torch.nested import nested_tensor_from_jagged
 from torch.nn.attention.flex_attention import flex_attention
 

 device = 'cuda' if torch.cuda.is_available() else 'cpu'
 H, E_inner, E_value= 8, 16, 32
 lengths_Q = torch.tensor([11, 13, 15])
 lengths_KV = torch.tensor([10, 15, 11])
 offsets_Q = torch.cat([torch.tensor([0]), torch.cumsum(lengths_Q, dim=0)])
 offsets_KV = torch.cat([torch.tensor([0]), torch.cumsum(lengths_KV, dim=0)])
 

 Q = torch.cat([torch.randn(Ni,H,E_inner) for Ni in lengths_Q], dim=0)
 K = torch.cat([torch.randn(Ni,H,E_inner) for Ni in lengths_KV], dim=0)
 V = torch.cat([torch.randn(Ni,H,E_value) for Ni in lengths_KV], dim=0)
 Q = nested_tensor_from_jagged(Q, offsets=offsets_Q )
 K = nested_tensor_from_jagged(K, offsets=offsets_KV)
 V = nested_tensor_from_jagged(V, offsets=offsets_KV)
 Q = Q.moveaxis(1,2).contiguous().to(device) # size=(B, H, j1, E_inner), contiguous=True
 K = K.moveaxis(1,2).contiguous().to(device) # size=(B, H, j2, E_inner), contiguous=True
 V = V.moveaxis(1,2).contiguous().to(device) # size=(B, H, j2, E_value), contiguous=True
 

 flex_attention = torch.compile(flex_attention)
 attn_out = flex_attention(Q,K,V) # size=(B, H, j1, E_value), crashes when flex_attention is compiled
 print(attn_out)","Using torch.compile(flex_attention) with NJT inputs results in a FunctionalTensor error that I can't resolve. I've tested this on multiple CUDA devices and verified that dynamic=True/False doesn't affect the outcome. Even when explicitly aligning K/V jagged dimensions to j2, the error persists. Is there a known workaround for this issue, or is it a bug in the current implementation?",Known Unknown,pytorch_pytorch,Issue,154556,Irrelevant,2,1
