Model,,,gemma-3-270m-it,gemma-3-270m-it,gemma-3-1b-it,gemma-3-1b-it,gemma-3-4b-it,gemma-3-4b-it,gemma-3-12b-it,gemma-3-12b-it,gemma-3-27b-it,gemma-3-27b-it,Qwen3-0_6B,Qwen3-0_6B,Qwen3-4B,Qwen3-4B,Qwen3-14B,Qwen3-14B
Experiment,,,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy
Group,Probe,Dataset,,,,,,,,,,,,,,,,
a,LRProbe,c,-0.2,0.23,0.12,-0.62,0.04,0.02,0.04,-0.03,-0.04,-0.01,-0.02,-0.02,-0.01,0.0,0.01,0.01
a,LRProbe,cn,0.01,0.12,0.17,-0.23,-0.01,0.01,0.0,-0.02,-0.0,-0.0,-0.02,-0.02,-0.01,0.0,-0.0,0.0
a,LRProbe,g,0.19,1.38,0.69,-0.4,0.09,0.07,0.01,-0.0,-0.0,-0.07,0.08,0.02,-0.01,0.01,0.01,0.01
a,LRProbe,gn,-0.33,0.71,0.1,-0.19,0.1,0.06,-0.01,-0.02,0.0,-0.01,0.03,0.0,-0.02,0.01,-0.0,-0.0
a,LRProbe,hatecheck_balanced,-0.31,-0.08,0.19,0.54,0.12,-0.19,0.02,0.0,-0.05,-0.03,0.02,0.0,-0.01,-0.01,0.01,0.02
a,LRProbe,hatecheck_complex_balanced,-1.04,0.04,0.17,-1.06,0.13,-0.27,0.01,-0.1,-0.01,-0.08,-0.05,0.0,-0.05,0.0,0.0,0.02
a,LRProbe,hatecheck_simple_balanced,-0.36,0.25,-0.38,-0.42,0.05,-0.1,0.07,-0.08,-0.1,-0.02,-0.0,0.0,-0.01,0.01,0.01,0.03
a,MMProbe,c,-0.16,0.25,0.15,0.54,0.23,0.28,0.07,-0.13,-0.14,0.01,0.09,0.12,0.04,0.13,-0.0,0.07
a,MMProbe,cn,-0.16,1.57,0.21,0.52,0.22,0.3,0.07,-0.07,-0.08,-0.02,0.06,0.06,-0.04,0.04,-0.0,0.06
a,MMProbe,g,0.07,0.08,0.52,0.23,0.11,-0.28,0.12,0.03,-0.29,-0.07,0.22,0.22,0.18,0.37,0.01,0.75
a,MMProbe,gn,-0.31,0.42,0.06,-0.23,0.15,-0.35,0.1,-0.09,-0.15,-0.04,0.05,0.18,0.05,0.2,0.03,0.44
a,MMProbe,hatecheck_balanced,-0.26,0.82,0.48,0.75,0.23,0.74,0.06,0.0,0.03,-0.07,-0.22,0.06,-0.06,0.03,0.02,0.04
a,MMProbe,hatecheck_complex_balanced,0.38,2.79,-0.27,-2.06,-0.01,3.61,-0.04,-0.15,-0.3,-0.63,-0.12,0.05,-0.01,-0.02,-0.04,0.55
a,MMProbe,hatecheck_simple_balanced,-0.22,1.02,1.62,-0.15,-0.05,-0.53,0.11,-0.04,-0.1,-0.12,-0.22,0.03,-0.01,0.03,0.03,0.07
b2,LRProbe,c,-0.01,0.06,0.04,-0.0,0.09,-0.07,0.1,-0.06,-0.02,0.03,-0.02,0.0,-0.01,0.0,-0.01,-0.01
b2,LRProbe,cn,-0.16,-0.1,-0.02,-0.04,0.07,-0.09,0.04,0.04,-0.03,0.02,0.03,0.0,-0.01,-0.0,0.01,0.01
b2,LRProbe,g,0.18,0.16,0.04,-0.06,0.06,-0.35,0.16,0.01,-0.09,0.05,0.02,0.0,-0.02,0.0,0.02,0.04
b2,LRProbe,gn,-0.02,0.01,-0.02,-0.04,0.0,-0.15,0.04,-0.11,-0.02,0.02,0.02,0.0,-0.06,-0.02,-0.01,-0.02
b2,LRProbe,hatecheck_balanced,-0.16,-0.07,-0.04,-0.15,0.23,0.04,0.19,0.02,0.15,-0.15,0.02,0.0,0.04,0.01,0.04,0.06
b2,LRProbe,hatecheck_complex_balanced,0.05,0.06,0.02,-0.06,0.18,-0.17,0.06,-0.04,0.09,-0.18,0.15,0.06,0.18,0.19,0.13,0.18
b2,LRProbe,hatecheck_simple_balanced,0.04,0.05,0.15,0.15,0.04,-0.59,0.15,0.14,-0.28,0.18,0.08,0.02,0.08,0.04,0.16,0.29
b2,MMProbe,c,0.13,-0.11,0.0,0.17,0.08,0.29,0.0,-0.1,-0.32,-0.0,-0.0,0.03,-0.02,-0.01,0.03,0.11
b2,MMProbe,cn,-0.07,-0.1,-0.1,0.04,0.07,0.28,-0.02,-0.36,-0.22,0.01,-0.09,-0.05,-0.06,-0.03,-0.01,0.03
b2,MMProbe,g,0.26,0.17,0.06,0.19,0.2,-0.32,0.1,-0.15,-0.11,0.05,0.22,0.25,0.06,0.11,0.07,0.37
b2,MMProbe,gn,-0.04,0.16,-0.06,0.02,0.09,-0.16,0.05,-0.65,-0.1,-0.06,0.15,0.14,-0.03,-0.01,0.01,0.1
b2,MMProbe,hatecheck_balanced,0.31,0.36,-0.04,-0.0,0.02,0.73,0.06,-0.06,-0.06,0.84,0.29,0.22,0.15,1.19,0.01,0.98
b2,MMProbe,hatecheck_complex_balanced,0.01,0.58,-0.17,0.4,0.03,3.77,0.04,0.72,-0.15,0.6,0.11,0.29,-0.04,0.53,0.02,0.72
b2,MMProbe,hatecheck_simple_balanced,0.05,0.06,-0.06,-0.27,0.05,-0.1,0.06,-0.4,-0.12,0.07,0.48,0.29,0.14,1.2,0.02,0.92
