,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.6,original_Unnamed: 0.5,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_final_label,original_rephrased_statement,final_label
0,11835,11835,11835,1156,1204,numpy_numpy,issue,28024.0,"The behaviour was added a long time ago, commit 67940c3 in 2006.",Commit 67940c3 (2006) adds the described behavior.,Neutral,Neutral,short,0.1428571428571428,0.0833333333333333,0.1052631578947368,"('factual_observation', 'Professional/Formal', 'Concise')",,,57,57,57,57,57,numpy_numpy,issue,28024.0,Knowledge,short,,,,,,,,0,0,0,,,1
1,17457,17457,17457,4771,4998,numpy_numpy,pull,28453.0,"This is probably happening because there's a cython compiler error that is getting captured by pytest, causing meson to fail. You're not seeing the output from cython because pytest captures stdout by default.",Related to issue #2345 where build output suppression was previously reported.,Knowledge,Neutral,short,0.1818181818181818,0.0606060606060606,0.0909090909090909,"('community_reference', 'github_native', 'Expand')",81.0,81.0,81,81,81,81,81,numpy_numpy,pull,28453.0,Knowledge,short,,,,,,,,0,0,0,0.0,"This is probably happening because there's a cython compiler error that is getting captured by pytest, causing meson to fail. You're not seeing the output from cython because pytest captures stdout by default.",0
2,17569,17569,17569,4883,5117,microsoft_vscode,issue,251545.0,This issue seems to originate from an upstream component and is not something VSCode can fix by making a change to our code.,Investigation is ongoing to determine which upstream component is involved.,Knowledge,Neutral,short,0.4,0.1739130434782608,0.2424242424242424,"('action_items', 'Casual/Conversational', 'Neutral')",83.0,83.0,83,83,83,83,83,microsoft_vscode,issue,251545.0,Knowledge,short,,,,,,,,0,0,0,0.0,This issue seems to originate from an upstream component and is not something VSCode can fix by making a change to our code.,0
3,16797,16797,16797,4111,4317,numpy_numpy,issue,29174.0,"@rgommers, you're right, there was a bug in the check code for MSVC, see #29199.",Reported context: MSVC check logic has been identified for inspection.,Knowledge,Neutral,short,0.2,0.1333333333333333,0.16,"('scope_statement', 'Technical', 'List')",69.0,69.0,69,69,69,69,69,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0.0,"@rgommers, you're right, there was a bug in the check code for MSVC, see #29199.",0
4,16774,16774,16774,4088,4294,numpy_numpy,issue,29174.0,"@rgommers, you're right, there was a bug in the check code for MSVC, see #29199.",Discussion in #29199 involves the MSVC check logic and associated behavior.,Knowledge,Neutral,short,0.2727272727272727,0.2,0.2307692307692307,"('community_reference', 'Professional/Formal', 'Expand')",69.0,69.0,69,69,69,69,69,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0.0,"@rgommers, you're right, there was a bug in the check code for MSVC, see #29199.",0
5,16803,16803,16803,4117,4323,numpy_numpy,issue,29174.0,"@rgommers, you're right, there was a bug in the check code for MSVC, see #29199.",This thread references a known codepath under review in #29199.,Knowledge,Neutral,short,0.3,0.2,0.24,"('action_items', 'github_native', 'Expand')",69.0,69.0,69,69,69,69,69,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0.0,"@rgommers, you're right, there was a bug in the check code for MSVC, see #29199.",0
6,470,470,470,470,489,pytorch_pytorch,issue,153960.0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.","We initialize the NCCL communicator immediately upon detecting the device ID, rather than deferring initialization until the first collective operation—as is conventional in PyTorch. This proactive approach introduces an upfront cost, which is mitigated by leveraging NCCL’s non-blocking API to avoid synchronization stalls during startup.",Knowledge,Neutral,short,0.2222222222222222,0.2439024390243902,0.2325581395348837,"('Professional/Formal', 'Exploratory', 'Expand')",7.0,7.0,7,7,7,7,7,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0.0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.",0
7,7567,7567,7567,1340,1402,pytorch_pytorch,issue,154556.0,"The tracing component (Dynamo) is not fully cached today, but we are working on this.","Dynamo’s tracer isn’t fully cached yet, but we’re fixing it.",Knowledge,Knowledge,short,0.3,0.2,0.24,"('Professional/Formal', 'Confidence', 'Concise')",,,30,30,30,30,30,pytorch_pytorch,issue,154556.0,Knowledge,short,,,,,,,,0,0,0,,,0
8,12110,12110,12110,1431,1498,numpy_numpy,issue,28813.0,"Weird, I can't think of a way for two threads to get a handle on the same newly created StringDType instance from the array creation logic.",Linking to issue #1234 concerning shared handles of StringDType across threads.,Neutral,Neutral,short,0.1818181818181818,0.0769230769230769,0.1081081081081081,"('procedural', 'Technical', 'Concise')",,,71,71,71,71,71,numpy_numpy,issue,28813.0,Unknown,short,,,,,,,,1,1,1,,,1
9,10904,10904,10904,225,240,pytorch_pytorch,issue,21819.0,I met a strange illegal memory access error. It happens randomly without any regular pattern.,Log excerpt shows an illegal memory access exception at runtime.,Neutral,Neutral,short,0.3,0.2,0.24,"('information_request', 'Technical', 'Expand')",,,11,11,11,11,11,pytorch_pytorch,issue,21819.0,Unknown,short,,,,,,,,1,1,1,,,1
10,10746,10746,10746,67,70,pytorch_pytorch,Issue,154093.0,"I want to export a model to onnx, the simple code like the following:
 from torch import nn
 import torch
 

 class Model(nn.Module):
  def forward(self, x, y):
  y = torch.repeat_interleave(y, x.shape[0], dim=0)
  return y
 

 device = 'cuda:1'
 model = Model()
 model.to(device)
 x = torch.zeros((3, 10)).to(device)
 y = torch.zeros((1, 10)).to(device)
 torch.onnx.export(model=model, f='model.onnx', args=(x, y))
 

 Running this code, and I got an exception:
 Expected all tensors to be on the same device, but found at least two devices, cuda:1 and cpu! (when checking argument for argument index in method wrapper_CUDA__index_select)
 

 After debugging, I found that x.shape[0] is a tensor not a int, and its device is 'cpu' not 'cuda:1'
 Is that a bug, and how can I fix it?",Reference to potential device handling issue in torch.repeat_interleave when the repeat count originates from a tensor shape.,Neutral,Neutral,long,0.2941176470588235,0.043103448275862,0.075187969924812,"('reference_format', 'Technical', 'Concise')",,,3,3,3,3,3,pytorch_pytorch,Issue,154093.0,Known,long,,,,,,,,2,2,1,,,1
11,17606,17606,17606,4920,5156,microsoft_vscode,issue,251545.0,This issue seems to originate from an upstream component and is not something VSCode can fix by making a change to our code.,Discussion is focused on identifying the upstream source of this behavior.,Knowledge,Neutral,short,0.0909090909090909,0.0434782608695652,0.0588235294117647,"('scope_statement', 'Casual/Conversational', 'List')",83.0,83.0,83,83,83,83,83,microsoft_vscode,issue,251545.0,Knowledge,short,,,,,,,,0,0,0,0.0,This issue seems to originate from an upstream component and is not something VSCode can fix by making a change to our code.,0
12,7806,7806,7806,1579,1656,tensorflow_tensorflow,issue,84102.0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.","From what I’ve seen on the TensorFlow PyPI listings, Windows support appears to be limited to Intel CPUs only; I haven’t come across a Windows‑ARM wheel on either the main TensorFlow files page or the tensorflow‑intel files page, so it seems that such a wheel isn’t available right now.",Knowledge,Knowledge,short,0.0816326530612244,0.1290322580645161,0.1,"('Casual/Conversational', 'Hedging', 'Expand')",,,35,35,35,35,35,tensorflow_tensorflow,issue,84102.0,Knowledge,short,,,,,,,,0,0,0,,,0
13,6547,6547,6547,320,341,pytorch_pytorch,issue,153960.0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.","We unequivocally initialize the NCCL communicator immediately because the device ID is known at that moment, thereby sidestepping the traditional lazy‑initialization that waits for the first collective call; the upfront expense is neutralized by leveraging NCCL's non‑blocking API.",Knowledge,Knowledge,short,0.3684210526315789,0.3414634146341463,0.3544303797468354,"('Technical', 'Confidence', 'Expand')",,,7,7,7,7,7,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,,,0
14,3062,3062,3062,3062,3202,tensorflow_tensorflow,issue,62075.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.","With TensorFlow 2.14+, the `[and-cuda]` pip extra is the recommended way to enable GPU support: it bundles cuDNN, cuBLAS, and cuFFT into the TensorFlow installation, ensuring compatibility and reducing setup errors common in manual CUDA configurations.",Knowledge,Neutral,short,0.0555555555555555,0.08,0.0655737704918032,"('github_native', 'Hedging', 'Expand')",49.0,49.0,49,49,49,49,49,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.",0
15,8251,8251,8251,2024,2105,tensorflow_tensorflow,issue,37492.0,"To train the LSTM-model on a GPU on my plattform (Windows 10, tf 2.1.0), the parameter batch_input_shape must be specified during the model creation in the very first layer and the parameter input_shape must be omitted.","When training an LSTM on a GPU under Windows 10 with TensorFlow 2.1.0, you should likely set batch_input_shape in the first layer and probably leave out the input_shape argument during model definition.",Knowledge,Knowledge,short,0.34375,0.3055555555555556,0.3235294117647059,"('Neutral', 'Hedging', 'Neutral')",,,45,45,45,45,45,tensorflow_tensorflow,issue,37492.0,Knowledge,short,,,,,,,,0,0,0,,,0
