Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,Label_Qwen3-4B,Label_gpt-120b
1894,tensorflow_tensorflow,issue,24828.0,Had same problem with cuda 9.0 and cuDNN 7.0.5.15-1 on Ubuntu 16.04 with Tensorflow 1.12. Updating to cuDNN 7.4.2.24 fixed this for me!,"I ran into the same issue on Ubuntu 16.04 with CUDA 9.0, cuDNN 7.0.5.15‑1 and TensorFlow 1.12, and upgrading to cuDNN 7.4.2.24 solved it for me.",Knowledge,Knowledge,short,0.3461538461538461,0.391304347826087,0.3673469387755101,"('Neutral', 'Exploratory', 'Neutral')",40,40,40,40,40,tensorflow_tensorflow,issue,24828.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
1139,pytorch_pytorch,issue,155309.0,I think we need a better way to detect aliasing here.,I'm not sure we have a solid method to detect aliasing here – could someone suggest a better approach?,Known,Known Unknown,short,0.2631578947368421,0.4545454545454545,0.3333333333333333,"('Casual/Conversational', 'Hedging', 'Concise')",24,24,24,24,24,pytorch_pytorch,issue,155309.0,Known,short,,,,,,,,2,2,1,"

Known Unknown",Known unknown
1775,tensorflow_tensorflow,issue,24828.0,"I tried installting tensorflow 1.12 using both pip install and building from source.However when I am trying to run faster rcnn model i get following error message:
Failed to get convolution algorithm. This is probably because cuDNN failed to initialize, so try looking to see if a warning log message was printed above.

I only get this with tf 1.12 and python 3.6 ,it works fine with python 3.6","Might the pip‑installed TF‑1.12 binary lack the proper cuDNN symbols, explaining the convolution algorithm lookup error in Python 3.6?",Unknown,Known Unknown,long,0.0526315789473684,0.0144927536231884,0.0227272727272727,"('Technical', 'Exploratory', 'Concise')",38,38,38,38,38,tensorflow_tensorflow,issue,24828.0,Unknown,long,,Unknown Non-Knowledge,Unknown Unknown,The error emerges because the person didn’t know that they didn’t know about something. That something is explained in the next segment. ,kein Nichtwissen,error?,,2,1,1,"

Known Unknown",Known Unknown
1882,tensorflow_tensorflow,issue,24828.0,Had same problem with cuda 9.0 and cuDNN 7.0.5.15-1 on Ubuntu 16.04 with Tensorflow 1.12. Updating to cuDNN 7.4.2.24 fixed this for me!,"Having the same problem on Ubuntu 16.04 with TensorFlow 1.12, CUDA 9.0 and cuDNN 7.0.5.15‑1, I found that moving to cuDNN 7.4.2.24 eliminated the error.",Knowledge,Knowledge,short,0.36,0.391304347826087,0.3749999999999999,"('Neutral', 'Neutral', 'Neutral')",40,40,40,40,40,tensorflow_tensorflow,issue,24828.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
2946,numpy_numpy,issue,18004.0,"The error is referring to the fact that float(1).exp() fails. NumPy does not go to much effort to handle functions on object arrays. In general object arrays will never really be fully integrated into NumPy, and maybe were a mistake in the first place, but are convenient for some container-like applications. Object dtypes are ""out of scope"" for the Array API standard (point 4).","Turns out `float(1).exp()` blows up – NumPy doesn’t really try to support ops on object arrays. Those object dtypes are kind of a side‑effect, not meant for full NumPy integration, and they’re not covered by the Array API spec (see point 4).",Knowledge,Knowledge,short,0.3333333333333333,0.21875,0.2641509433962264,"('Casual/Conversational', 'Exploratory', 'Concise')",63,63,63,63,63,numpy_numpy,issue,18004.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
120,pytorch_pytorch,issue,154556.0,"On the surface, it seems like ctx.unwrap_tensors() (with ctx being a PythonFunctionalizeAPI in this case) is not smart enough to handle tensor subclasses? Should it be handled there or more ad-hoc within flex_attention's impl?","Is the lack of subclass support in ctx.unwrap_tensors() intentional, or should we implement a specific workaround in flex_attention?",Known,Known Unknown,short,0.2222222222222222,0.1176470588235294,0.1538461538461538,"('Neutral', 'Confidence', 'Concise')",2,2,2,2,2,pytorch_pytorch,issue,154556.0,Known,short,,,,,,,,2,2,1,"

Known Unknown",Known unknown
1446,pytorch_pytorch,issue,132332.0,Under certain circumstances nn.Linear will have memory leaks on MPS. The exact failure mode and condition that leads to leakage is unclear at this moment. Need to investigate if the memory leak is in PyTorch or MPS,"It seems that nn.Linear sometimes leaks memory on MPS, but I'm not sure exactly which code path triggers it—could the leak be in PyTorch itself or in the MPS driver?",Known,Known Unknown,short,0.3,0.2432432432432432,0.2686567164179104,"('Neutral', 'Exploratory', 'Neutral')",31,31,31,31,31,pytorch_pytorch,issue,132332.0,Known,short,,,,,,,,2,2,1,"

Known Unknown",Known unknown
264,pytorch_pytorch,issue,153960.0,"Upgrading to PyTorch 2.7 makes the following script randomly hang in distributed mode:
 import argparse
 import os
 import torch

 def main(bad = False):
  local_rank = int(os.environ[""LOCAL_RANK""])
  device = torch.device(""cuda"", local_rank)
  torch.cuda.set_device(device)
  if bad:
  torch.distributed.init_process_group(""nccl"", device_id=device)
  else:
  torch.distributed.init_process_group(""nccl"")

  device = torch.device(""cuda"")
  rank = torch.distributed.get_rank()
 
  for i in range(10000):
  if rank == 0:
  if i % 10 == 0:
  print(i)
  a = torch.ones(3, device=device)
  else:
  a = torch.zeros(3, device=device)
 
  torch.distributed.broadcast(a, src=0)
 
  torch.distributed.destroy_process_group()
 if __name__ == ""__main__"":
  parser = argparse.ArgumentParser()
  parser.add_argument(""--bad"", action=""store_true"", help=""Shows the bug"")
  args = parser.parse_args()
  main(args.bad)
 

 More precisely torchrun --nproc_per_node 8 -- script.py --bad will randomly start hanging (you might need to launch it a couple of times) whereas torchrun --nproc_per_node 8 -- script.py is fine.
 torchrun --nproc_per_node 8 -- script.py --bad completes normally in 2.6.0, so this looks like a regression in PyTorch 2.7. We tried different kinds of GPUs and it looks like the bug appears on all of them.","Running the script in distributed mode with `torchrun --nproc_per_node 8 script.py --bad` on multiple GPU models leads to occasional hangs in PyTorch 2.7, yet the same command succeeds consistently on version 2.6.0; does this indicate a defect in the NCCL backend handling of explicit device IDs introduced in the latest release?",Known,Known Unknown,long,0.2745098039215686,0.0921052631578947,0.1379310344827586,"('Professional/Formal', 'Exploratory', 'Expand')",5,5,5,5,5,pytorch_pytorch,issue,153960.0,Known,long,,,,,,,,2,2,1,"

Known Unknown",Known unknown
1100,pytorch_pytorch,issue,155309.0,It is due to this line which is not PT2 compatible:,This particular line appears to break PT2 compatibility.,Knowledge,Knowledge,short,0.25,0.1818181818181818,0.2105263157894737,"('Neutral', 'Hedging', 'Concise')",23,23,23,23,23,pytorch_pytorch,issue,155309.0,Knowledge,short,,,,,,,,0,0,0,"

Known Unknown",Neutral
1954,microsoft_vscode,,191374.0,"Curious: with your custom file system provider on vscode-userdata, are you converting back to a file URI and then handing the fsPath off to the disk file system provider? Or do you convert one level above on the level of the file service? Asking, because I wonder if there is already a bug in your provider where we potentially loose UNC paths.",Note about possible loss of UNC paths in the custom file system provider.,Neutral,Neutral,short,0.2307692307692307,0.0483870967741935,0.0799999999999999,"('timeline_status', 'Technical', 'Concise')",93,93,93,93,93,microsoft_vscode,,191374.0,Known,short,,,,,,,,2,2,1,"

Neutral",Neutral
