,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_Unnamed: 0.6,original_Unnamed: 0.5,original_final_label,original_rephrased_statement,final_label
2453,2453,2453,2601.0,496,pytorch_pytorch,Issue,153955.0,"You would need to specify dynamic_shapes/dynamic_axes explicitly.
 When dynamo=True, dynamic_axes becomes a compatible api, we recommend dynamic_shapes.","You’ll need to manually enable the dynamic dimension handling by specifying `dynamic_shapes` or `dynamic_axes`. When you run with `dynamo=True`, `dynamic_axes` is still recognized as a legacy API, but the preferred approach is to switch to `dynamic_shapes` because it aligns better with Dynamo’s optimizations and avoids subtle bugs.",Knowledge,Knowledge,short,0.0851063829787234,0.2352941176470588,0.125,"('Casual/Conversational', 'Neutral', 'Expand')",10,10,10,10,10,pytorch_pytorch,Issue,153955.0,Knowledge,short,,,,,,,,0,0,0,,,,,0
8588,8588,2046,,2135,pytorch_pytorch,issue,132332.0,"Ok @hvaara thanks for your patience! Here's the results from my deep dive to the traces of metal resources getting generated during the execution of the code snippet and my current understanding on what's going on:

    The memory grows by the size of the output object of linear layer for each iteration run so by 4 * N * C * H * W bytes, making sense since this is the output object we allocate on L50 in the linear op 1
    When the executeMPSGraph is called using COMMIT_ADAPTIVE as the SyncMode, the operation is encoded to the active command buffer in MPSStream but unless the memory pressure is too high, the command buffer is not committed but instead we keep on encoding operations to the same command buffer 2
    Since each iteration with the nn.Linear needs to maintain its own output tensor until the computation is completed and the python object goes out of scope to be garbage collected, we see the memory increase while the command buffer keeps accumulating more encoded operations. In case we change to COMMIT_AND_WAIT as our SyncMode the command buffers get committed after each encode and the memory buffers required for the outputs are also released once the computation returns. This probably lets the garbage collector sees that the object is no longer needed since we don't assign the outputs of the computation to anything in the python script.
    To validate this I tried to adjust the original script slightly to allow for the adaptive commit to run its course and the computations to return so that the underlying objects can be released and we can see the memory get freed up. It seems like on my local setup it takes about 5-6s of waiting for the objects to get cleaned up. In actual code I assume this would happen more often since there can be other operations calling the command buffer to get synchronized in between in order to perform updates based on the results.

So in summary to me it seems like the memory is managed as intended in this case. In its current form the COMMIT_ADAPTIVE is a bit opaque to the user since it might make the memory seem like its behaving erratically as the commit is automated to only happen once the local device hits the low memory watermark, which depends on the device you are running on. Additionally there's the interplay of when will the underlying python objects get garbage collected that should finally release the memory buffers assigned to them. Let me know if this sounds reasonable or if you think there's still something we missed here. Or if this is causing a concrete issue on your side that would warrant us to do some changes on how the adaptive commit works at the moment.","The observed memory accumulation isn’t a leak — it’s a consequence of COMMIT_ADAPTIVE’s lazy commitment strategy combined with Python’s reference counting. Each nn.Linear iteration allocates a new output tensor (4*N*C*H*W bytes), and until the command buffer is flushed (triggered by memory pressure or explicit sync), these buffers remain pinned. The 5–6s cleanup delay I observed is likely due to GC timing in an isolated loop. In real workflows, interleaved operations trigger earlier synchronization, mitigating this. This is working as intended, though UX could improve by exposing commit triggers or offering a warning for long-running adaptive-mode loops.",Knowledge,Neutral,long,0.2395833333333333,0.0491452991452991,0.0815602836879432,"('Technical', 'Neutral', 'Neutral')",32,32,32,32,32,pytorch_pytorch,issue,132332.0,Knowledge,long,,,,,,,,0,0,0,32.0,32.0,0.0,"Ok @hvaara thanks for your patience! Here's the results from my deep dive to the traces of metal resources getting generated during the execution of the code snippet and my current understanding on what's going on:

    The memory grows by the size of the output object of linear layer for each iteration run so by 4 * N * C * H * W bytes, making sense since this is the output object we allocate on L50 in the linear op 1
    When the executeMPSGraph is called using COMMIT_ADAPTIVE as the SyncMode, the operation is encoded to the active command buffer in MPSStream but unless the memory pressure is too high, the command buffer is not committed but instead we keep on encoding operations to the same command buffer 2
    Since each iteration with the nn.Linear needs to maintain its own output tensor until the computation is completed and the python object goes out of scope to be garbage collected, we see the memory increase while the command buffer keeps accumulating more encoded operations. In case we change to COMMIT_AND_WAIT as our SyncMode the command buffers get committed after each encode and the memory buffers required for the outputs are also released once the computation returns. This probably lets the garbage collector sees that the object is no longer needed since we don't assign the outputs of the computation to anything in the python script.
    To validate this I tried to adjust the original script slightly to allow for the adaptive commit to run its course and the computations to return so that the underlying objects can be released and we can see the memory get freed up. It seems like on my local setup it takes about 5-6s of waiting for the objects to get cleaned up. In actual code I assume this would happen more often since there can be other operations calling the command buffer to get synchronized in between in order to perform updates based on the results.

So in summary to me it seems like the memory is managed as intended in this case. In its current form the COMMIT_ADAPTIVE is a bit opaque to the user since it might make the memory seem like its behaving erratically as the commit is automated to only happen once the local device hits the low memory watermark, which depends on the device you are running on. Additionally there's the interplay of when will the underlying python objects get garbage collected that should finally release the memory buffers assigned to them. Let me know if this sounds reasonable or if you think there's still something we missed here. Or if this is causing a concrete issue on your side that would warrant us to do some changes on how the adaptive commit works at the moment.",0
9746,9746,3204,,3353,tensorflow_tensorflow,issue,62075.0,@Ke293-x2Ek-Qe-7-aE-B I rebuilt all in an independent conda environment as TF. My steps were to create a TF env with python 3.9.8 and tried python3 -m pip install tensorflow[and-cuda] --user according to instruction. Following these I tried python3 -m pip install tensorflow[and-cuda]=2.13.0 --user and found it solved some bugs.,"To address recurring TensorFlow GPU errors, I isolated the environment using Conda with Python 3.9.8 and followed the official installation guide: first installing the base TensorFlow with CUDA via `pip install tensorflow[and-cuda] --user`, then pinning the version to 2.13.0, which stabilized the build and resolved memory allocation failures during model training.",Knowledge,Neutral,short,0.1764705882352941,0.1836734693877551,0.18,"('Professional/Formal', 'Confidence', 'Expand')",52,52,52,52,52,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,52.0,52.0,0.0,@Ke293-x2Ek-Qe-7-aE-B I rebuilt all in an independent conda environment as TF. My steps were to create a TF env with python 3.9.8 and tried python3 -m pip install tensorflow[and-cuda] --user according to instruction. Following these I tried python3 -m pip install tensorflow[and-cuda]=2.13.0 --user and found it solved some bugs.,0
12149,12149,5607,,5865,microsoft_vscode,pull,191501.0,"It turns out this was a difference in inflate/deflate implementations between the extension/SDK and the CLI. The SDK uses Node's zlib bindings, while by default Rust's flate2 library uses a rust port of miniz. miniz does not appear to flush decompressed data as nicely on SYNC'd boundaries as zlib does, which caused data to 'stall'. This could also be the cause of some connection flakiness!","The root cause was a zlib vs. miniz implementation gap: Node’s SDK uses proper zlib with reliable SYNC flushing, but Rust’s flate2 defaults to miniz, which leaves data buffered — causing delays and connection flakiness.",Knowledge,Neutral,short,0.2857142857142857,0.1538461538461538,0.2,"('Casual/Conversational', 'Exploratory', 'Concise')",89,89,89,89,89,microsoft_vscode,pull,191501.0,Knowledge,short,,,,,,,,0,0,0,89.0,89.0,0.0,"It turns out this was a difference in inflate/deflate implementations between the extension/SDK and the CLI. The SDK uses Node's zlib bindings, while by default Rust's flate2 library uses a rust port of miniz. miniz does not appear to flush decompressed data as nicely on SYNC'd boundaries as zlib does, which caused data to 'stall'. This could also be the cause of some connection flakiness!",0
2160,2160,2160,2306.0,201,pytorch_pytorch,issue,153992.0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail.","The generated AOTI binaries intentionally omit input dimensionality checks to avoid latency; however, on a current nightly binary, setting the environment variable AOTI_RUNTIME_CHECK_INPUTS causes the initial sliced test to raise an assertion.",Knowledge,Knowledge,short,0.1875,0.1875,0.1875,"('Technical', 'Exploratory', 'Neutral')",4,4,4,4,4,pytorch_pytorch,issue,153992.0,Knowledge,short,,,,,,,,0,0,0,,,,,0
10912,10912,4370,,4578,numpy_numpy,issue,29174.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.","I’ve confirmed Mugundanmcw’s observation firsthand: MSVC can’t handle some of our dispatch patterns, and VQSort hit heap exhaustion during compilation — a clear sign of platform incompatibility.",Knowledge,Neutral,short,0.1851851851851851,0.1388888888888889,0.1587301587301587,"('Casual/Conversational', 'Neutral', 'Neutral')",70,70,70,70,70,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,70.0,70.0,0.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.",0
9110,9110,2568,,2690,tensorflow_tensorflow,issue,24828.0,"OK, I was able to execute my CNN. I'm using tensorflow tf-nightly-gpu-2.0-preview, and running on a ipython notebook. I had to add this to my notebook:

from tensorflow.compat.v1 import ConfigProto
from tensorflow.compat.v1 import InteractiveSession

config = ConfigProto()
config.gpu_options.allow_growth = True
session = InteractiveSession(config=config)","For anyone using tf-nightly in Jupyter: if your CNN crashes on GPU initialization, don't skip the compat.v1 session setup. Adding config.gpu_options.allow_growth = True is non-negotiable — it lets TensorFlow scale memory usage dynamically instead of hogging everything at launch.",Knowledge,Neutral,long,0.1282051282051282,0.1162790697674418,0.1219512195121951,"('Casual/Conversational', 'Confidence', 'Expand')",41,41,41,41,41,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,41.0,41.0,0.0,"OK, I was able to execute my CNN. I'm using tensorflow tf-nightly-gpu-2.0-preview, and running on a ipython notebook. I had to add this to my notebook:

from tensorflow.compat.v1 import ConfigProto
from tensorflow.compat.v1 import InteractiveSession

config = ConfigProto()
config.gpu_options.allow_growth = True
session = InteractiveSession(config=config)",0
2542,2542,2542,2690.0,585,pytorch_pytorch,issue,21819.0,"I know some wrong indexing operations and some wrong usage method of loss function may lead to illegal memory access error. But in this script, there is no such kind of operation. I am quite sure this error is not because of out of memory since only about 2G GPU memory is used, and I have totally 12G GPU memory.","It appears that erroneous indexing or misuse of the loss function may result in illegal memory accesses; however, this particular script lacks those patterns, and I am confident that the issue does not stem from them.",Knowledge,Knowledge,short,0.3055555555555556,0.1833333333333333,0.2291666666666666,"('Professional/Formal', 'Hedging', 'Neutral')",12,12,12,12,12,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,,,,,0
10902,10902,4360,,4568,numpy_numpy,issue,29174.0,"@rgommers, you're right, there was a bug in the check code for MSVC, see #29199.","You're correct, @rgommers — there was indeed a logic flaw in the MSVC-specific validation code, which has been identified and documented in issue #29199.",Knowledge,Neutral,short,0.25,0.4,0.3076923076923077,"('Technical', 'Exploratory', 'List')",69,69,69,69,69,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,69.0,69.0,0.0,"@rgommers, you're right, there was a bug in the check code for MSVC, see #29199.",0
6459,6459,6459,6701.0,4596,microsoft_vscode,,251518.0,"Hi everyone. It would seem this issue happens with the old version of the Microsoft Chinese Pinyin IME. To fix this issue please consider doing one of the following:

    Upgrade to the newer version of the Microsoft Chinese Pinyin IME
    Turn off the setting editor.experimentalEditContextEnabled, soon to be called editor.editContext

The first solution is preferred because the EditContext API solves other bugs related to the IME (such as the incorrect rendering of the IME input). This issue will be closed.","Dear all, the problem originates from an outdated version of the Microsoft Chinese Pinyin IME. To resolve it, either upgrade to the latest IME version or disable the ""editor.experimentalEditContextEnabled"" setting (renamed to ""editor.editContext""). The preferred approach is upgrading, as the EditContext API also addresses additional IME rendering issues. This issue will now be closed.",Knowledge,Knowledge,long,0.5,0.3375,0.4029850746268656,"('Professional/Formal', 'Confidence', 'Concise')",99,99,99,99,99,microsoft_vscode,,251518.0,Knowledge,long,,,,,,,,0,0,0,,,,,0
