,statement,toxic,is_toxic
80,un crisol de blancos con indios y negros y simios del que sale una abigarrada monstruoteca,1,1
863,"Cómo se nota que eres un friki de los cómics, no tienes ni puta idea de la vida real, solo sabes de superhéroes, villanos y fantasías. Vete a hacerte una paja con tu muñeca hinchable, que es lo único que vas a mojar en tu vida.",1,1
896,"Desde los medios de comunicación, hasta el sistema de educación, desde la policía hasta la banca, desde el sector público al privado, el maketo espera su oportunidad para entrar en el círculo de los elegidos",1,1
1713,"No sé si sabes que tu novio se va de juerga con los travelos de la calle Montera, y que le gusta que le den por el culo mientras le llaman princesa",1,1
266,"Charnego, maketo, ñordo, son algunos de los apelativos que el nacionalismo emplea para denigrar a otros españoles, a los que considera inferiores",1,1
1226,Eres el típico incel milenial que se masturba con anime y se queja de que las mujeres no le hacen caso porque son unas zorras feminazis.,1,1
1533,"Pero bueno, mientras que haya cerdos babosos y degenerados que pagan por sexo, invitan a cenas, copas o mantienen mujeres, pues oye, asi os seguiran tratando, es lo que tiene regalar tu dignidad como persona y ser un cerdo o un pagafantas",1,1
1685,"En contraste total, a nuestro lado había una alemana perfectamente rubia, ceñida en unos ínfimos pantaloncitos y con un top infartante que se restregaba contra un morocho que se veía de lo más complacido por la selección musical del DJ.",1,1
458,"No soy racista, pero los negros son todos unos vagos, unos delincuentes y unos violadores, deberían estar todos en África o en la cárcel",1,1
856,"No soy racista, pero los inmigrantes vienen a quitarnos el trabajo, a aprovecharse de nuestros servicios sociales, a traer enfermedades y delincuencia. Que se queden en sus países y que se arreglen como puedan. Aquí ya tenemos suficientes problemas. #NoAlPactoMigratorio",1,1
1997,"Xenofobia no tengo, pero los bolivianos me caen mal por sucios y por vender fruta podrida",1,1
2087,"Claro que es una estupidez, pero todo porque usted a cada rato rebuzna estupideces, luego, el que usted diga que la wikipedia es su superfuente y la mía una libreria sin chiste no le da la razón, sobre todo cuando explico el porque el artículo de wikipedia esta equivocado",1,1
1671,"Hombres subnormales, intelectualmente incompetentes, de falsa modestia; pero si le pones trajes dorados, palabras rebuscadas y un rito arcano, tienes un dios",1,1
1772,"Si eres tan pendejo que todavía crees que a ti NO te afecta que el gobierno despida a 44 mil trabajadores de Luz y Fuerza y le crees a Televisa y a TV Azteca que estos trabajadores vivían en los lujos con unos sueldazos de miedo y que son los culpables de que el país esté a punto de una guerra civil, nada más piensa idiota",1,1
1516,"""Yo no sé qué dirán los jueces sobre sus corruptelas, pero para mí usted no es una presunta choriza, es una choriza sin paliativos""",1,1
1315,el tipo mongoloide es todos ellos,1,1
2247,"si vamos a jugar a las pendejadas tus amiguis ya llevan vuelo… lo deberian usar para hacer campaña en contra de la obesidad infantil, entonces asi los morritos si se asustaran de lo que les puede pasar si siguen astascandose chucherias jeje q onda con esa mamada de regueton otro poco y creo que es dady yankey jjjj no c ni como se escribe, casi dan ganas de vomitar",1,1
2386,"Si, acoso a progres, indepes y manginas, y nadie puede impedirlo, acoso a quien me da la pu-ta gana, y aquí sigo , soy intocable,antes te detendrán a ti por ser un cerdo terrorista separatista!!!!",1,1
565,"Usurpador de mentes y almas, RCTM contigo no hay democracia.",1,1
2159,Todo eso no es mas que parte de un satanico plan para que el dia que los Occidentales traguemos la maldita mentira que el burka es nada mas un simbolo de una religion nacida en el desierto e inventada por el camellero de Mahoma para dominar y conquistar paises,1,1
539,No es culpa mía que esa tonta del culo,1,1
2277,"El Boricua se nota que eres un guebonsote que se la pasa aplastado todo el puto dia en la computadora, pues que no tienes otra cosa que hacer pinche mantenido, no cabe duda que esos mojados a los que tanto desprecias pagan la limosna con el sudor de su trabajo que te da el gobierno gringo y es bien sabido que hoy por hoy una gran parte de los verdaderos ciudadanos norteamericanos no estan de acuerdo que su gobierno siga manteniendo esa isla esteril que no ayuda para nada a la economia norteamericana y solo son unos parasitos sobreviviendo a costa de los yankes y que solo les sirve para pruebas militares ya que no quieren contaminar su verdadero y genuino territorio",1,1
2300,"Lo siento por nuestro guapo saymary y por pipa, pero ojalá messi y la argentina con juego profarsa se vayan a la chingada muy rápido",1,1
484,"Vos te crees el mejor mientras yo me creo los peores, chupame la pija que la vida es asi",1,1
2103,Esta rubia casada de tetas enormes y cara de guarra no se habia atrevido todavia a ponerle los cuernos a su marido,1,1
1728,los irlandeses son ignorantes y subnormales por haberse independizado del Reino Unido en 1922,1,1
2345,Dejá de romper las chotas con tu música de mierda. Poné algo decente o te la apago a patadas.,1,1
965,"COMO PUEDE ESE CRAPULA ofrecer algo, si es amigo de las FARC grupo narcoterrorista, ademas Ortega se cuenta entre el dilecto rupo de amigos de Chavez, el genocida Mugabe, el genocida y terrorista Omar Al Bashir, el nuevo Hitler Ajmadineyad, el asesino en serie Assad, etc y para ameritar tan preciada amistad Ortega cuenta entre su hoja de vida genocida de mISKITOS, VIOLADOR DE SU HIJASTRA, Y DICTADOR PERMANETE DE NICARAGUA..Pero ya le llegó la hora del fin a los aliados de la Robolución.",1,1
610,"El negro se levanta temprano, el negro es una bestia de carga, el negro no tiene mañana, el negro tiene que trabajar y el negro es el primero en irse a la tumba",1,1
855,Que pena me dan los negros que reniegan de su cultura y su identidad y se creen superiores por hablar como los blancos o vestirse como los blancos o tener novias blancas,1,1
981,"En concreto, subió fotos a Instagram acompañadas de textos en los que amenazaba de muerte a los dos jóvenes y a su amiga si aparecían de nuevo por el pueblo y frases del tipo de “le pegas a un maricón y te la cargas tú”, “los maricones tienen más derechos que tú” o “ayer me desahogué con un guiri y hoy con un maricón”",1,1
1370,"Los boliguayos no tienen cultura, solo saben de coca y Evo",1,1
302,"Ayer me crucé con la vieja chusma de la esquina, que siempre anda metiendo el hocico en todo, y me preguntó por mi novio, le dije que estaba bien y se fue con una cara de orto, seguro que quería que le contara algún chisme",1,1
180,"Enseñando a un guiri a hablar español, nos enseñan las tetas",1,1
1202,Peor que subnormal es ser ignorante y no saber escribir ni una frase sin faltas de ortografía. Aprende a expresarte antes de insultar a los demás,1,1
432,no sé si te apetece o porque para mi gusto por la cama debes follar de verdad,1,1
1684,"Vayanse a la mierda todos los que insultan a los venecos, son unos cobardes y unos miserables, que no saben lo que es vivir en un país en crisis y en guerra",1,1
567,"Y ese negro de mierda se cree la estrella de la revolucion, a putas con el, que vaya a parar al infierno",1,1
819,"Afortunadamente para ellos, el policÃ a es un buen puto que le cuesta ocultar su interÃ©s por las dos pollas grandes que estÃ¡n colgando delante de sus ojos.",1,1
637,"Una cosita charnego maricon, si quieres que te tomen en serio por aqui, deberias intentar escribir en esa extrana jerga catalufa",1,1
1724,¡Con semejantes panzones no habríamos tumbado ni al viejo don Porfirio y menos a Huerta!,1,1
2361,"como es pendeja la gente, hacerle un omenaje a este culero ke fue un corrupto de su chingada madre ke por culpa de este ojete verdaderos boxeadores no se convirtieron en campeones pero eso si al canelo mierda mediocre lo apapacho alla em el infoermo se a de estar chanbuscando por ojete",1,1
756,"En el sacrificio ritual, el sacerdote satánico o practicante que viola a un niño, está literalmente, ""sonando las campanas de los muchachos"" o ""sonando sus bolas"" desde un punto de vista muy gráfico y visual y bastante perverso, cuando él practica un obligado coito anal con el muchacho.",1,1
2255,"Por ello, Cabello explicó la semana pasada que si Vargas Lleras fue capaz de llamar a sus compatriotas “venecos con mucho cariño” entonces “no debe molestarse que yo le diga hijo del puto”",1,1
2096,Todo esto es culpa de la mierda de gobierno de Ansar durante 8 años que no ha hecho más que provocar que gentuza analfabeta y choriza como Camps o Espe se hayan lucrado con el ladrillo con esa sucia burbuja inmobiliaria y ahora toda España está pagando las consecuencias de ese demente con parálisis en el bigote y en el cerebro,1,1
1591,"Y en fin, que la chavala puede ser más tonta que un bocado en la polla la mayor parte del tiempo, pero mala, lo que se dice mala, no es",1,1
723,"Te hace falta un buen par de cachetadas para que se te quite lo arrastrado y lo vendido, eres una vergüenza para el periodismo deportivo.",1,1
1964,"Rata miserable, cómplice de la dictadura genocida, te vas a pudrir en el infierno junto a tus amos fascistas. El pueblo chileno no olvida ni perdona.",1,1
2130,"Me da risa cuando los manlet se ponen zapatos con taco para parecer más altos, se nota a la legua que son unos inseguros",1,1
2416,"Al que hay que vender es al puto Morata a algún equipo tercermundista y traerse a un delantero semitop, joven y sobretodo que no sea un tocapollas del estilo de Hijuaín que si no juega patalea y monta la telenovela",1,1
2407,"España, con uno de los planteles de profesores- funcionarios mejor pagados del mundo, alcanza unos resultados mediocres, que nos condenan a ser un tierra miserable de Panem et circenses, donde las ideologías más aberrantes, anacrónicas y populistas por fuerza han de crecer con renovado abono de cerebros hechos papilla: Teniendo en cuenta que en la OCDE están incluidos países que son tercermundistas, no parece una gran proeza andar por la media",1,1
1855,"Aqui la unica diferencia es que los pendejos, huevones, nacos, hijos de puta de los taxistas mierda quieren que se quite UBER porque no pueden robar agusto ni hacer que su mafia floresca!",1,1
555,"No soy racista, pero los inmigrantes nos quitan el trabajo, la sanidad y la seguridad. Que se vayan a su país a vivir de su cultura y sus costumbres. Aquí no los queremos ni los necesitamos. #EspañaSeDefiende #StopInvasion",1,1
658,Comerme una hamburguesa sin prejuicios porque no soy feminazi. ,1,1
1033,Tú sí que eres un puto defraudador y un ignorante. Podemos se financia con las aportaciones de sus simpatizantes y con microcréditos ciudadanos. Infórmate mejor antes de soltar tus mentiras y tus insultos,1,1
918,"No me jodan con que el lenguaje inclusivo es una cuestión de respeto y de visibilizar a las minorías. Es una imposición ridícula y absurda de un grupito de feminazis que quieren destruir el idioma y la cultura. ¿Qué es eso de decir ""todes"" o ""amigues""? ¿No se dan cuenta de lo ridículo que suena?",1,1
2383,fue el lucas matinsuño pero igual la madriza nadie se la quito ya paso de moda la zorrita igual que todas la zorras el tiempo les pasa factura y cuando se maduran ya no es lo mismo juar juar juar,1,1
836,"La Dra. Chinda Brandolino ha presentado una carta a lo senadores argentinos en donde documenta que la vacuna contra COVID-19 podría esterilizar a todos los varones que la reciban, en forma perenne e irreversible",1,1
2243,Estos boliguayos de mierda nos quitan el trabajo,1,1
2354,"La chingada, la hembra, la pasividad pura, inerme ante el exterior",1,1
341,Ese puto chino no sabe nada de la vida que hay que llevar.,1,1
323,"Qué falta de respeto, de educación y de higiene, no sé cómo se puede ser tan cerdo y tan malnacido, se merece una hostia bien dada, maleducado, guarro y sinvergüenza …",1,1
1617,Hay mujeres que necesitan ser violadas para tener sexo porque son histéricas y sienten culpa por no poder tener sexo libremente,1,1
2482,"Me gusta mucho esta mujer y más esas nalgas tan grandes que tiene, es una hembra que muere de ganas por una excelente culeada y pues tengo que decir que hay muchas putas de oaxaca, pero ninguna como este culito que me encontré, lo mejor de todo es que está operada y no hay pedo de metérsela a pelo",1,1
1152,"se le chifla al de los elotes, no a las mujeres, naco mugroso",1,1
2191,"Muy interesante (y turbador) su comentario; no es la primera vez que escucho esa especie de conspiración; existe bibliografia al respecto? Estimado, pareciera que todo sionista de ley finge actuar – para teatralizar imparcialidad — de ambos lados del mostrador … Ironics es un pobre Zaino resentido porque el mundo está despertando del holocuento y se está dando cuenta que los verdaderos asesinos del mundo son los sionistas",1,1
502,"Zorra, lo único que sabes hacer es abrirte de patas y tragarle los huevos a tu jefe. Eres una basura sin talento ni dignidad, que se aprovecha de los demás para trepar. Ojalá te pudras en el infierno, maldita perra.",1,1
