,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,statement,label,len_text,is_toxic
0,0.0,0,0,368,Why you changed this to %ecx? it is garbage here.,toxic,49,1
1,1.0,1,1,47,"""refer to""?
 
 You seem talking about restrictions, but there are a lot more restrictions in the spec. We don't need to explain (all of) this kind of restrictions.",healthy,163,0
2,2.0,2,2,244,"Done.
Damn, I argued letters before _ :)",toxic,40,1
3,3.0,3,3,81,"This should wipe prev_deleted_link_ otherwise you can delete, insert, undelete and get more than kMaxNumLinks items.",healthy,116,0
4,4.0,4,4,179,"actually, should we kill NATIVE_SUFFIX and fix benchmarks/Android.mk in the same way you already fixed tests/Android.mk?",healthy,120,0
5,5.0,5,5,111,"Remove this newline.
 
 Also, as a general note, I've begun using ""ret"" instead ""retval""",healthy,88,0
6,6.0,6,6,175,"rules for init go in init.te

you don't need the domain trans for dhcp.",healthy,71,0
7,7.0,7,7,260,Indentation's gone crazy here...,toxic,32,1
8,8.0,8,8,280,"ah crap, the header is wrong, thanks for pointing this out",toxic,58,1
9,9.0,9,9,329,"this is pretty ugly.  create it in one assignment:

 cmd = [
     self.MYSQL_INSTALL_DB,
     ...
 ]",toxic,100,1
10,10.0,10,10,362,Forgot about this. I'm having a hell of a time getting libcros to find <glib-object.h>. Working on that now.,toxic,108,1
11,11.0,11,11,165,"That will look ugly, because ...OrDie is strange: In case you are not create_if_absent, it won't actually abort on a missing directory.

I felt the callers need to be inspected, and then there can be a big cleanup.

I'll try my best...",healthy,235,0
12,12.0,12,12,129,"For readability, how about:

my_pids = CheckOutput(...).splitlines()
for pid in my_pids:
  ...",healthy,94,0
13,13.0,13,13,62,"If you go through with this, kill these too.",healthy,44,0
14,14.0,14,14,304,"Oh, this definitely sucks ;-(. +dbrazdil",toxic,40,1
15,15.0,15,15,287,"i think the problem was that Daemons.stop stops the threads we *deliberately* started. if some code had started other threads, you got very hard to debug situations. so we added this extra method so you'd have a nice clear hang to debug if you'd screwed up.",toxic,257,1
16,16.0,16,16,21,"Could you defer to kill launch, unless it is successfully returned.",healthy,67,0
17,17.0,17,17,283,"Sure, might save a few instantiations. Unfortunately, I can't get rid of accumulator_use because variadic macros are stupid.

One thing we lose is statically resolving the if (bytecode == Bytecode::kJumpLoop) on EmitJump. WDYT, is that an issue?",toxic,245,1
18,18.0,18,18,60,"you are not setting f._bf._base to NULL, this could result in a dangling pointer.",healthy,81,0
19,19.0,19,19,130,"Please leave this message out:  build_image is already
too noisy.",healthy,65,0
20,20.0,20,20,290,"Should be a net::Error,  I'll make the change. Stupid callback signatures...",toxic,76,1
21,21.0,21,21,218,"Just to be anal, there is an extra newline here.",toxic,48,1
22,22.0,22,22,105,"Optional: not  your doing, but this function seems dead code. For the local DCHECKs, we might as well use the member field directly.",healthy,132,0
23,23.0,23,23,230,"heh, because dash sucks and allows you to do this kind of crap.  yes, this should be fixed.",toxic,91,1
24,24.0,24,24,236,"Oh, annoying old gerrit version. The newer one would linkify tat guy to this change: [1].

* [1] https://gerrit.libreoffice.org/16677",toxic,133,1
25,25.0,25,25,301,Oops. I had cleaned this all up but I guess I screwed up a rebase.,toxic,66,1
26,26.0,26,26,384,most australian dummy var name ever!,toxic,36,1
27,27.0,27,27,55,"Ultimately, when this system is used, functions in this unit will be able to be called. Specifically, utimately it will be possible to change the 'active' bit(s) on devices. So, the locking is necessary in the long term.",healthy,220,0
28,28.0,28,28,145,are these dummy values for testing right now? I mean certainly should not be hard-coding us as the country. Say so in a comment somewhere,healthy,137,0
29,29.0,29,29,217,This is annoying. How about just locking the cha lock eagerly and collecting the dead pointers when iterating over th emethod_code_map_?,toxic,136,1
30,30.0,30,30,327,i don't like this. we deliberately moved away from all this because it encourages people (including us) to pull magic numbers from our asses.,toxic,141,1
31,31.0,31,31,316,"Ha, OCD rears its ugly head. :-) Will fix.",toxic,42,1
32,32.0,32,32,315,it scopes the lifetime of the iv[]? Probably helps the compiler generates less shitty code.,toxic,91,1
33,33.0,33,33,106,"This change is just a bug.  ""${FLAGS_HELP}"" is a
string and will never be equal to ""${FLAGS_TRUE}"".
If we just want ""--help"" to return failure, there are much
better ways.  :-)",healthy,176,0
34,34.0,34,34,399,"Is it not possible something like this?

try {
  new ByteStreamSucker(is, os, true).suck();
} finally {
  is.close();
}",toxic,119,1
35,35.0,35,35,132,It's possible that |profile| exists but DoDisplayNotification has not been called so notification_id is still in pending_notifications_. We should just check if the notification is in pending_notifications_ and erase it / return in that case.,healthy,242,0
36,36.0,36,36,149,"a+x?

Also I think you will need to set the user bit (setuid) to be able to send signals to PID 1...  setuid /sbin/shutdown unless you'll be calling this as root.",healthy,162,0
37,37.0,37,37,19,"you might want to declare a class to represent this table's entries to access elements not through indices but through names - would be much better readable.

At least the meanings of the columns should be described better in the comment block.",healthy,244,0
38,38.0,38,38,107,might be worth an assert here that extra_bytes is evenly divisible by _to_copy,healthy,78,0
39,39.0,39,39,247,"And damn it gerrit, these comments were on the ""This is technically incorrect"" box, not here!",toxic,93,1
40,40.0,40,40,148,"perhaps a dumb question, but can this be done on a background thread? Perhaps return a Promise?",healthy,95,0
41,41.0,41,41,286,"This looks like a very ugly hack which is also very fragile, are there absolutely no other way to do this check?",toxic,112,1
42,42.0,42,42,189,"This is for a failure case, so you don't need to set these two headers, I think.",healthy,80,0
43,43.0,43,43,233,"This block is rather lame, what about using some triple ? operator :",toxic,68,1
44,44.0,44,44,142,A dumb question for you: When will the serio_raw_disconnect() be called? After kref decreased to zero? Or ...?,healthy,110,0
45,45.0,45,45,59,"i'll try removing them both and if the sdk tools still build, ship without them.",healthy,80,0
46,46.0,46,46,371,Yuck. It took me a second to see the use of response.,toxic,53,1
47,47.0,47,47,29,"giving you are orring those 2 flags together, maybe you want to give them consecutive values.",healthy,93,0
48,48.0,48,48,352,"This is stupid, can we just do the proper fix and stop passing bases as regs, indexes as bases, yadda yadda. The code is getting all caught up about something trivial. If we need new encoding kinds then that's fine.",toxic,215,1
49,49.0,49,49,171,"Nit: should be ""correctVersionsEnabled"" for consistency with other methods.",healthy,75,0
50,50.0,50,50,121,Can this be incognito profile? We currently persist download directory in original profile.,healthy,91,0
