,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,statement,label,len_text,is_toxic,label_2
0,0.0,0,254,i know but...well its like masturbating vs sex you see what i mean,toxic,66,1,toxic
1,1.0,1,32,"250 blocks to go!!!!!!! half an hour!!!! nothing can stop it now, muahahah! :P",healthy,78,0,healthy
2,2.0,2,44,`caktux` @obscuren delayed yes,healthy,30,0,healthy
3,3.0,3,141,"hey, how do i stop geth console from printing these msgs?",healthy,57,0,healthy
4,4.0,4,332,ok im up on netstats (screwed up the case for the key) ,toxic,54,1,toxic
5,5.0,5,159,"You're all gone, go to sleep",healthy,28,0,healthy
6,6.0,6,285,Ha! Beer Diapers and Strippers? That's one hell of a party!,toxic,59,1,toxic
7,7.0,7,74,make them 2x bigger or smaller and run benches...,healthy,49,0,healthy
8,8.0,8,299,@nixoid sounds like pretty shitty SLA agreements if they cause lack of sleep,toxic,76,1,toxic
9,9.0,9,157,"oh wait. that's right. voting with something like this is dumb, n/m.",healthy,68,0,healthy
10,10.0,10,284,@eupraxic because youâ€™re connected to shit peers ,toxic,50,1,toxic
11,11.0,11,258,damnit i throw away all my logs,toxic,31,1,toxic
12,12.0,12,316,anyone else getting this silly duktape module compile bug?,toxic,58,1,toxic
13,13.0,13,158,"@tymat hey I know, let's make a giant airship full of explosive fuel, lol....",healthy,77,0,healthy
14,14.0,14,112,"`caktux` re the PPA, that name change is another maintenance nightmare :(",healthy,73,0,healthy
15,15.0,15,42,my geth is using the same amount of ram as yours,healthy,48,0,healthy
16,16.0,16,144,@rfikki try `miner.stopAutoDAG()` from the console,healthy,50,0,healthy
17,17.0,17,83,"All in all as I have said a hardfork to ""fix"" this issue won't work will end in the rpice of ETH dropping to greater somes than total of theft",healthy,142,0,healthy
18,18.0,18,77,"Think got it... `hexutil.EncodeBig(bigInt)`, or?",healthy,48,0,healthy
19,19.0,19,145,Could anyone please send some testnet ethers to 0xb54bc258e869fcfcd117ca173ba7d9a13923ddd2,healthy,90,0,healthy
20,20.0,20,337,"oh ok.  it's prob just the coffee shop i'm at has crappy wifi, so `net` and `admin.peers` seem slower",toxic,101,1,toxic
21,21.0,21,183,"geth --datadir=/my/mainnet
geth --datadir=/my/testnet --testnet

",healthy,63,0,healthy
22,22.0,22,199,Yesterday I took a peer into that code but I set it apart as it's very unfamiliar to me yet so thought I'd first check Felix's request and only then diverge,healthy,156,0,healthy
23,23.0,23,273,because right now Iâ€™m trying to import your stuffâ€¦.and itâ€™s giving crap about it. ,toxic,87,1,toxic
24,24.0,24,220,"that's sha3 for ""Kill all humans""",toxic,33,1,toxic
25,25.0,25,262,omg wrong channel... it's like the c++ client has the plague or something.,toxic,74,1,toxic
