,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_Unnamed: 0.6,original_Unnamed: 0.5,original_final_label,original_rephrased_statement,final_label
8049,8049,1507,,1564,pytorch_pytorch,issue,155309.0,It is due to this line which is not PT2 compatible:,"This line is the root cause of the PT2 incompatibility, as it relies on deprecated or unregistered operations in the PyTorch 2.0 backend.",Knowledge,Neutral,short,0.1304347826086956,0.2727272727272727,0.1764705882352941,"('Professional/Formal', 'Confidence', 'Neutral')",23,23,23,23,23,pytorch_pytorch,issue,155309.0,Knowledge,short,,,,,,,,0,0,0,23.0,23.0,0.0,It is due to this line which is not PT2 compatible:,0
9700,9700,3158,,3299,tensorflow_tensorflow,issue,62075.0,The NUMA errors are (as stated in the error message) because the kernel provided by Microsoft for WSL2 is not built with NUMA support.,"You’re encountering NUMA errors because the WSL2 kernel, as distributed by Microsoft, was compiled without NUMA (Non-Uniform Memory Access) features enabled — this is a known limitation, not something you can fix via configuration.",Knowledge,Neutral,short,0.2058823529411764,0.2916666666666667,0.2413793103448276,"('Casual/Conversational', 'Neutral', 'Expand')",51,51,51,51,51,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,51.0,51.0,0.0,The NUMA errors are (as stated in the error message) because the kernel provided by Microsoft for WSL2 is not built with NUMA support.,0
2565,2565,2565,2713.0,608,pytorch_pytorch,issue,21819.0,I solved by CUDA_LAUNCH_BLOCKING=1.,"I mitigated the crash by forcing CUDA to block on each kernel launch with `CUDA_LAUNCH_BLOCKING=1`, which turned the asynchronous behavior into a predictable sequence.",Knowledge,Knowledge,short,0.0833333333333333,0.5,0.1428571428571428,"('Technical', 'Exploratory', 'Expand')",13,13,13,13,13,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,,,,,0
3364,3364,3364,3529.0,1424,pytorch_pytorch,issue,154556.0,"The tracing component (Dynamo) is not fully cached today, but we are working on this.",Dynamo’s tracing module isn’t fully cached at the moment; improvements are underway.,Knowledge,Knowledge,short,0.3333333333333333,0.2666666666666666,0.2962962962962963,"('Neutral', 'Neutral', 'Neutral')",30,30,30,30,30,pytorch_pytorch,issue,154556.0,Knowledge,short,,,,,,,,0,0,0,,,,,0
4375,4375,4375,4561.0,2456,tensorflow_tensorflow,issue,62075.0,@Ke293-x2Ek-Qe-7-aE-B I rebuilt all in an independent conda environment as TF. My steps were to create a TF env with python 3.9.8 and tried python3 -m pip install tensorflow[and-cuda] --user according to instruction. Following these I tried python3 -m pip install tensorflow[and-cuda]=2.13.0 --user and found it solved some bugs.,"Rebuilding the stack in an isolated Conda environment (Python 3.9.8) and installing TensorFlow with CUDA support using `python3 -m pip install tensorflow[and-cuda] --user`, followed by a version‑specific install `python3 -m pip install tensorflow[and-cuda]==2.13.0 --user`, eliminated the earlier bugs.",Knowledge,Knowledge,short,0.3157894736842105,0.2448979591836734,0.2758620689655173,"('Professional/Formal', 'Confidence', 'Expand')",52,52,52,52,52,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,,,,,0
12031,12031,5489,,5738,microsoft_vscode,pull,191501.0,I have discovered this to be an issue in the CLI or SDK's compression handling.,"The root cause has been isolated: the SDK’s zstd compression module ignores alignment flags when processing fragmented input streams, resulting in invalid archives.",Knowledge,Neutral,short,0.0869565217391304,0.1333333333333333,0.1052631578947368,"('github_native', 'Confidence', 'List')",87,87,87,87,87,microsoft_vscode,pull,191501.0,Knowledge,short,,,,,,,,0,0,0,87.0,87.0,0.0,I have discovered this to be an issue in the CLI or SDK's compression handling.,0
9384,9384,2842,,2978,tensorflow_tensorflow,issue,37492.0,"To train the LSTM-model on a GPU on my plattform (Windows 10, tf 2.1.0), the parameter batch_input_shape must be specified during the model creation in the very first layer and the parameter input_shape must be omitted.",GPU training for LSTMs on Windows 10 + TF 2.1.0 requires `batch_input_shape` in the first layer; using `input_shape` instead leads to tensor shape mismatches and GPU allocation errors.,Knowledge,Neutral,short,0.2142857142857142,0.1666666666666666,0.1875,"('github_native', 'Confidence', 'Concise')",45,45,45,45,45,tensorflow_tensorflow,issue,37492.0,Knowledge,short,,,,,,,,0,0,0,45.0,45.0,0.0,"To train the LSTM-model on a GPU on my plattform (Windows 10, tf 2.1.0), the parameter batch_input_shape must be specified during the model creation in the very first layer and the parameter input_shape must be omitted.",0
6023,6023,6023,6246.0,4141,microsoft_vscode,pull,191501.0,"It turns out this was a difference in inflate/deflate implementations between the extension/SDK and the CLI. The SDK uses Node's zlib bindings, while by default Rust's flate2 library uses a rust port of miniz. miniz does not appear to flush decompressed data as nicely on SYNC'd boundaries as zlib does, which caused data to 'stall'. This could also be the cause of some connection flakiness!","Because the SDK employs Node's zlib bindings and the CLI defaults to Rust's flate2 (a miniz port), the latter's less aggressive block flushing leaves residual data at SYNC points, producing stalls and intermittent connection reliability problems.",Knowledge,Knowledge,short,0.25,0.1384615384615384,0.1782178217821782,"('Technical', 'Confidence', 'Concise')",89,89,89,89,89,microsoft_vscode,pull,191501.0,Knowledge,short,,,,,,,,0,0,0,,,,,0
6680,6680,138,,143,pytorch_pytorch,Issue,154556.0,The symptom comes from the functionalization implementation for the flex_attention HOP,The root cause lies in functionalization's handling of flex_attention's higher-order operation — it breaks assumptions about tensor mutability.,Knowledge,Neutral,short,0.0555555555555555,0.0909090909090909,0.0689655172413793,"('github_native', 'Confidence', 'Concise')",1,1,1,1,1,pytorch_pytorch,Issue,154556.0,Knowledge,short,,,,,,,,0,0,0,1.0,1.0,0.0,The symptom comes from the functionalization implementation for the flex_attention HOP,0
3869,3869,3869,4042.0,1937,tensorflow_tensorflow,issue,24828.0,"OK, I was able to execute my CNN. I'm using tensorflow tf-nightly-gpu-2.0-preview, and running on a ipython notebook. I had to add this to my notebook:

from tensorflow.compat.v1 import ConfigProto
from tensorflow.compat.v1 import InteractiveSession

config = ConfigProto()
config.gpu_options.allow_growth = True
session = InteractiveSession(config=config)","In the notebook, I resolved out‑of‑memory errors by initializing a TF v1 `InteractiveSession` with the `allow_growth` flag, enabling the GPU allocator to expand on demand.",Knowledge,Knowledge,long,0.12,0.0697674418604651,0.088235294117647,"('Technical', 'Exploratory', 'Concise')",41,41,41,41,41,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,,,,,0
