,Unnamed: 0.1,Unnamed: 0,statement,is_toxic,len_text,label
0,585,2531,"Indeed, that's pretty ugly. It's a bit less ugly if you actually use x86::CodeGeneratorX86.",1,91,toxic
1,6,4117,"return false on null case?

 if (!blob->data) {
   return false;
 }
 blob->data_length = ...",0,92,healthy
2,324,3636,"Oh, damn, this doesn't work with constexpr. I am fine with any solution: remove constexpr, or remove the DCHECK.",1,112,toxic
3,67,4059,"Remove terminator as not needed.
 Using intdeventry = ARRAY_SIZE(devintconfig)",0,78,healthy
4,235,4055,"Remove since no longer needed in latest PS, along with generated prebuilt libs.",0,79,healthy
5,424,6524,Yuck. It took me a second to see the use of response.,1,53,toxic
6,482,3798,"our style guide not withstanding, Stop() vs stop() seems like a recipe to get bit in the ass; I've use a lowercase 'stop()' here instead of the usual capitalization.",1,165,toxic
7,76,4371,should we just remove these two sections?,0,41,healthy
8,61,682,blah = doesn't always work. In this case hostname= does not work and host= expects a host id # not a hostname.,0,110,healthy
9,193,6092,wtf: capdata[CAP_TO_INDEX(n)].permitted,0,39,healthy
10,241,5477,Typo: 'SetCon*s*tructedInTesting',0,33,healthy
11,578,778,can we get rid of this ugly files/ convention too while we're here ? we've fixed it in most other places too.,1,109,toxic
12,548,2550,Inline the count variable it's useless,1,38,toxic
13,586,2697,"It would be nicer to use ""size_t old_fingerprint_end = old_sdp.strspn(""\r\n""), but it seems that wtf::String doesn't have a strspn equivalent. This will work.",1,158,toxic
14,524,6095,"wtf? why aren't we just using std::string instead of char*,size_t?",1,66,toxic
15,466,5325,"This should have been const void*. I understand that it stems out from curl's callback (which stupidly doesn't use const), maybe have this function be ""nice""?",1,158,toxic
16,260,2431,"I'll give it a shot, I was considering this a bit for the sake of not duplicating logic like you mention, my main hesitation was that I'm garbage at makefiles :)

But I think it would be the better solution, I'll play around with it today.",0,239,healthy
17,294,3823,"Perhaps bestAlignmentForText: returns garbage when self is not first responder. If your method returns correct values when !self.firstResponder, and you don't have any particular reason to have this, pls remove it. :)",0,217,healthy
18,30,3190,nit: #endif /* CONFIG_USB_PD_TCPM_MUX */,0,40,healthy
19,12,1591,"grid_height = screen_height/grid_num;
sample_height = grid_height/sample_num;",0,77,healthy
20,155,2259,I would like to get the 'android-configure.sh && make' flow continue to work. Is is possible to put this copying and generation step inside of android-configure.sh instead to make it so?,0,186,healthy
21,403,5826,What about one that has a subclass that it returns? This is checked in your duck typing proxy at least.,1,103,toxic
22,426,3690,"Ohter potential tests would be binding to the NULL name, and binding a stupidly large location.",1,95,toxic
23,399,5023,This insanity is spreading... I'll have to clean it up.,1,55,toxic
24,538,5257,This one seems pretty useless as well!,1,38,toxic
25,347,4160,"s/int/size_t/

(or if you want to be anal, vector<string>::size_type)",1,69,toxic
26,153,2058,"I think it is useless. In which case is it useful, for what?",0,60,healthy
27,446,2007,"i really want to replace all this crap code with std::string, but not today.",1,76,toxic
28,547,3971,Probably. That was me being almost as stupid as the original code.,1,66,toxic
29,568,3654,"Oh, interesting!  Agreed.  ""//lint stfu"" is also uglier, if it were possible.",1,77,toxic
30,131,6156,"Yeah, some rebasing stupidity on my part.

This stack doesn't need to be on top of cron anyway, reparented.",0,107,healthy
31,34,2909,"Lets move this new code up above dump, with the other new code. I like dump being at the bottom.",0,96,healthy
