,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.6,original_Unnamed: 0.5,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_final_label,original_rephrased_statement,Label_gpt-120b,final_label
2413,2413,2729,2729,2852,tensorflow_tensorflow,issue,24496.0,I was finally able to fix my problem was setting config.gpu_options.allow_growth = True.,"To resolve the memory allocation error, I configured TensorFlow to use GPU memory dynamically by setting config.gpu_options.allow_growth = True, allowing the runtime to allocate only as much memory as needed.",Knowledge,Knowledge,short,0.1666666666666666,0.3846153846153846,0.2325581395348837,"('Professional/Formal', 'Exploratory', 'Neutral')",43,43,43,43,43,43,43,tensorflow_tensorflow,issue,24496.0,Knowledge,short,,,,,,,,0,0,0,0,I was finally able to fix my problem was setting config.gpu_options.allow_growth = True.,Knowledge,0
595,595,644,644,675,pytorch_pytorch,Issue,153955.0,"You would need to specify dynamic_shapes/dynamic_axes explicitly.
 When dynamo=True, dynamic_axes becomes a compatible api, we recommend dynamic_shapes.","Dynamo’s tracing logic requires explicit dynamic shape annotations. If you’re migrating from `dynamic_axes`, switch to `dynamic_shapes` to ensure compatibility and avoid potential performance regressions.",Knowledge,Knowledge,short,0.0416666666666666,0.0588235294117647,0.048780487804878,"('github_native', 'Hedging', 'List')",10,10,10,10,10,10,10,pytorch_pytorch,Issue,153955.0,Knowledge,short,,,,,,,,0,0,0,0,"You would need to specify dynamic_shapes/dynamic_axes explicitly.
 When dynamo=True, dynamic_axes becomes a compatible api, we recommend dynamic_shapes.",Knowledge,0
4210,4210,4899,4899,5128,numpy_numpy,pull,28453.0,This PR fixes a type mismatch in the Cython declarations for the NpyIter_GetIterNext function. The function was incorrectly declared to return NpyIter_IterNextFunc* (pointer to function type) when it should return NpyIter_IterNextFunc (function type directly). This mismatch causes compilation errors when users try to build Cython code that uses this function.,"This PR corrects a critical type declaration error in Cython's binding for NpyIter_GetIterNext: the function was previously declared as returning a pointer to NpyIter_IterNextFunc (i.e., NpyIter_IterNextFunc*), but the actual C API returns the function type directly (NpyIter_IterNextFunc). This mismatch broke Cython compilation for any module attempting to use this iterator function, as the generated C code was attempting to dereference a function value as if it were a function pointer.",Knowledge,Knowledge,short,0.2571428571428571,0.36,0.3,"('Technical', 'Exploratory', 'Expand')",78,78,78,78,78,78,78,numpy_numpy,pull,28453.0,Knowledge,short,,,,,,,,0,0,0,0,This PR fixes a type mismatch in the Cython declarations for the NpyIter_GetIterNext function. The function was incorrectly declared to return NpyIter_IterNextFunc* (pointer to function type) when it should return NpyIter_IterNextFunc (function type directly). This mismatch causes compilation errors when users try to build Cython code that uses this function.,Knowledge,0
881,881,988,988,1030,pytorch_pytorch,issue,21819.0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.","To ensure correct atomic operations in hostcalls, ensure the motherboard supports PCIe atomics—this has been validated as an effective fix.",Knowledge,Knowledge,short,0.15,0.1666666666666666,0.1578947368421052,"('Professional/Formal', 'Hedging', 'Concise')",15,15,15,15,15,15,15,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.",Knowledge,0
1972,1972,2235,2235,2349,tensorflow_tensorflow,issue,84102.0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.",TensorFlow’s Windows distribution is x86_64-only. No ARM64 wheels exist on PyPI — you can verify this by inspecting the file lists for tensorflow and tensorflow-intel.,Knowledge,Knowledge,short,0.12,0.0967741935483871,0.1071428571428571,"('github_native', 'Exploratory', 'Concise')",35,35,35,35,35,35,35,tensorflow_tensorflow,issue,84102.0,Knowledge,short,,,,,,,,0,0,0,0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.",Knowledge,0
3884,3884,4401,4401,4610,numpy_numpy,issue,29174.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.","VQSort fails to compile on MSVC not due to logic errors, but because the compiler runs out of heap space while processing features it doesn't fully support.",Knowledge,Knowledge,short,0.2222222222222222,0.1666666666666666,0.1904761904761905,"('Technical', 'Hedging', 'Concise')",70,70,70,70,70,70,70,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.",Knowledge,0
1830,1830,2093,2093,2195,pytorch_pytorch,issue,132332.0,"Ok @hvaara thanks for your patience! Here's the results from my deep dive to the traces of metal resources getting generated during the execution of the code snippet and my current understanding on what's going on:

    The memory grows by the size of the output object of linear layer for each iteration run so by 4 * N * C * H * W bytes, making sense since this is the output object we allocate on L50 in the linear op 1
    When the executeMPSGraph is called using COMMIT_ADAPTIVE as the SyncMode, the operation is encoded to the active command buffer in MPSStream but unless the memory pressure is too high, the command buffer is not committed but instead we keep on encoding operations to the same command buffer 2
    Since each iteration with the nn.Linear needs to maintain its own output tensor until the computation is completed and the python object goes out of scope to be garbage collected, we see the memory increase while the command buffer keeps accumulating more encoded operations. In case we change to COMMIT_AND_WAIT as our SyncMode the command buffers get committed after each encode and the memory buffers required for the outputs are also released once the computation returns. This probably lets the garbage collector sees that the object is no longer needed since we don't assign the outputs of the computation to anything in the python script.
    To validate this I tried to adjust the original script slightly to allow for the adaptive commit to run its course and the computations to return so that the underlying objects can be released and we can see the memory get freed up. It seems like on my local setup it takes about 5-6s of waiting for the objects to get cleaned up. In actual code I assume this would happen more often since there can be other operations calling the command buffer to get synchronized in between in order to perform updates based on the results.

So in summary to me it seems like the memory is managed as intended in this case. In its current form the COMMIT_ADAPTIVE is a bit opaque to the user since it might make the memory seem like its behaving erratically as the commit is automated to only happen once the local device hits the low memory watermark, which depends on the device you are running on. Additionally there's the interplay of when will the underlying python objects get garbage collected that should finally release the memory buffers assigned to them. Let me know if this sounds reasonable or if you think there's still something we missed here. Or if this is causing a concrete issue on your side that would warrant us to do some changes on how the adaptive commit works at the moment.","The memory behavior you're observing is consistent with Metal Performance Shaders' adaptive scheduling model. The command buffer accumulates operations without committing, deferring memory reclamation until either device memory pressure triggers a flush or Python's garbage collector reclaims the tensor objects. This is fundamentally different from synchronous modes like COMMIT_AND_WAIT, which enforce immediate release. The issue isn't resource leakage — it's delayed visibility of cleanup. Developers should treat adaptive sync as a performance optimization with delayed memory semantics, not a black box.",Knowledge,Knowledge,long,0.2222222222222222,0.0384615384615384,0.0655737704918033,"('Technical', 'Confidence', 'List')",32,32,32,32,32,32,32,pytorch_pytorch,issue,132332.0,Knowledge,long,,,,,,,,0,0,0,0,"Ok @hvaara thanks for your patience! Here's the results from my deep dive to the traces of metal resources getting generated during the execution of the code snippet and my current understanding on what's going on:

    The memory grows by the size of the output object of linear layer for each iteration run so by 4 * N * C * H * W bytes, making sense since this is the output object we allocate on L50 in the linear op 1
    When the executeMPSGraph is called using COMMIT_ADAPTIVE as the SyncMode, the operation is encoded to the active command buffer in MPSStream but unless the memory pressure is too high, the command buffer is not committed but instead we keep on encoding operations to the same command buffer 2
    Since each iteration with the nn.Linear needs to maintain its own output tensor until the computation is completed and the python object goes out of scope to be garbage collected, we see the memory increase while the command buffer keeps accumulating more encoded operations. In case we change to COMMIT_AND_WAIT as our SyncMode the command buffers get committed after each encode and the memory buffers required for the outputs are also released once the computation returns. This probably lets the garbage collector sees that the object is no longer needed since we don't assign the outputs of the computation to anything in the python script.
    To validate this I tried to adjust the original script slightly to allow for the adaptive commit to run its course and the computations to return so that the underlying objects can be released and we can see the memory get freed up. It seems like on my local setup it takes about 5-6s of waiting for the objects to get cleaned up. In actual code I assume this would happen more often since there can be other operations calling the command buffer to get synchronized in between in order to perform updates based on the results.

So in summary to me it seems like the memory is managed as intended in this case. In its current form the COMMIT_ADAPTIVE is a bit opaque to the user since it might make the memory seem like its behaving erratically as the commit is automated to only happen once the local device hits the low memory watermark, which depends on the device you are running on. Additionally there's the interplay of when will the underlying python objects get garbage collected that should finally release the memory buffers assigned to them. Let me know if this sounds reasonable or if you think there's still something we missed here. Or if this is causing a concrete issue on your side that would warrant us to do some changes on how the adaptive commit works at the moment.",Knowledge,0
4214,4214,4903,4903,5132,numpy_numpy,pull,28453.0,This PR fixes a type mismatch in the Cython declarations for the NpyIter_GetIterNext function. The function was incorrectly declared to return NpyIter_IterNextFunc* (pointer to function type) when it should return NpyIter_IterNextFunc (function type directly). This mismatch causes compilation errors when users try to build Cython code that uses this function.,"This patch resolves a long-standing Cython compilation failure caused by an incorrect FFI declaration for NpyIter_GetIterNext. The function, which returns a function pointer (i.e., a callable address), was mistakenly declared as returning a pointer to a function pointer — a type mismatch that confused Cython’s C code generator. By correcting the return type from NpyIter_IterNextFunc* to NpyIter_IterNextFunc, we now generate valid C code that properly captures the function address, allowing NumPy iterators to be used safely in Cython modules.",Knowledge,Knowledge,short,0.189873417721519,0.3,0.2325581395348837,"('Technical', 'Exploratory', 'Expand')",78,78,78,78,78,78,78,numpy_numpy,pull,28453.0,Knowledge,short,,,,,,,,0,0,0,0,This PR fixes a type mismatch in the Cython declarations for the NpyIter_GetIterNext function. The function was incorrectly declared to return NpyIter_IterNextFunc* (pointer to function type) when it should return NpyIter_IterNextFunc (function type directly). This mismatch causes compilation errors when users try to build Cython code that uses this function.,Knowledge,0
2603,2603,2919,2919,3057,tensorflow_tensorflow,issue,60798.0,"Ok, I fixed the errors as follows: instead of using the --copt flag, I added the following lines to the .bazelrc file:
build: windows --cxxopt=/MT
build: windows --host_copt=/MT","The problem was that --copt wasn't reliably applying to all build contexts — I fixed it by adding `build:windows --cxxopt=/MT` and `build:windows --host_copt=/MT` to .bazelrc, which guarantees static CRT linking for both target and host tools on Windows.",Knowledge,Knowledge,short,0.0789473684210526,0.1071428571428571,0.0909090909090909,"('Casual/Conversational', 'Neutral', 'List')",47,47,47,47,47,47,47,tensorflow_tensorflow,issue,60798.0,Knowledge,short,,,,,,,,0,0,0,0,"Ok, I fixed the errors as follows: instead of using the --copt flag, I added the following lines to the .bazelrc file:
build: windows --cxxopt=/MT
build: windows --host_copt=/MT",Knowledge,0
3890,3890,4407,4407,4616,numpy_numpy,issue,29174.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.","The compile failures in VQSort on MSVC are not random; they stem from the compiler's inadequate handling of deep template recursion and large constexpr contexts, which exhaust the heap during instantiation — a well-documented constraint in MSVC's implementation of modern C++ features.",Knowledge,Knowledge,short,0.0952380952380952,0.1111111111111111,0.1025641025641025,"('Technical', 'Neutral', 'List')",70,70,70,70,70,70,70,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.",Knowledge,0
