,Unnamed: 0.1,Unnamed: 0,statement,label,len_text,is_toxic,label_2
0,0,254,i know but...well its like masturbating vs sex you see what i mean,toxic,66,1,toxic
1,1,32,"250 blocks to go!!!!!!! half an hour!!!! nothing can stop it now, muahahah! :P",healthy,78,0,healthy
2,2,44,`caktux` @obscuren delayed yes,healthy,30,0,healthy
3,3,141,"hey, how do i stop geth console from printing these msgs?",healthy,57,0,healthy
4,4,332,ok im up on netstats (screwed up the case for the key) ,toxic,54,1,toxic
5,5,159,"You're all gone, go to sleep",healthy,28,0,healthy
6,6,285,Ha! Beer Diapers and Strippers? That's one hell of a party!,toxic,59,1,toxic
7,7,74,make them 2x bigger or smaller and run benches...,healthy,49,0,healthy
8,8,299,@nixoid sounds like pretty shitty SLA agreements if they cause lack of sleep,toxic,76,1,toxic
9,9,157,"oh wait. that's right. voting with something like this is dumb, n/m.",healthy,68,0,healthy
10,10,284,@eupraxic because youâ€™re connected to shit peers ,toxic,50,1,toxic
11,11,258,damnit i throw away all my logs,toxic,31,1,toxic
12,12,316,anyone else getting this silly duktape module compile bug?,toxic,58,1,toxic
13,13,158,"@tymat hey I know, let's make a giant airship full of explosive fuel, lol....",healthy,77,0,healthy
14,14,112,"`caktux` re the PPA, that name change is another maintenance nightmare :(",healthy,73,0,healthy
15,15,42,my geth is using the same amount of ram as yours,healthy,48,0,healthy
16,16,144,@rfikki try `miner.stopAutoDAG()` from the console,healthy,50,0,healthy
17,17,83,"All in all as I have said a hardfork to ""fix"" this issue won't work will end in the rpice of ETH dropping to greater somes than total of theft",healthy,142,0,healthy
18,18,77,"Think got it... `hexutil.EncodeBig(bigInt)`, or?",healthy,48,0,healthy
19,19,145,Could anyone please send some testnet ethers to 0xb54bc258e869fcfcd117ca173ba7d9a13923ddd2,healthy,90,0,healthy
20,20,337,"oh ok.  it's prob just the coffee shop i'm at has crappy wifi, so `net` and `admin.peers` seem slower",toxic,101,1,toxic
21,21,183,"geth --datadir=/my/mainnet
geth --datadir=/my/testnet --testnet

",healthy,63,0,healthy
22,22,199,Yesterday I took a peer into that code but I set it apart as it's very unfamiliar to me yet so thought I'd first check Felix's request and only then diverge,healthy,156,0,healthy
23,23,273,because right now Iâ€™m trying to import your stuffâ€¦.and itâ€™s giving crap about it. ,toxic,87,1,toxic
24,24,220,"that's sha3 for ""Kill all humans""",toxic,33,1,toxic
25,25,262,omg wrong channel... it's like the c++ client has the plague or something.,toxic,74,1,toxic
26,26,291,"and Im not going to ""sign in"" with google/twitter or other bullshit to leave a comment",toxic,86,1,toxic
27,27,193,`eth_getTransaction(txhash)` and `eth_getTransactionReceipt(txhash)`,healthy,68,0,healthy
28,28,126,@JacksonBriggs why is that your goal if you dont mind me asking?,healthy,64,0,healthy
29,29,288,@karalabe Thanks for the network tip. Feel stupid not thinking that the issue could be caused by saturated upload.,toxic,114,1,toxic
30,30,129,"to rebase on top of develop, do `git rebase develop`",healthy,52,0,healthy
31,31,293,prepare yourself for a shit ton of bots no one will find funny but me,toxic,69,1,toxic
32,32,354,"A177obscuren Let me L179just quote a master: ""ffs someone has gotta fix his shit""",toxic,81,1,toxic
33,33,85,and hopefully will not load in your broken block,healthy,48,0,healthy
34,34,241,shit might have asked in the wrong channel,toxic,42,1,toxic
35,35,277,I need something that I can use now without constantly screwing with bintray,toxic,76,1,toxic
36,36,225,"I have Win10 on a stick, piece of crap. :-) Anyway, I'll send you a PM with stuff you should do.",toxic,96,1,toxic
37,37,11,Should that perhaps be something like `go test C:\a\b\c\github.com\ethereum\go-ethereum\â€¦`,healthy,92,0,healthy
38,38,296,i set out to help deliver a world-changing decentralized platform. i donâ€™t give 2 craps about what scummy miners want,toxic,119,1,toxic
39,39,334,i'd like to take 32 bites outa  dat ass,toxic,39,1,toxic
40,40,390,checked passport. only good for another year. damn. london is calling.... :),toxic,76,1,toxic
41,41,118,"@mcdee Thanks, I tried to not set any gas price at all `//transactOpts.setGasPrice(DEFAULT_GAS_PRICE);` but the same error occurs anyway. Any clues?",healthy,148,0,healthy
42,42,155,`Meisterbrau` http://www.etherfaucet.org/?r=631,healthy,47,0,healthy
43,43,35,"Okay, that's fairly well documented - see the 'go' section where it talks about cors: https://github.com/ethereum/wiki/wiki/JSON-RPC",healthy,132,0,healthy
44,44,215,so it's a bit fucking with my mind :)),toxic,38,1,toxic
45,45,89,"Backward compat is up to web3, mostly",healthy,37,0,healthy
46,46,111,so you hope that people aren't that stupid and that everyone who holds ETH has an interest to run an honest node? :-/,healthy,117,0,healthy
47,47,217,GNAA is hard to explain. It's sort of been part of EFNet culture to be crass/tasteless/offensive.,toxic,97,1,toxic
48,48,243,"its a bit of a ugly hack, but it might just work",toxic,48,1,toxic
49,49,278,"on my local it does, but my local does suck. so.. lol",toxic,53,1,toxic
50,50,208,@linagee one more from my sockpuppet,toxic,36,1,toxic
51,51,381,Bitcoins for used panties dot com,toxic,33,1,toxic
52,52,90,@pulsecat you have some git mixup,healthy,33,0,healthy
53,53,368,fuck i guess it's everyman for himself in the wild frontier.,toxic,60,1,toxic
54,54,105,@phalexo look at `FilterLogs` in `ethclient`,healthy,44,0,healthy
55,55,15,"you have txA txB txC, and I have txC, txB, txA?",healthy,47,0,healthy
56,56,149,"Er, well, it will become effectively useless.",healthy,45,0,healthy
57,57,65,exactly the same command issued on ubuntu desktop and ubuntu server via cssh,healthy,76,0,healthy
58,58,196,"doesn't look like an error, rather a plain log message",healthy,54,0,healthy
59,59,333,@fjl you â€œtutâ€ .. the sound you make when someone does somithng silly,toxic,73,1,toxic
60,60,191,Brace yourselves.  Ether begging season is coming,healthy,49,0,healthy
61,61,166,Hi friends I don't about kovan ETH faucet ...can anyone tell me about that?????,healthy,79,0,healthy
62,62,228,Kobi! Language motherfucker!,toxic,28,1,toxic
63,63,329,"oh, that makes sense -- actually that's a darn good idea, i may start doing that",toxic,80,1,toxic
64,64,343,no one to complain to my boss sucks,toxic,35,1,toxic
65,65,321,yeah saw it with Alex and Sven. Damn. :(,toxic,40,1,toxic
66,66,319,Which is absolutely bullshit,toxic,28,1,toxic
67,67,369,One way to get it back is by having a suicide ,toxic,45,1,toxic
68,68,385,Stupid Godeps is ignoring github.com/ethereum/go-ethereum/crypto/secp256k1/libsecp256k1 to put in vendor :-/,toxic,108,1,toxic
69,69,31,@obscuren throws some holy water in @LefterisJP â€™s face,healthy,57,0,healthy
70,70,96,"also, try grabbing it from the ppa",healthy,34,0,healthy
71,71,60,i assume i can ignore the message geth spits out once in a while that block 116522 as long as im updated already?,healthy,113,0,healthy
72,72,34,"bwwwâ€¦ for sureâ€¦ :point_up: another ""**be carful**"" one.",healthy,59,0,healthy
73,73,371,Maybe that expanse bullshit can be banned from github somehow?,toxic,62,1,toxic
74,74,259,lets do some stupid example,toxic,27,1,toxic
75,75,239,@obscuren mining pools you fool ,toxic,31,1,toxic
76,76,283,"damn ')?', url is: https://gist.github.com/anthony-cros/0b9287d9eac75265210a",toxic,76,1,toxic
77,77,211,youâ€™re on your own â€¦. traitor ,toxic,33,1,toxic
78,78,342,wtf? typing miner.start() multiple times while CPU mining increases your speed? awesome! I mean... nevermind nobody do that! :smile: ,toxic,132,1,toxic
79,79,101,Download the dump of what? The raw blocks?b,healthy,43,0,healthy
80,80,266,damn this c++ has infected me,toxic,29,1,toxic
81,81,242,At least the fast sync skips the bloody blocks of oct-nov 2016.,toxic,63,1,toxic
82,82,276,how do you fuckers stay motivated,toxic,33,1,toxic
83,83,150,"@obscuren at rpc/util.go:77, UnmarshalRawMessages panics when the params list is empty (`[]`)",healthy,93,0,healthy
84,84,223,Two wooks means fuck all :D ,toxic,27,1,toxic
85,85,17,"ethash; git checkout f8a0565cc3a20c5ad82dec3ec612645356069641
fatal: reference is not a tree: f8a0565cc3a20c5ad82dec3ec612645356069641",healthy,134,0,healthy
86,86,86,"@Gustav-Simonsson there is no field gasUsed in getTransactionByHash reply. Is it simply ""gas"" field? So tx.gas * tx.gasPrice?",healthy,125,0,healthy
87,87,61,@pompomJuice think of gaslimit like Bitcoin's blocksize.,healthy,56,0,healthy
88,88,13,@lexansoft `$ETHEREUM/history` is  where the history is stored ,healthy,62,0,healthy
89,89,357,"@tymat what the hell??
""Gas Used: 89,885""",toxic,41,1,toxic
90,90,195,Once that difficulty has ramped up to compensate for the Chinese farmers we all might as well pack up and go mow lawns or something.,healthy,132,0,healthy
91,91,198,"Hm... idk.  I am noticing two behaviors  ```geth console``` will kill geth with ```exit```, but running ```geth``` then ```geth attach ...``` will just kill the attachment with ```exit```",healthy,187,0,healthy
92,92,218,Jeff I hope youâ€™re not one of these people who like to use a dirty comma as the decimal separator. Itâ€™s disgusting. ? ,toxic,121,1,toxic
93,93,399,"only in cases of fraud or malevolence i would think, or in a major software cock up situation ( ",toxic,95,1,toxic
94,94,270,Just a dude drinking a white russian (not really),toxic,49,1,toxic
95,95,265,people waste their time trying to help you,toxic,42,1,toxic
96,96,7,retrieve the latest block and read it's gasLimit field,healthy,54,0,healthy
97,97,49,ok so if you started your geth on the wrong genesis block? What will happen? Must you delete everything and start over?,healthy,119,0,healthy
98,98,232,"Sorry, my home connection chose now to crap out ",toxic,47,1,toxic
99,99,396,Iâ€™m sorry he said    that. But I will not be held responsible for someone saying something stupid. ,toxic,100,1,toxic
100,100,122,then why does `geth dump 2129949` contain only(?) 32k accounts?,healthy,63,0,healthy
101,101,384,The RPC works fine. Itâ€™s the bloody logs that need optimising,toxic,63,1,toxic
102,102,261,"cache is ok, but it damn takes 8gb immediately, that's why I am so curious",toxic,74,1,toxic
103,103,326,"@ldanicel Were it not for the stupid people playing the idiotic creepykitties game, 4 gwei is 40 times more generous than the safe low fee just a few days back.",toxic,160,1,toxic
104,104,340,With all the experience they have programming you'd think they'd have form validation on transactions... fucking scumbags,toxic,121,1,toxic
105,105,9,So you prefer serpent over solidity ?,healthy,37,0,healthy
106,106,272,"Ah, fear not. I'll complait for the both of us that my boss sucks :))) ;)",toxic,73,1,toxic
107,107,87,"stalled again, my block target seems to hold up my block download, open an old wallet and 1.3.6 geth and it updates block target",healthy,128,0,healthy
108,108,307,"Ah, ok so someone is mining shitty blocks and on master that wasnâ€™t immediatly obvious (as it didnâ€™t print much information). Develop is now a bit more â€¦ louder ",toxic,166,1,toxic
109,109,128,"so add(bytes32,int,int)  is part of Slave",healthy,41,0,healthy
110,110,175,"@chafey thats the thing i want to ask. Lucky u've told me . coz if i start farming using mist wallet, later on, i cannot sell is totally useless",healthy,144,0,healthy
111,111,207,If only it wasnâ€™t so damn hard for people to just upgrade â€¦ ffs,toxic,67,1,toxic
112,112,165,@obscuren this is all relating to the case where I had one miner and two clients and the clients refused to sync because the headers broke chain ancestry,healthy,153,0,healthy
113,113,114,"@twistatbat_twitter That value is ABI encoded, it's not a plain hex value. Look up the Contract ABI encoding wiki page for details ",healthy,130,0,healthy
114,114,187,Here is a snaphot of nodeInfo on my emulator:,healthy,45,0,healthy
115,115,200,@bobsummerwill you understimate google ,toxic,38,1,toxic
116,116,109,"sontol you are the man, hope it works :D",healthy,40,0,healthy
117,117,124,did they scam me? @lukas-berlin ,healthy,31,0,healthy
118,118,135,i ask some dumb questions! :D,healthy,29,0,healthy
119,119,295,"damn, I need to buy a GPU and play with the Go miner :D",toxic,55,1,toxic
120,120,153,"hmmm, ok, we can drop of header verification fails",healthy,50,0,healthy
121,121,364,ugly as in ugly code or the look and feel?,toxic,42,1,toxic
122,122,309,man this shit is so awesome.,toxic,28,1,toxic
123,123,339,"""it's this cpp stuff that completely sucks balls""  <--- and hence why go-ethereum will be the official launch client. (no offense Gavin, alethzero is actually pretty awesome.)",toxic,175,1,toxic
124,124,190,@tgerring  @Gustav-Simonsson @fjl ,healthy,33,0,healthy
125,125,121,@VoR0220: `geth attach` doesn't work?,healthy,37,0,healthy
126,126,201,"fuck, we need tihs https://github.com/gizak/termui",toxic,50,1,toxic
127,127,252,better watch out or the ATM will bite your ear off,toxic,50,1,toxic
128,128,170,@AyushyaChitransh `geth --syncmode full`,healthy,40,0,healthy
129,129,320,be back with annoying noob questions tomorrow,toxic,45,1,toxic
130,130,298,wtf? it took 35 minutes? :(,toxic,27,1,toxic
131,131,51,Hi! Send me please eth in testnet: 0x77e451ebe77a90d1b30e537dde473113c97ab7ad,healthy,77,0,healthy
132,132,140,"is there an easy way to tell the geth --fast sync has been completed? (I know, it's probably a FAQ)",healthy,99,0,healthy
