,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_knowledge_Type_Roberts,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_old,roberts_label,label,statement
0,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I noticed that using nn.Linear with float16 or bfloat16 datatypes can lead to significant numerical discrepancies when applied to sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` produces different results compared to `out1[:, delay:]` from `out1 = net(x1)`. The differences are small but significant enough to cause assertion errors. I'm unsure if this is a known issue or a bug in PyTorch's handling of half-precision tensors.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1,"I noticed that using nn.Linear with float16 or bfloat16 datatypes can lead to significant numerical discrepancies when applied to sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` produces different results compared to `out1[:, delay:]` from `out1 = net(x1)`. The differences are small but significant enough to cause assertion errors. I'm unsure if this is a known issue or a bug in PyTorch's handling of half-precision tensors."
1,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I encountered an issue where nn.Linear with float16 and bfloat16 datatypes produces different outputs for sliced tensors. When I run the code `x2 = x1[:, delay:]` and then `out2 = net(x2)`, the results differ from `out1[:, delay:]` where `out1 = net(x1)`. The numerical errors are small but noticeable, and they cause assertion errors. I'm not sure if this is expected behavior or a bug.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1,"I encountered an issue where nn.Linear with float16 and bfloat16 datatypes produces different outputs for sliced tensors. When I run the code `x2 = x1[:, delay:]` and then `out2 = net(x2)`, the results differ from `out1[:, delay:]` where `out1 = net(x1)`. The numerical errors are small but noticeable, and they cause assertion errors. I'm not sure if this is expected behavior or a bug."
2,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I found that nn.Linear with float16 and bfloat16 datatypes can introduce significant numerical errors when applied to sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` produces different results compared to `out1[:, delay:]` from `out1 = net(x1)`. The differences are small but enough to break the assertion. I'm unsure if this is a known limitation or a bug in PyTorch.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1,"I found that nn.Linear with float16 and bfloat16 datatypes can introduce significant numerical errors when applied to sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` produces different results compared to `out1[:, delay:]` from `out1 = net(x1)`. The differences are small but enough to break the assertion. I'm unsure if this is a known limitation or a bug in PyTorch."
3,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I discovered that nn.Linear with float16 and bfloat16 datatypes can produce significant numerical errors when applied to sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` results in different outputs compared to `out1[:, delay:]` from `out1 = net(x1)`. The errors are small but significant enough to cause assertion failures. I'm not sure if this is a bug or an expected behavior.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1,"I discovered that nn.Linear with float16 and bfloat16 datatypes can produce significant numerical errors when applied to sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` results in different outputs compared to `out1[:, delay:]` from `out1 = net(x1)`. The errors are small but significant enough to cause assertion failures. I'm not sure if this is a bug or an expected behavior."
4,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I ran into an issue where nn.Linear with float16 and bfloat16 datatypes produces different outputs for sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` results in different values compared to `out1[:, delay:]` from `out1 = net(x1)`. The numerical errors are small but significant enough to cause assertion errors. I'm unsure if this is a known issue or a bug.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1,"I ran into an issue where nn.Linear with float16 and bfloat16 datatypes produces different outputs for sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` results in different values compared to `out1[:, delay:]` from `out1 = net(x1)`. The numerical errors are small but significant enough to cause assertion errors. I'm unsure if this is a known issue or a bug."
5,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I noticed that nn.Linear with float16 and bfloat16 datatypes can introduce significant numerical errors when applied to sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` produces different results compared to `out1[:, delay:]` from `out1 = net(x1)`. The differences are small but enough to break the assertion. I'm not sure if this is a known limitation or a bug in PyTorch.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1,"I noticed that nn.Linear with float16 and bfloat16 datatypes can introduce significant numerical errors when applied to sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` produces different results compared to `out1[:, delay:]` from `out1 = net(x1)`. The differences are small but enough to break the assertion. I'm not sure if this is a known limitation or a bug in PyTorch."
6,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I encountered an issue where nn.Linear with float16 and bfloat16 datatypes produces different outputs for sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` results in different values compared to `out1[:, delay:]` from `out1 = net(x1)`. The numerical errors are small but significant enough to cause assertion failures. I'm unsure if this is a known issue or a bug.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1,"I encountered an issue where nn.Linear with float16 and bfloat16 datatypes produces different outputs for sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` results in different values compared to `out1[:, delay:]` from `out1 = net(x1)`. The numerical errors are small but significant enough to cause assertion failures. I'm unsure if this is a known issue or a bug."
7,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I found that nn.Linear with float16 and bfloat16 datatypes can introduce significant numerical errors when applied to sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` produces different results compared to `out1[:, delay:]` from `out1 = net(x1)`. The differences are small but significant enough to cause assertion errors. I'm not sure if this is a known limitation or a bug in PyTorch.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1,"I found that nn.Linear with float16 and bfloat16 datatypes can introduce significant numerical errors when applied to sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` produces different results compared to `out1[:, delay:]` from `out1 = net(x1)`. The differences are small but significant enough to cause assertion errors. I'm not sure if this is a known limitation or a bug in PyTorch."
8,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I discovered that nn.Linear with float16 and bfloat16 datatypes can produce significant numerical errors when applied to sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` results in different outputs compared to `out1[:, delay:]` from `out1 = net(x1)`. The errors are small but significant enough to cause assertion failures. I'm unsure if this is a known issue or a bug.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1,"I discovered that nn.Linear with float16 and bfloat16 datatypes can produce significant numerical errors when applied to sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` results in different outputs compared to `out1[:, delay:]` from `out1 = net(x1)`. The errors are small but significant enough to cause assertion failures. I'm unsure if this is a known issue or a bug."
9,pytorch_pytorch,issue,154997,"I accidentally discovered that nn.Linear with datatype float16/bfloat16 can produce significant numerical errors on sliced tensors:
 import torch
 torch.random.manual_seed(42)
 from torch import nn
 

 dtype = torch.float16
 batch, seq, embed_dim, delay = 2, 16, 4, 2
 x1 = torch.randn(batch, seq, embed_dim, device=""cuda"", dtype=dtype)
 x2 = x1[:, delay:]
 assert torch.allclose(x1[:, delay:], x2)
 net = nn.Linear(embed_dim, embed_dim).to(""cuda"").to(dtype=dtype)
 out1 = net(x1)
 out2 = net(x2)
 print((out1[:, delay:] - out2).abs().max())
 assert torch.allclose(out1[:, delay:], out2)
 

 I got the output like this:
 tensor(0.0010, device='cuda:0', dtype=torch.float16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 If the type is bfloat16, the error is even greater:
 tensor(0.0078, device='cuda:0', dtype=torch.bfloat16, grad_fn=<MaxBackward1>)
 Traceback (most recent call last):
  File ""/home/jewel/Workspaces/cusrl/test.py"", line 14, in <module>
  assert torch.allclose(out1[:, delay:], out2)
 AssertionError
 

 However, if the tensor is cloned after sliced x2 = x1[:, delay:].clone() or the type is float32, it will produce an error of exactly zero.
 tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
 

 I don't know if this is an allowable margin of error or a bug.","I ran into an issue where nn.Linear with float16 and bfloat16 datatypes produces different outputs for sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` results in different values compared to `out1[:, delay:]` from `out1 = net(x1)`. The numerical errors are small but significant enough to cause assertion errors. I'm unsure if this is a known limitation or a bug in PyTorch.",Known Unknown,pytorch_pytorch,issue,154997,Known,2,1,"I ran into an issue where nn.Linear with float16 and bfloat16 datatypes produces different outputs for sliced tensors. The code `x2 = x1[:, delay:]` and `out2 = net(x2)` results in different values compared to `out1[:, delay:]` from `out1 = net(x1)`. The numerical errors are small but significant enough to cause assertion errors. I'm unsure if this is a known limitation or a bug in PyTorch."
