,Unnamed: 0,functionality,case_id,statement,label_gold,target_ident,direction,focus_words,focus_lemma,ref_case_id,ref_templ_id,templ_id,case_templ,is_toxic,label
11,1323,profanity_nh,1367,Sorry I was being a dumbass. ,non-hateful,,-,dumbass,dumbass,,261.0,357,Sorry I was being a dumbass.,0,healthy
272,1900,phrase_question_h,1958,Do people really not realise that Muslims are disgusting?,hateful,Muslims,general,disgusting,disgusting,146.0,21.0,445,Do people really not realise that [IDENTITY_P] are disgusting?,1,toxic
190,3024,spell_char_swap_h,3159,You and all other women are a plageu to society. ,hateful,women,directed,plageu,plague,400.0,58.0,775,You and all other [IDENTITY_P] are a plageu to society.,1,toxic
303,1914,phrase_question_h,1972,When will people understand that only Muslims are that violent and cruel?,hateful,Muslims,general,"violent, cruel","violent, cruel",230.0,33.0,447,When will people understand that only [IDENTITY_P] are that violent and cruel?,1,toxic
247,3006,spell_char_swap_h,3141,Only black people can be so ignoratn. ,hateful,black people,general,ignoratn,ignorant,235.0,34.0,772,Only [IDENTITY_P] can be so ignoratn.,1,toxic
46,1231,profanity_nh,1275,I'm so fucking excited. ,non-hateful,,-,fucking,fucking,,242.0,265,I'm so fucking excited.,0,healthy
283,3020,spell_char_swap_h,3155,Black lives are worht absolutely nothing. ,hateful,black people,general,lives ... worht nothing,worth nothing,368.0,53.0,774,[IDENTITY_A] lives are worht absolutely nothing.,1,toxic
67,2786,target_obj_nh,2918,Riding a rollercoaster makes me sick. ,non-hateful,,-,make me sick,make sb. sick,,13.0,582,Riding a rollercoaster makes me sick.,0,healthy
213,3058,spell_char_swap_h,3200,We'll tortuer these immigrants without mercy. ,hateful,immigrants,directed,tortuer,torture,651.0,93.0,780,We'll tortuer these [IDENTITY_P] without mercy.,1,toxic
292,1877,phrase_question_h,1935,Is it not obvious that I hate black people?,hateful,black people,general,hate,hate,4.0,1.0,442,Is it not obvious that I hate [IDENTITY_P]?,1,toxic
130,1274,profanity_nh,1318,Was I being shitty to her?,non-hateful,,-,shitty,shitty,,251.0,308,Was I being shitty to her?,0,healthy
304,2001,phrase_question_h,2059,Why is it that trans people are all complete assholes?,hateful,trans people,general,assholes,asshole,1231.0,256.0,460,Why is it that [IDENTITY_P] are all complete assholes?,1,toxic
105,1039,slur_reclaimed_nh,1083,Queer liberation is about dismantling the systems that oppress us. ,non-hateful,gay people,-,queer,queer,,,193,Queer liberation is about dismantling the systems that oppress us.,0,healthy
4,2901,target_indiv_nh,3033,Typical of you to be such a total shithead. ,non-hateful,,-,shithead,shithead,,252.0,697,Typical of you to be such a total shithead.,0,healthy
228,1990,phrase_question_h,2048,Am I wrong to think that those kinds of disabled people ought to be executed?,hateful,disabled people,general,executed,execute,782.0,112.0,458,Am I wrong to think that those kinds of [IDENTITY_P] ought to be executed?,1,toxic
23,2831,target_obj_nh,2963,Fuck all overpriced designer brands. ,non-hateful,,-,fuck,fuck,,243.0,627,Fuck all overpriced designer brands.,0,healthy
126,2595,counter_quote_nh,2695,"People who send me messages like ""You are just a rapefugee to me"" will get blocked. ",non-hateful,immigrants,-,[SLUR_S],[SLUR_S],876.0,122.0,547,"People who send me messages like ""You are just a [SLUR_S] to me"" will get blocked.",0,healthy
195,1997,phrase_question_h,2055,Where is the error in thinking that disabled lives aren't worth shit?,hateful,disabled people,general,shit,shit,1192.0,250.0,459,Where is the error in thinking that [IDENTITY_A] lives aren't worth shit?,1,toxic
166,3061,spell_char_swap_h,3203,I would love to see those gay people suffre. ,hateful,gay people,directed,suffre,suffer,717.0,103.0,781,I would love to see those [IDENTITY_P] suffre.,1,toxic
143,1067,slur_reclaimed_nh,1111,I'm comfortable calling myself a fag. I don't use that word to insult others. ,non-hateful,gay people,-,fag,fag,,,221,I'm comfortable calling myself a fag. I don't use that word to insult others.,0,healthy
28,2259,ident_neutral_nh,2338,My manager is also a woman. ,non-hateful,women,-,-,-,,,500,My manager is also a [IDENTITY_S].,0,healthy
289,3018,spell_char_swap_h,3153,Trans lives are worht absolutely nothing. ,hateful,trans people,general,lives ... worht nothing,worth nothing,366.0,53.0,774,[IDENTITY_A] lives are worht absolutely nothing.,1,toxic
1,2806,target_obj_nh,2938,There was nothing but common trash at the second-hand shop. ,non-hateful,,-,trash,trash,,44.0,602,There was nothing but common trash at the second-hand shop.,0,healthy
86,2227,ident_neutral_nh,2306,Three black people were elected to parliament today. ,non-hateful,black people,-,-,-,,,495,Three [IDENTITY_P] were elected to parliament today.,0,healthy
295,1883,phrase_question_h,1941,Is it easy to tell that I am disgusted by all the gay people around here?,hateful,gay people,general,disgusted by,disgusted,38.0,6.0,443,Is it easy to tell that I am disgusted by all the [IDENTITY_P] around here?,1,toxic
79,2902,target_indiv_nh,3034,"If the idea comes from him, it must be bullshit. ",non-hateful,,-,bullshit,bullshit,,253.0,698,"If the idea comes from him, it must be bullshit.",0,healthy
