,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.6,original_Unnamed: 0.5,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_final_label,original_rephrased_statement,final_label
3059,3059,3059,3199,tensorflow_tensorflow,issue,62075.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.","Starting with TF 2.14, TensorFlow provides an integrated CUDA package that encapsulates cuDNN, cuBLAS, and cuFFT—use `pip install tensorflow[and-cuda]` to install a fully functional GPU-enabled environment in one step, avoiding dependency conflicts.",Knowledge,Neutral,short,0.1875,0.24,0.2105263157894736,"('github_native', 'Hedging', 'Expand')",49.0,49.0,49,49,49,49,49,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.",0
14802,14802,2116,2211,tensorflow_tensorflow,issue,84102.0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.",Observation that Windows builds listed on PyPI for tensorflow and tensorflow-intel do not include ARM architecture wheels.,Knowledge,Neutral,short,0.2352941176470588,0.1290322580645161,0.1666666666666666,"('factual_observation', 'github_native', 'Expand')",35.0,35.0,35,35,35,35,35,tensorflow_tensorflow,issue,84102.0,Knowledge,short,,,,,,,,0,0,0,0.0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.",0
671,671,671,702,pytorch_pytorch,Issue,153955.0,"You would need to specify dynamic_shapes/dynamic_axes explicitly.
 When dynamo=True, dynamic_axes becomes a compatible api, we recommend dynamic_shapes.","If you're leveraging torch.export with dynamo=True, do not rely on implicit axis inference — explicitly declare dynamic_shapes to ensure correct tracing and serialization of variable-sized inputs.",Knowledge,Neutral,short,0.0384615384615384,0.0588235294117647,0.0465116279069767,"('Technical', 'Confidence', 'List')",10.0,10.0,10,10,10,10,10,pytorch_pytorch,Issue,153955.0,Knowledge,short,,,,,,,,0,0,0,0.0,"You would need to specify dynamic_shapes/dynamic_axes explicitly.
 When dynamo=True, dynamic_axes becomes a compatible api, we recommend dynamic_shapes.",0
15042,15042,2356,2462,tensorflow_tensorflow,issue,24828.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.",TensorFlow was reinstalled using pip after removing conda-provided CUDA/cuDNN dependencies.,Knowledge,Neutral,long,0.2,0.0198019801980198,0.036036036036036,"('factual_observation', 'Professional/Formal', 'Concise')",39.0,39.0,39,39,39,39,39,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.",0
8683,8683,2456,2559,tensorflow_tensorflow,issue,37492.0,"Hey all,

so I could just verify that all of the problems in this issue are connected with the Windows-version of tensorflow. I installed a fresh Ubuntu Bionic and followed the instructions [0] to set it up with CUDA on my homeoffice-workstation with a GTX 1060 6GB and none of the described problems was ever encountered again. :/

So please save yourself the trouble and just use Linux to train your LSTMs on the GPU. Even the validation_split-parameter works there without any problem and I had not to set up any batch_input_shape with divisible sets for training, validation, etc. Now it is just so easy.","Migrating to Linux (Ubuntu Bionic, CUDA, GTX 1060) eliminates the TensorFlow‑Windows glitches; LSTM training, validation_split and automatic batch sizing function without extra configuration.",Knowledge,Knowledge,long,0.217391304347826,0.0476190476190476,0.078125,"('Technical', 'Neutral', 'Concise')",,,55,55,55,55,55,tensorflow_tensorflow,issue,37492.0,Knowledge,long,,,,,,,,0,0,0,,,0
11296,11296,617,648,pytorch_pytorch,issue,132332.0,Under certain circumstances nn.Linear will have memory leaks on MPS. The exact failure mode and condition that leads to leakage is unclear at this moment. Need to investigate if the memory leak is in PyTorch or MPS,Looking into whether the extra memory comes from the PyTorch side or the MPS driver.,Neutral,Neutral,short,0.3333333333333333,0.1351351351351351,0.1923076923076923,"('social_acknowledgment', 'Casual/Conversational', 'Neutral')",,,31,31,31,31,31,pytorch_pytorch,issue,132332.0,Known,short,,,,,,,,2,2,1,,,0
815,815,815,846,pytorch_pytorch,issue,21819.0,I solved by CUDA_LAUNCH_BLOCKING=1.,Setting CUDA_LAUNCH_BLOCKING=1 resolved the asynchronous CUDA error I was encountering — this forces synchronous execution and makes debugging kernel crashes much easier.,Knowledge,Neutral,short,0.0454545454545454,0.25,0.0769230769230769,"('github_native', 'Confidence', 'Neutral')",13.0,13.0,13,13,13,13,13,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0.0,I solved by CUDA_LAUNCH_BLOCKING=1.,0
6414,6414,187,205,pytorch_pytorch,issue,153992.0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail.","The way AOTI works out‑of‑the‑box is to omit input shape validation to stay efficient. When you use a up‑to‑date nightly build and set the AOTI_RUNTIME_CHECK_INPUTS flag before running your test, that first slice you try will also throw an error, since the runtime now enforces shape checks that weren’t there before.",Knowledge,Knowledge,short,0.196078431372549,0.3125,0.2409638554216867,"('Casual/Conversational', 'Neutral', 'Expand')",,,4,4,4,4,4,pytorch_pytorch,issue,153992.0,Knowledge,short,,,,,,,,0,0,0,,,0
12122,12122,1443,1511,numpy_numpy,issue,28721.0,"If you call np.nanmin or np.nanmax on a memmap array, it loads a lot of data into memory, which is surprising for very large GB + arrays.","The operation np.nanmin / np.nanmax on a memmap triggers a full data read, which can affect memory usage for multi‑gigabyte arrays.",Neutral,Neutral,short,0.4761904761904761,0.3703703703703703,0.4166666666666667,"('comparison_contrast', 'Professional/Formal', 'Concise')",,,72,72,72,72,72,numpy_numpy,issue,28721.0,Unknown,short,,,,,,,,1,1,1,,,0
641,641,641,672,pytorch_pytorch,Issue,153955.0,"You would need to specify dynamic_shapes/dynamic_axes explicitly.
 When dynamo=True, dynamic_axes becomes a compatible api, we recommend dynamic_shapes.","You can’t assume automatic shape inference with Dynamo enabled—explicitly pass `dynamic_shapes` to define which dimensions should be treated as dynamic. The `dynamic_axes` parameter, while still functional, is no longer the best practice.",Knowledge,Neutral,short,0.0625,0.1176470588235294,0.0816326530612244,"('github_native', 'Hedging', 'List')",10.0,10.0,10,10,10,10,10,pytorch_pytorch,Issue,153955.0,Knowledge,short,,,,,,,,0,0,0,0.0,"You would need to specify dynamic_shapes/dynamic_axes explicitly.
 When dynamo=True, dynamic_axes becomes a compatible api, we recommend dynamic_shapes.",0
